chat_id,user_id,status
200000,200000,delivered
200011,200011,delivered
200022,200022,confirmed
200033,200033,sent
200044,200044,in_progress
200055,200055,active
200066,200066,resolved
200077,200077,open
200088,200088,delivered
200099,200099,delivered
200110,200110,confirmed
200121,200121,open
200132,200132,active
200143,200143,confirmed
200154,200154,resolved
200165,200165,resolved
200176,200176,sent
200187,200187,in_progress
200198,200198,sent
200209,200209,confirmed
200220,200220,sent
200231,200231,sent
200242,200242,delivered
200253,200253,in_progress
200264,200264,confirmed
200275,200275,active
200286,200286,resolved
200297,200297,open
200308,200308,active
200319,200319,active
200330,200330,confirmed
200341,200341,open
200352,200352,sent
200363,200363,resolved
200374,200374,confirmed
200385,200385,in_progress
200396,200396,open
200407,200407,in_progress
200418,200418,delivered
200429,200429,in_progress
200440,200440,active
200451,200451,in_progress
200462,200462,in_progress
200473,200473,active
200484,200484,confirmed
200495,200495,resolved
200506,200506,in_progress
200517,200517,sent
200528,200528,active
200539,200539,resolved
200550,200550,confirmed
200561,200561,delivered
200572,200572,active
200583,200583,resolved
200594,200594,sent
200605,200605,active
200616,200616,in_progress
200627,200627,active
200638,200638,resolved
200649,200649,sent
200660,200660,confirmed
200671,200671,open
200682,200682,active
200693,200693,in_progress
200704,200704,in_progress
200715,200715,sent
200726,200726,delivered
200737,200737,confirmed
200748,200748,open
200759,200759,in_progress
200770,200770,confirmed
200781,200781,active
200792,200792,resolved
200803,200803,sent
200814,200814,active
200825,200825,resolved
200836,200836,delivered
200847,200847,confirmed
200858,200858,active
200869,200869,delivered
200880,200880,resolved
200891,200891,in_progress
200902,200902,delivered
200913,200913,open
200924,200924,in_progress
200935,200935,delivered
200946,200946,open
200957,200957,resolved
200968,200968,open
200979,200979,sent
200990,200990,open
201001,201001,delivered
201012,201012,sent
201023,201023,in_progress
201034,201034,delivered
201045,201045,resolved
201056,201056,resolved
201067,201067,resolved
201078,201078,sent
201089,201089,delivered
201100,201100,open
201111,201111,sent
201122,201122,in_progress
201133,201133,confirmed
201144,201144,active
201155,201155,sent
201166,201166,delivered
201177,201177,resolved
201188,201188,confirmed
201199,201199,delivered
201210,201210,resolved
201221,201221,open
201232,201232,open
201243,201243,active
201254,201254,active
201265,201265,resolved
201276,201276,sent
201287,201287,in_progress
201298,201298,confirmed
201309,201309,open
201320,201320,resolved
201331,201331,sent
201342,201342,resolved
201353,201353,confirmed
201364,201364,open
201375,201375,open
201386,201386,delivered
201397,201397,open
201408,201408,resolved
201419,201419,in_progress
201430,201430,sent
201441,201441,confirmed
201452,201452,sent
201463,201463,resolved
201474,201474,delivered
201485,201485,open
201496,201496,active
201507,201507,open
201518,201518,open
201529,201529,open
201540,201540,in_progress
201551,201551,open
201562,201562,resolved
201573,201573,sent
201584,201584,sent
201595,201595,delivered
201606,201606,resolved
201617,201617,in_progress
201628,201628,sent
201639,201639,delivered
201650,201650,delivered
201661,201661,delivered
201672,201672,in_progress
201683,201683,active
201694,201694,sent
201705,201705,sent
201716,201716,resolved
201727,201727,sent
201738,201738,confirmed
201749,201749,confirmed
201760,201760,confirmed
201771,201771,resolved
201782,201782,active
201793,201793,sent
201804,201804,confirmed
201815,201815,confirmed
201826,201826,active
201837,201837,open
201848,201848,active
201859,201859,open
201870,201870,resolved
201881,201881,sent
201892,201892,sent
201903,201903,sent
201914,201914,resolved
201925,201925,in_progress
201936,201936,confirmed
201947,201947,resolved
201958,201958,in_progress
201969,201969,active
201980,201980,resolved
201991,201991,sent
202002,202002,sent
202013,202013,resolved
202024,202024,resolved
202035,202035,confirmed
202046,202046,resolved
202057,202057,open
202068,202068,in_progress
202079,202079,confirmed
202090,202090,open
202101,202101,resolved
202112,202112,in_progress
202123,202123,delivered
202134,202134,resolved
202145,202145,in_progress
202156,202156,delivered
202167,202167,in_progress
202178,202178,active
202189,202189,open
202200,202200,delivered
202211,202211,active
202222,202222,in_progress
202233,202233,resolved
202244,202244,active
202255,202255,sent
202266,202266,resolved
202277,202277,in_progress
202288,202288,sent
202299,202299,resolved
202310,202310,resolved
202321,202321,sent
202332,202332,delivered
202343,202343,in_progress
202354,202354,in_progress
202365,202365,resolved
202376,202376,in_progress
202387,202387,resolved
202398,202398,in_progress
202409,202409,in_progress
202420,202420,confirmed
202431,202431,in_progress
202442,202442,resolved
202453,202453,confirmed
202464,202464,delivered
202475,202475,active
202486,202486,open
202497,202497,confirmed
202508,202508,resolved
202519,202519,delivered
202530,202530,confirmed
202541,202541,sent
202552,202552,active
202563,202563,sent
