artist_id,name,genres,followers,popularity
art_johnny_cash,Johnny Cash,"country,folk,gospel,americana",8250000,82
art_merle_haggard,Merle Haggard,"country,honky-tonk,bakersfield sound",3120000,74
art_willie_nelson,Willie Nelson,"country,outlaw country,folk",5680000,78
art_dolly_parton,Dolly Parton,"country,americana,pop country",12400000,85
art_hank_williams,Hank Williams,"country,honky-tonk,gospel",2450000,71
art_george_jones,George Jones,"country,honky-tonk",1820000,68
art_loretta_lynn,Loretta Lynn,"country,coal miner's daughter",1650000,66
art_patsy_cline,Patsy Cline,"country,traditional pop,classic country",2280000,72
art_frank_sinatra,Frank Sinatra,"jazz standards,vocal jazz,traditional pop",7820000,84
art_dean_martin,Dean Martin,"vocal jazz,traditional pop,standards",2140000,68
art_tony_bennett,Tony Bennett,"vocal jazz,jazz standards",2680000,71
art_ella_fitzgerald,Ella Fitzgerald,"jazz vocal,swing,jazz standards",3540000,76
art_nat_king_cole,Nat King Cole,"jazz vocal,traditional pop,standards",4120000,78
art_bing_crosby,Bing Crosby,"traditional pop,vocal,christmas standards",2350000,70
art_woody_guthrie,Woody Guthrie,"folk,protest folk,americana",950000,62
art_pete_seeger,Pete Seeger,"folk,protest folk",780000,58
art_joan_baez,Joan Baez,"folk,protest folk",1620000,65
art_bob_dylan,Bob Dylan,"folk rock,americana,folk",6850000,82
art_bach_js,Johann Sebastian Bach,"classical,baroque,sacred",4820000,80
art_mozart_wa,Wolfgang Amadeus Mozart,classical,5240000,81
art_tallis_thomas,Thomas Tallis,"renaissance,sacred choral,classical",320000,55
art_taverner_john,John Tavener,"contemporary classical,sacred",285000,52
art_arvo_part,Arvo Part,"contemporary classical,sacred,minimal",620000,65
art_takacs_quartet,Takacs Quartet,"classical,chamber,string quartet",180000,51
art_fernando_ortega,Fernando Ortega,"sacred,contemporary christian,hymns",210000,55
art_keith_kristyn_getty,Keith and Kristyn Getty,"modern hymns,christian,sacred",850000,66
art_taize_community,Taize Community,"sacred,ecumenical,meditative",340000,58
art_hillsong_worship,Hillsong Worship,"contemporary christian,praise,worship",4820000,78
art_matt_maher,Matt Maher,"contemporary catholic,christian,worship",950000,68
art_marty_haugen,Marty Haugen,"catholic liturgical,sacred",285000,54
art_david_haas,David Haas,"catholic liturgical,sacred",195000,51
art_los_hermanos_trio,Los Hermanos Trio,"tejano,mariachi,folk mexican",12500,32
art_freddy_fender,Freddy Fender,"tejano,tex-mex,country",620000,62
art_flaco_jimenez,Flaco Jimenez,"tejano,conjunto,accordion",480000,60
art_linda_ronstadt,Linda Ronstadt,"country rock,folk,mariachi",3820000,76
art_selena,Selena,"tejano,latin pop",4820000,79
art_jose_alfredo_jimenez,Jose Alfredo Jimenez,"ranchera,mariachi,mexican classic",850000,68
art_george_winston,George Winston,"solo piano,contemplative,new age",620000,62
art_liz_story,Liz Story,"solo piano,contemplative",145000,48
art_paul_horn,Paul Horn,"meditative flute,new age",180000,50
