name,up,apps,sources,cpu_pct,mem_pct,last_reported
nnu-portal-01.nnu-crop.edu.ng,False,nginx|systemd|portal,agent|azure|prometheus,20,35,2025-08-14T00:00:00Z
nnu-db-01.nnu-crop.edu.ng,True,nginx|systemd|db,agent|azure|prometheus,27,46,2025-08-13T23:57:00Z
nnu-web-01.nnu-crop.edu.ng,True,nginx|systemd|web,agent|azure|prometheus,34,57,2025-08-13T23:54:00Z
nnu-ci-01.nnu-crop.edu.ng,True,nginx|systemd|ci,agent|azure|prometheus,41,68,2025-08-13T23:51:00Z
nnu-gh-sensor-01.nnu-crop.edu.ng,True,nginx|systemd|gh-sensor,agent|azure|prometheus,48,79,2025-08-13T23:48:00Z
nnu-cache-01.nnu-crop.edu.ng,True,nginx|systemd|cache,agent|azure|prometheus,55,40,2025-08-13T23:45:00Z
nnu-proxy-01.nnu-crop.edu.ng,True,nginx|systemd|proxy,agent|azure|prometheus,62,51,2025-08-13T23:42:00Z
nnu-portal-02.nnu-crop.edu.ng,True,nginx|systemd|portal,agent|azure|prometheus,69,62,2025-08-13T23:39:00Z
nnu-db-02.nnu-crop.edu.ng,True,nginx|systemd|db,agent|azure|prometheus,76,73,2025-08-13T23:36:00Z
nnu-web-02.nnu-crop.edu.ng,True,nginx|systemd|web,agent|azure|prometheus,23,84,2025-08-13T23:33:00Z
nnu-ci-02.nnu-crop.edu.ng,True,nginx|systemd|ci,agent|azure|prometheus,30,45,2025-08-13T23:30:00Z
nnu-gh-sensor-02.nnu-crop.edu.ng,True,nginx|systemd|gh-sensor,agent|azure|prometheus,37,56,2025-08-13T23:27:00Z
nnu-cache-02.nnu-crop.edu.ng,True,nginx|systemd|cache,agent|azure|prometheus,44,67,2025-08-13T23:24:00Z
nnu-proxy-02.nnu-crop.edu.ng,True,nginx|systemd|proxy,agent|azure|prometheus,51,78,2025-08-13T23:21:00Z
nnu-portal-03.nnu-crop.edu.ng,True,nginx|systemd|portal,agent|azure|prometheus,58,39,2025-08-13T23:18:00Z
nnu-db-03.nnu-crop.edu.ng,True,nginx|systemd|db,agent|azure|prometheus,65,50,2025-08-13T23:15:00Z
nnu-web-03.nnu-crop.edu.ng,True,nginx|systemd|web,agent|azure|prometheus,72,61,2025-08-13T23:12:00Z
nnu-ci-03.nnu-crop.edu.ng,False,nginx|systemd|ci,agent|azure|prometheus,79,72,2025-08-13T23:09:00Z
nnu-gh-sensor-03.nnu-crop.edu.ng,True,nginx|systemd|gh-sensor,agent|azure|prometheus,26,83,2025-08-13T23:06:00Z
nnu-cache-03.nnu-crop.edu.ng,True,nginx|systemd|cache,agent|azure|prometheus,33,44,2025-08-13T23:03:00Z
nnu-proxy-03.nnu-crop.edu.ng,True,nginx|systemd|proxy,agent|azure|prometheus,40,55,2025-08-13T23:00:00Z
nnu-portal-04.nnu-crop.edu.ng,True,nginx|systemd|portal,agent|azure|prometheus,47,66,2025-08-13T22:57:00Z
nnu-db-04.nnu-crop.edu.ng,True,nginx|systemd|db,agent|azure|prometheus,54,77,2025-08-13T22:54:00Z
nnu-web-04.nnu-crop.edu.ng,True,nginx|systemd|web,agent|azure|prometheus,61,38,2025-08-13T22:51:00Z
nnu-ci-04.nnu-crop.edu.ng,True,nginx|systemd|ci,agent|azure|prometheus,68,49,2025-08-13T22:48:00Z
nnu-gh-sensor-04.nnu-crop.edu.ng,True,nginx|systemd|gh-sensor,agent|azure|prometheus,75,60,2025-08-13T22:45:00Z
nnu-cache-04.nnu-crop.edu.ng,True,nginx|systemd|cache,agent|azure|prometheus,22,71,2025-08-13T22:42:00Z
nnu-proxy-04.nnu-crop.edu.ng,True,nginx|systemd|proxy,agent|azure|prometheus,29,82,2025-08-13T22:39:00Z
nnu-portal-05.nnu-crop.edu.ng,True,nginx|systemd|portal,agent|azure|prometheus,36,43,2025-08-13T22:36:00Z
