metric,scope,base_value,amplitude,unit
cpu.user.v1,"env:prod,service:esfes",10,1,pct
cpu.system.v1,"env:prod,service:waita",13,2,MB
memory.used.v1,"env:prod,service:portal",16,3,ms
disk.read.v1,"env:prod,service:db",19,4,count
disk.write.v1,"env:prod,service:gh-sensor",22,5,GB
net.rx.v1,"env:prod,service:esfes",25,6,pct
net.tx.v1,"env:prod,service:waita",28,7,MB
http.request.count.v1,"env:prod,service:portal",31,8,ms
http.request.latency.v1,"env:prod,service:db",34,9,count
db.connections.v1,"env:prod,service:gh-sensor",37,10,GB
db.query.latency.v1,"env:prod,service:esfes",40,11,pct
cache.hits.v1,"env:prod,service:waita",43,12,MB
cache.misses.v1,"env:prod,service:portal",46,13,ms
cpu.user.v2,"env:prod,service:db",49,1,count
cpu.system.v2,"env:prod,service:gh-sensor",52,2,GB
memory.used.v2,"env:prod,service:esfes",55,3,pct
disk.read.v2,"env:prod,service:waita",58,4,MB
disk.write.v2,"env:prod,service:portal",61,5,ms
net.rx.v2,"env:prod,service:db",64,6,count
net.tx.v2,"env:prod,service:gh-sensor",67,7,GB
http.request.count.v2,"env:prod,service:esfes",70,8,pct
http.request.latency.v2,"env:prod,service:waita",73,9,MB
db.connections.v2,"env:prod,service:portal",76,10,ms
db.query.latency.v2,"env:prod,service:db",79,11,count
cache.hits.v2,"env:prod,service:gh-sensor",82,12,GB
cache.misses.v2,"env:prod,service:esfes",85,13,pct
cpu.user.v3,"env:prod,service:waita",88,1,MB
cpu.system.v3,"env:prod,service:portal",91,2,ms
memory.used.v3,"env:prod,service:db",94,3,count
disk.read.v3,"env:prod,service:gh-sensor",97,4,GB
disk.write.v3,"env:prod,service:esfes",10,5,pct
net.rx.v3,"env:prod,service:waita",13,6,MB
net.tx.v3,"env:prod,service:portal",16,7,ms
http.request.count.v3,"env:prod,service:db",19,8,count
http.request.latency.v3,"env:prod,service:gh-sensor",22,9,GB
db.connections.v3,"env:prod,service:esfes",25,10,pct
db.query.latency.v3,"env:prod,service:waita",28,11,MB
cache.hits.v3,"env:prod,service:portal",31,12,ms
cache.misses.v3,"env:prod,service:db",34,13,count
cpu.user.v4,"env:prod,service:gh-sensor",37,1,GB
cpu.system.v4,"env:prod,service:esfes",40,2,pct
memory.used.v4,"env:prod,service:waita",43,3,MB
disk.read.v4,"env:prod,service:portal",46,4,ms
disk.write.v4,"env:prod,service:db",49,5,count
net.rx.v4,"env:prod,service:gh-sensor",52,6,GB
net.tx.v4,"env:prod,service:esfes",55,7,pct
http.request.count.v4,"env:prod,service:waita",58,8,MB
http.request.latency.v4,"env:prod,service:portal",61,9,ms
db.connections.v4,"env:prod,service:db",64,10,count
db.query.latency.v4,"env:prod,service:gh-sensor",67,11,GB
cache.hits.v4,"env:prod,service:esfes",70,12,pct
cache.misses.v4,"env:prod,service:waita",73,13,MB
cpu.user.v5,"env:prod,service:portal",76,1,ms
cpu.system.v5,"env:prod,service:db",79,2,count
memory.used.v5,"env:prod,service:gh-sensor",82,3,GB
disk.read.v5,"env:prod,service:esfes",85,4,pct
disk.write.v5,"env:prod,service:waita",88,5,MB
net.rx.v5,"env:prod,service:portal",91,6,ms
net.tx.v5,"env:prod,service:db",94,7,count
http.request.count.v5,"env:prod,service:gh-sensor",97,8,GB
http.request.latency.v5,"env:prod,service:esfes",10,9,pct
db.connections.v5,"env:prod,service:waita",13,10,MB
db.query.latency.v5,"env:prod,service:portal",16,11,ms
cache.hits.v5,"env:prod,service:db",19,12,count
cache.misses.v5,"env:prod,service:gh-sensor",22,13,GB
cpu.user.v6,"env:prod,service:esfes",25,1,pct
cpu.system.v6,"env:prod,service:waita",28,2,MB
memory.used.v6,"env:prod,service:portal",31,3,ms
disk.read.v6,"env:prod,service:db",34,4,count
disk.write.v6,"env:prod,service:gh-sensor",37,5,GB
net.rx.v6,"env:prod,service:esfes",40,6,pct
net.tx.v6,"env:prod,service:waita",43,7,MB
http.request.count.v6,"env:prod,service:portal",46,8,ms
http.request.latency.v6,"env:prod,service:db",49,9,count
db.connections.v6,"env:prod,service:gh-sensor",52,10,GB
db.query.latency.v6,"env:prod,service:esfes",55,11,pct
cache.hits.v6,"env:prod,service:waita",58,12,MB
cache.misses.v6,"env:prod,service:portal",61,13,ms
cpu.user.v7,"env:prod,service:db",64,1,count
cpu.system.v7,"env:prod,service:gh-sensor",67,2,GB
memory.used.v7,"env:prod,service:esfes",70,3,pct
disk.read.v7,"env:prod,service:waita",73,4,MB
disk.write.v7,"env:prod,service:portal",76,5,ms
net.rx.v7,"env:prod,service:db",79,6,count
net.tx.v7,"env:prod,service:gh-sensor",82,7,GB
