event_id,title,date,start_time,end_time,location,assigned_volunteers,notes
CAL-001,Setup Crew Arrival,2026-12-12,07:00,08:30,Fellowship Hall + Parking Lot,Setup team (5-6 needed),Tables chairs decorations stage
CAL-002,Vendor Load-In Window,2026-12-12,08:30,10:00,Fellowship Hall Kitchen + Main Entrance,2 float volunteers to assist,Elena's Kitchen arrives 8:30. Casa Flores arrives 9:00.
CAL-003,Wellness Booth Setup,2026-12-12,09:00,10:30,Fellowship Hall NE Corner,Matt + Lupe + booth volunteers,Tables linens kettle supplies
CAL-004,Sound Check - Los Hermanos Trio,2026-12-12,09:30,10:15,Fellowship Hall Stage,Audio volunteer,Gabriel arriving 9:30
CAL-005,Registration Table Opens,2026-12-12,10:00,10:30,Main Entrance Lobby,Registration team (3-4 needed),Name tags programs welcome packets
CAL-006,Doors Open - Community Arrives,2026-12-12,10:30,11:00,Main Entrance,Parking + Registration + Greeters,
CAL-007,Opening Prayer and Welcome,2026-12-12,11:00,11:20,Fellowship Hall,Pastor David,All volunteers in place
CAL-008,Lunch Service,2026-12-12,11:30,13:00,Fellowship Hall Kitchen + Serving Line,Food Service team (10-12 needed),Buffet style. Elena's crew handles kitchen. Volunteers run serving line.
CAL-009,Wellness Booth Open,2026-12-12,11:00,15:00,Fellowship Hall NE Corner,Wellness team (4),Blood pressure + teas + remedies + massage
CAL-010,Children's Activities,2026-12-12,11:00,14:30,Education Wing Rooms 3-4,Children's Area team (5-6 needed),Crafts games storytime. Parent sign-in required.
CAL-011,Live Music - Los Hermanos Trio,2026-12-12,12:00,14:00,Fellowship Hall Stage,,Background during lunch then featured set
CAL-012,Community Blessing and Closing,2026-12-12,14:30,15:00,Fellowship Hall,Pastor David + Matt,
CAL-013,Cleanup Begins,2026-12-12,15:00,17:00,All Areas,Cleanup team (6-8 needed),Kitchen vendor packout trash recycling furniture
CAL-014,Parking Lot Management,2026-12-12,10:00,15:30,Church Parking Lot + Overflow (school lot),Parking team (3-4 needed),Overflow lot is Jefferson Elementary across street. Permission secured.
CAL-015,Float Volunteer Check-in,2026-12-12,10:00,15:00,Fellowship Hall,General Float (6+),Roaming support wherever needed
