line_item,category,budgeted_amount,actual_spent,vendor_or_source,status,last_updated,notes
Catering - Main Meal,Food & Beverage,2800.00,0.00,Elena's Kitchen,committed,2026-10-15,Tamales and pozole for 175. Elena confirmed original quote.
Decorations,Venue & Decor,450.00,0.00,Casa Flores,committed,2026-10-20,Poinsettias and altar flowers and table runners.
Live Music,Entertainment,600.00,0.00,Los Hermanos Trio,committed,2026-10-18,3-hour set. Traditional holiday and community favorites.
Table and Chair Rentals,Venue & Decor,350.00,0.00,El Paso Party Rentals,committed,2026-10-22,20 tables and 175 chairs. Setup morning of Dec 12.
Wellness Booth Supplies,Wellness,400.00,0.00,Various,planned,2026-10-10,Herbal preparations and screening supplies and healer honorariums.
Printed Programs and Flyers,Printing,150.00,87.50,Quick Print El Paso,partial,2026-11-01,Flyers done. Programs pending final schedule.
Children's Activities,Activities,200.00,45.00,Dollar Tree and craft supplies,partial,2026-11-05,Craft kits ordered. Still need face paint and small prizes.
Sound System Rental,Equipment,175.00,0.00,Audio Express EP,committed,2026-10-25,PA system and 2 wireless mics.
Paper Goods and Disposables,Supplies,125.00,0.00,Sam's Club,planned,2026-10-28,Plates and cups and napkins and utensils for 175.
Beverages,Food & Beverage,200.00,0.00,Costco and local,planned,2026-10-28,Agua fresca ingredients and coffee and hot chocolate and juice boxes.
Photography,Documentation,0.00,0.00,Volunteer (Maria Estrada),volunteer,2026-11-01,Maria volunteered. No cost.
Cleanup Supplies,Supplies,50.00,0.00,Dollar General,planned,2026-10-28,Trash bags and cleaning spray and paper towels.
Parking Signs and Cones,Logistics,25.00,0.00,Church supply closet,on-hand,2026-10-15,Reuse from last year. May need 2 new signs.
Miscellaneous and Contingency,Contingency,250.00,0.00,,reserved,2026-10-01,Buffer for unexpected costs.
TOTAL,,5375.00,132.50,,,,
Projected Revenue - Pledges and Donations,,5600.00,,Committee pledge tracker,,2026-11-20,Per Notion tracker as of Nov 20.
Projected Surplus,,225.00,,,,,
