tracking_number,service_code,service_name,ship_date,origin_zip,dest_zip,weight_lb,currency,total_charge,label_url
1Z999AA10123456784,02,UPS 2nd Day Air,2026-01-08,78209,80203,6.7,USD,37.28,https://ups.example/labels/1Z999AA10123456784.gif
1Z999AA10123456785,12,UPS 3 Day Select,2026-01-21,78209,80203,9.9,USD,41.18,https://ups.example/labels/1Z999AA10123456785.gif
1Z999AA10123456786,12,UPS 3 Day Select,2026-02-03,78209,80203,11.4,USD,48.69,https://ups.example/labels/1Z999AA10123456786.gif
1Z999AA10123456787,03,UPS Ground,2026-02-15,78209,80203,9.6,USD,35.16,https://ups.example/labels/1Z999AA10123456787.gif
1Z999AA10123456788,12,UPS 3 Day Select,2026-02-27,78209,80203,3.3,USD,19.71,https://ups.example/labels/1Z999AA10123456788.gif
1Z999AA10123456789,12,UPS 3 Day Select,2026-03-12,78209,80203,9.9,USD,45.02,https://ups.example/labels/1Z999AA10123456789.gif
1Z999AA10123456790,12,UPS 3 Day Select,2026-03-28,78209,80203,4.5,USD,21.09,https://ups.example/labels/1Z999AA10123456790.gif
1Z999AA10123456791,02,UPS 2nd Day Air,2026-04-13,78209,80203,11.9,USD,38.82,https://ups.example/labels/1Z999AA10123456791.gif
1Z999AA10123456792,03,UPS Ground,2026-04-26,78209,80203,11.2,USD,45.77,https://ups.example/labels/1Z999AA10123456792.gif
1Z999AA10123456793,02,UPS 2nd Day Air,2026-05-08,78209,80203,7.1,USD,33.05,https://ups.example/labels/1Z999AA10123456793.gif
1Z999AA10123456794,03,UPS Ground,2026-05-20,78209,80203,10.7,USD,31.16,https://ups.example/labels/1Z999AA10123456794.gif
1Z999AA10123456795,12,UPS 3 Day Select,2026-06-04,78209,80203,3.0,USD,18.63,https://ups.example/labels/1Z999AA10123456795.gif
1Z999AA10123456796,02,UPS 2nd Day Air,2026-06-16,78209,80203,10.1,USD,36.83,https://ups.example/labels/1Z999AA10123456796.gif
1Z999AA10123456797,02,UPS 2nd Day Air,2026-07-02,78209,80203,6.2,USD,27.29,https://ups.example/labels/1Z999AA10123456797.gif
1Z999AA10123456798,02,UPS 2nd Day Air,2026-07-14,78209,80203,4.6,USD,28.45,https://ups.example/labels/1Z999AA10123456798.gif
1Z999AA10123456799,03,UPS Ground,2026-07-29,78209,80203,10.2,USD,32.75,https://ups.example/labels/1Z999AA10123456799.gif
1Z999AA10123456800,02,UPS 2nd Day Air,2026-08-13,78209,80203,6.7,USD,24.73,https://ups.example/labels/1Z999AA10123456800.gif
1Z999AA10123456801,02,UPS 2nd Day Air,2026-08-29,78209,80203,5.2,USD,31.50,https://ups.example/labels/1Z999AA10123456801.gif
1Z999AA10123456802,03,UPS Ground,2026-09-12,78209,80203,8.1,USD,38.05,https://ups.example/labels/1Z999AA10123456802.gif
1Z999AA10123456803,12,UPS 3 Day Select,2026-09-25,78209,80203,6.9,USD,25.79,https://ups.example/labels/1Z999AA10123456803.gif
1Z999AA10123456804,12,UPS 3 Day Select,2026-10-07,78209,80203,5.6,USD,26.18,https://ups.example/labels/1Z999AA10123456804.gif
1Z999AA10123456805,03,UPS Ground,2026-10-23,78209,80203,11.5,USD,54.05,https://ups.example/labels/1Z999AA10123456805.gif
1Z999AA10123456806,02,UPS 2nd Day Air,2026-11-07,78209,80203,3.2,USD,17.25,https://ups.example/labels/1Z999AA10123456806.gif
1Z999AA10123456807,12,UPS 3 Day Select,2026-11-23,78209,80203,11.6,USD,55.67,https://ups.example/labels/1Z999AA10123456807.gif
1Z999AA10123456808,12,UPS 3 Day Select,2026-12-05,78209,80203,8.0,USD,35.06,https://ups.example/labels/1Z999AA10123456808.gif
1Z999AA10123456809,03,UPS Ground,2026-12-21,78209,80203,3.4,USD,18.03,https://ups.example/labels/1Z999AA10123456809.gif
1Z999AA10123456810,02,UPS 2nd Day Air,2027-01-06,78209,80203,4.1,USD,20.82,https://ups.example/labels/1Z999AA10123456810.gif
1Z999AA10123456811,03,UPS Ground,2027-01-19,78209,80203,7.8,USD,39.33,https://ups.example/labels/1Z999AA10123456811.gif
1Z999AA10123456812,02,UPS 2nd Day Air,2027-02-03,78209,80203,7.2,USD,27.45,https://ups.example/labels/1Z999AA10123456812.gif
1Z999AA10123456813,12,UPS 3 Day Select,2027-02-15,78209,80203,9.2,USD,40.99,https://ups.example/labels/1Z999AA10123456813.gif
1Z999AA10123456814,02,UPS 2nd Day Air,2027-03-03,78209,80203,9.5,USD,33.03,https://ups.example/labels/1Z999AA10123456814.gif
1Z999AA10123456815,12,UPS 3 Day Select,2027-03-19,78209,80203,10.3,USD,47.76,https://ups.example/labels/1Z999AA10123456815.gif
1Z999AA10123456816,12,UPS 3 Day Select,2027-03-31,78209,80203,10.5,USD,52.96,https://ups.example/labels/1Z999AA10123456816.gif
1Z999AA10123456817,03,UPS Ground,2027-04-13,78209,80203,7.2,USD,34.05,https://ups.example/labels/1Z999AA10123456817.gif
1Z999AA10123456818,02,UPS 2nd Day Air,2027-04-25,78209,80203,6.7,USD,34.97,https://ups.example/labels/1Z999AA10123456818.gif
1Z999AA10123456819,02,UPS 2nd Day Air,2027-05-11,78209,80203,7.4,USD,35.52,https://ups.example/labels/1Z999AA10123456819.gif
1Z999AA10123456820,03,UPS Ground,2027-05-26,78209,80203,7.5,USD,28.90,https://ups.example/labels/1Z999AA10123456820.gif
1Z999AA10123456821,02,UPS 2nd Day Air,2027-06-08,78209,80203,6.3,USD,29.10,https://ups.example/labels/1Z999AA10123456821.gif
1Z999AA10123456822,03,UPS Ground,2027-06-20,78209,80203,9.9,USD,46.02,https://ups.example/labels/1Z999AA10123456822.gif
1Z999AA10123456823,12,UPS 3 Day Select,2027-07-03,78209,80203,10.6,USD,50.64,https://ups.example/labels/1Z999AA10123456823.gif
1Z999AA10123456824,02,UPS 2nd Day Air,2027-07-19,78209,80203,9.5,USD,43.94,https://ups.example/labels/1Z999AA10123456824.gif
1Z999AA10123456825,12,UPS 3 Day Select,2027-07-31,78209,80203,9.9,USD,38.74,https://ups.example/labels/1Z999AA10123456825.gif
1Z999AA10123456826,03,UPS Ground,2027-08-15,78209,80203,11.2,USD,34.78,https://ups.example/labels/1Z999AA10123456826.gif
1Z999AA10123456827,12,UPS 3 Day Select,2027-08-29,78209,80203,8.8,USD,36.40,https://ups.example/labels/1Z999AA10123456827.gif
1Z999AA10123456828,12,UPS 3 Day Select,2027-09-10,78209,80203,7.0,USD,30.65,https://ups.example/labels/1Z999AA10123456828.gif
1Z999AA10123456829,02,UPS 2nd Day Air,2027-09-22,78209,80203,6.9,USD,27.34,https://ups.example/labels/1Z999AA10123456829.gif
1Z999AA10123456830,12,UPS 3 Day Select,2027-10-06,78209,80203,11.9,USD,44.99,https://ups.example/labels/1Z999AA10123456830.gif
