"pin_id","board_id","board_section_id","title","description","link","media_type","created_at","updated_at","dominant_color","alt_text","is_promoted","pin_metrics_impressions","pin_metrics_saves","pin_metrics_clicks"
"pin_0001","brd_0016","sec_0035","Market Golf Alpha","alpha india bravo valley ocean market foxtrot cloud","https://example.com/pin/1","image","2024-06-12T13:47:00Z","2024-11-30T04:10:00Z","#070150","ocean foxtrot charlie ocean india foxtrot","true","46399","224","1124"
"pin_0002","brd_0017","","Tower Golf Forest","golf ocean cloud mountain charlie charlie india market","https://example.com/pin/2","video","2024-05-04T07:17:00Z","2024-07-02T07:12:00Z","#0a3c9d","foxtrot echo stone charlie stone market","true","13820","60","103"
"pin_0003","brd_0046","","Cloud Alpha Hotel","foxtrot stone alpha delta foxtrot golf mountain india","https://example.com/pin/3","video","2024-02-10T18:52:00Z","2024-08-29T23:16:00Z","#0cb548","echo stone golf alpha tower foxtrot","false","46275","358","1153"
"pin_0004","brd_0036","","Foxtrot Hotel Bridge","bravo ocean echo mountain mountain valley river foxtrot","https://example.com/pin/4","video","2024-05-18T04:11:00Z","2024-09-19T07:09:00Z","#0b82b0","stone golf market juliet valley delta","false","48689","112","7"
"pin_0005","brd_0072","","Alpha Tower Valley","tower market cloud forest bravo india market mountain","https://example.com/pin/5","image","2024-01-07T23:21:00Z","2024-10-15T05:22:00Z","#03299b","delta charlie bridge river valley hotel","true","7000","492","171"
"pin_0006","brd_0112","","Mountain Mountain Hotel","valley india echo alpha cloud mountain mountain echo","https://example.com/pin/6","image","2024-02-10T11:25:00Z","2024-05-31T00:29:00Z","#0c2fcf","valley hotel tower golf india foxtrot","true","17443","477","798"
"pin_0007","brd_0114","","Stone Tower Cloud","delta cloud stone mountain hotel juliet juliet forest","https://example.com/pin/7","video","2024-03-03T13:58:00Z","2024-07-05T13:43:00Z","#07d184","ocean bridge india alpha echo hotel","false","33441","200","234"
"pin_0008","brd_0115","sec_0030","Bravo River India","river river stone tower foxtrot river india delta","https://example.com/pin/8","video","2024-05-25T06:27:00Z","2024-11-03T05:32:00Z","#069327","bravo india forest echo juliet ocean","false","29416","322","593"
"pin_0009","brd_0018","sec_0128","Echo Echo Forest","bravo bravo juliet market india hotel cloud hotel","https://example.com/pin/9","video","2024-06-20T01:13:00Z","2024-06-17T17:53:00Z","#0c94ad","ocean bravo cloud mountain cloud bridge","true","41234","347","804"
"pin_0010","brd_0028","","Hotel River Valley","hotel tower cloud hotel juliet hotel india mountain","https://example.com/pin/10","image","2024-07-11T06:42:00Z","2024-03-27T09:08:00Z","#0a1fa1","ocean india charlie bravo stone stone","true","30035","114","839"
"pin_0011","brd_0100","","India Echo Stone","hotel cloud mountain bridge bridge juliet juliet delta","https://example.com/pin/11","image","2024-07-30T11:45:00Z","2024-08-16T13:04:00Z","#05aad9","juliet india hotel mountain tower juliet","true","27407","130","57"
"pin_0012","brd_0041","","Charlie Forest Forest","charlie delta valley river foxtrot bridge forest delta","https://example.com/pin/12","video","2024-10-31T02:29:00Z","2024-08-08T08:34:00Z","#0d02b3","bridge india golf market bravo river","false","42390","244","1050"
"pin_0013","brd_0019","sec_0144","Echo Stone Alpha","tower echo echo charlie hotel india juliet golf","https://example.com/pin/13","image","2024-11-27T21:02:00Z","2024-09-29T10:05:00Z","#0b1db1","market market hotel hotel india delta","false","27408","379","1171"
