"pin_id","date","impressions","saves","pin_clicks","outbound_clicks"
"pin_0001","2024-03-09","1313","383","1427","44"
"pin_0002","2024-02-16","34078","214","803","447"
"pin_0003","2024-09-18","11436","240","337","204"
"pin_0004","2024-04-26","48800","155","94","40"
"pin_0005","2024-09-17","35864","47","579","289"
"pin_0006","2024-08-12","47068","225","1480","131"
"pin_0007","2024-02-25","36126","466","152","420"
"pin_0008","2024-09-14","45232","443","258","237"
"pin_0009","2024-02-10","42484","182","1954","461"
"pin_0010","2024-02-22","12785","384","225","302"
"pin_0011","2024-05-18","34553","86","1515","275"
"pin_0012","2024-10-13","9288","239","849","357"
"pin_0013","2024-04-22","17800","107","1628","305"
"pin_0014","2024-05-14","28422","119","760","228"
"pin_0015","2024-02-23","34964","408","1418","412"
"pin_0016","2024-09-27","26438","326","1100","388"
"pin_0017","2024-04-10","20897","143","967","494"
"pin_0018","2024-04-28","30681","146","681","235"
"pin_0019","2024-02-26","20496","427","1417","405"
"pin_0020","2024-08-16","12227","229","540","481"
"pin_0021","2024-12-11","48863","233","1219","472"
"pin_0022","2024-04-13","8221","448","1409","333"
"pin_0023","2024-11-03","35484","13","905","37"
"pin_0024","2024-03-06","16337","97","868","226"
"pin_0025","2024-09-19","6858","350","296","370"
"pin_0026","2024-02-25","21828","181","553","479"
"pin_0027","2024-03-22","14480","224","502","301"
"pin_0028","2024-12-15","38871","231","925","339"
"pin_0029","2024-12-25","1427","138","1388","52"
"pin_0030","2024-05-08","46024","172","1878","491"
"pin_0031","2024-10-03","35054","462","847","42"
"pin_0032","2024-04-20","25973","138","398","77"
"pin_0033","2024-05-04","24209","288","1540","451"
"pin_0034","2024-01-17","26215","124","261","455"
"pin_0035","2024-09-15","30092","231","656","387"
"pin_0036","2024-06-22","17141","368","1026","146"
"pin_0037","2024-01-20","1120","144","307","34"
"pin_0038","2024-01-02","44998","305","1181","248"
"pin_0039","2024-10-29","45716","266","1060","170"
"pin_0040","2024-08-23","26799","363","9","35"
"pin_0041","2024-12-13","37542","207","1467","213"
"pin_0042","2024-12-03","25685","351","905","293"
"pin_0043","2024-04-14","38206","289","1516","95"
"pin_0044","2024-09-09","35324","344","1918","99"
"pin_0045","2024-07-17","41929","365","65","444"
"pin_0046","2024-12-26","32468","297","1063","305"
"pin_0047","2024-01-22","46930","435","1161","249"
"pin_0048","2024-12-14","35065","484","1227","322"
"pin_0049","2024-04-03","1173","255","1349","463"
"pin_0050","2024-10-22","33625","120","1938","499"
"pin_0051","2024-12-24","16045","266","144","450"
"pin_0052","2024-01-07","7186","463","1550","96"
"pin_0053","2024-07-25","8639","143","11","259"
"pin_0054","2024-04-07","5456","312","684","404"
"pin_0055","2024-12-14","9923","366","1980","361"
"pin_0056","2024-07-12","17188","396","809","246"
"pin_0057","2024-05-26","16631","474","658","210"
"pin_0058","2024-12-19","12766","372","1482","429"
"pin_0059","2024-04-01","9573","479","1319","468"
"pin_0060","2024-06-17","1572","187","624","332"
"pin_0061","2024-07-14","30643","377","1069","442"
"pin_0062","2024-09-23","43391","147","1025","446"
"pin_0063","2024-10-11","854","385","1699","458"
"pin_0064","2024-07-10","37987","169","536","245"
"pin_0065","2024-05-26","11960","3","58","65"
"pin_0066","2024-09-29","37473","376","305","114"
"pin_0067","2024-06-04","14575","338","927","443"
"pin_0068","2024-02-18","19510","442","359","435"
"pin_0069","2024-12-28","18730","98","1384","257"
