listing_id,start_date,end_date,available
airbnb_dc_001,2027-03-14,2027-03-14,true
airbnb_dc_001,2027-03-15,2027-03-15,true
airbnb_dc_001,2027-03-16,2027-03-16,true
airbnb_dc_002,2027-03-14,2027-03-14,true
airbnb_dc_002,2027-03-15,2027-03-15,true
airbnb_dc_002,2027-03-16,2027-03-16,false
airbnb_dc_003,2027-03-14,2027-03-14,true
airbnb_dc_003,2027-03-15,2027-03-15,true
airbnb_dc_003,2027-03-16,2027-03-16,true
airbnb_dc_004,2027-03-14,2027-03-14,false
airbnb_dc_004,2027-03-15,2027-03-15,false
airbnb_dc_004,2027-03-16,2027-03-16,false
airbnb_dc_005,2027-03-14,2027-03-14,true
airbnb_dc_005,2027-03-15,2027-03-15,true
airbnb_dc_005,2027-03-16,2027-03-16,true
airbnb_dc_006,2027-03-14,2027-03-14,true
airbnb_dc_006,2027-03-15,2027-03-15,true
airbnb_dc_006,2027-03-16,2027-03-16,true
airbnb_dc_007,2027-03-14,2027-03-14,true
airbnb_dc_007,2027-03-15,2027-03-15,true
airbnb_dc_007,2027-03-16,2027-03-16,true
airbnb_dc_008,2027-03-14,2027-03-14,true
airbnb_dc_008,2027-03-15,2027-03-15,true
airbnb_dc_008,2027-03-16,2027-03-16,true
