id,name,country,state,lat,lon,timezone
1,Jacksonville,US,FL,30.3322,-81.6557,-18000
2,Jacksonville Beach,US,FL,25.7617,-80.1918,-18000
3,Ponte Vedra Beach,US,FL,28.5383,-81.3792,-18000
4,Neptune Beach,US,FL,27.9506,-82.4572,-18000
5,Atlantic Beach,US,GA,33.749,-84.388,-18000
6,Fernandina Beach,US,NY,36.9889,-84.0882,-18000
7,St. Augustine,US,NY,34.9013,-84.4484,-18000
8,Orange Park,US,NY,30.2489,-101.1816,-18000
9,Fleming Island,US,CA,43.1269,-101.3674,-18000
10,Julington Creek,US,CA,41.4315,-106.6378,-18000
11,Nocatee,US,TX,35.7243,-117.9241,-18000
12,Palm Coast,US,FL,38.2768,-89.1078,-18000
13,Daytona Beach,US,FL,38.768,-101.5209,-18000
14,New Smyrna Beach,US,NY,36.9666,-104.8535,-18000
15,Titusville,US,FL,38.1316,-91.7476,-18000
16,Melbourne,US,GA,29.0761,-111.7474,-18000
17,Miami,US,CA,43.3881,-118.4383,-18000
18,Miami Beach,US,GA,26.1106,-71.48,-18000
19,Fort Lauderdale,US,TX,28.8885,-93.8881,-18000
20,West Palm Beach,US,CA,28.7979,-101.8438,-18000
21,Boca Raton,US,TX,33.4914,-96.4617,-18000
22,Delray Beach,US,FL,25.614,-84.0259,-18000
23,Vero Beach,US,NY,33.3866,-121.18,-18000
24,Naples,US,TX,34.0252,-97.5814,-18000
25,Tampa,US,NY,29.6938,-76.689,-18000
26,St. Petersburg,US,NY,29.4232,-117.3122,-18000
27,Clearwater,US,GA,43.5609,-70.0278,-18000
28,Sarasota,US,FL,33.3667,-75.4989,-18000
29,Orlando,US,GA,39.4569,-100.7616,-18000
30,Winter Park,US,FL,34.3093,-86.547,-18000
31,Kissimmee,US,GA,43.1274,-73.1099,-18000
32,Lakeland,US,TX,30.8851,-90.3897,-18000
33,Gainesville,US,TX,26.3987,-109.239,-18000
34,Ocala,US,TX,36.784,-106.8009,-18000
35,Tallahassee,US,NY,35.1752,-115.7547,-18000
36,Pensacola,US,TX,32.4458,-123.8358,-18000
37,Charlotte,US,NY,27.1543,-75.1676,-18000
38,Durham,US,TX,31.4122,-74.0933,-18000
39,Raleigh,US,NY,32.91,-116.4888,-18000
40,Chapel Hill,US,CA,33.2666,-98.2907,-18000
41,Rochester,US,CA,36.9544,-109.8412,-18000
42,Denver,US,NY,33.3137,-80.5385,-18000
43,Cleveland,US,FL,39.9033,-121.6221,-18000
44,Boston,US,TX,27.3388,-96.3528,-18000
45,Philadelphia,US,CA,38.0402,-88.0378,-18000
46,Washington DC,US,GA,31.2745,-93.5148,-18000
47,Baltimore,US,NY,43.9768,-72.2751,-18000
