city_id,weather_id,weather_main,weather_description,weather_icon,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds,visibility,dt
1,500,Clear,light rain,01d,64.8,64.6,71.6,88.6,1013,48,9.5,135,27,10000,1758715200
2,802,Clear,few clouds,01d,70.0,61.6,67.6,78.7,1011,80,4.9,50,70,10000,1758715200
3,802,Clouds,light rain,01d,83.1,86.6,66.0,83.6,1013,75,6.4,295,14,10000,1758715200
4,801,Clouds,few clouds,01d,74.7,61.1,83.5,70.2,1021,45,11.6,48,26,10000,1758715200
5,801,Clouds,few clouds,01d,85.4,87.9,73.4,75.7,1010,65,2.4,30,85,10000,1758715200
6,500,Clear,clear sky,01d,74.2,64.9,73.4,87.7,1014,83,6.3,30,30,10000,1758715200
7,801,Rain,clear sky,01d,61.2,71.2,79.6,90.6,1015,56,14.5,328,33,10000,1758715200
8,801,Rain,few clouds,01d,83.4,81.6,82.2,87.2,1019,45,2.5,96,78,10000,1758715200
9,800,Clear,few clouds,01d,84.9,87.2,56.6,93.6,1020,87,7.0,102,69,10000,1758715200
10,500,Rain,light rain,01d,83.8,69.4,78.2,86.5,1018,73,10.2,39,85,10000,1758715200
11,500,Clear,light rain,01d,80.5,88.6,72.7,70.4,1021,44,6.5,51,82,10000,1758715200
12,801,Clear,clear sky,01d,87.8,60.6,56.1,72.3,1023,71,10.4,247,99,10000,1758715200
13,800,Clear,few clouds,01d,89.6,76.9,67.9,81.5,1015,61,5.6,358,85,10000,1758715200
14,500,Clouds,few clouds,01d,72.0,84.4,77.2,93.0,1010,42,14.4,65,78,10000,1758715200
15,500,Clouds,few clouds,01d,78.8,68.9,75.2,72.7,1012,90,11.0,359,22,10000,1758715200
16,801,Clear,few clouds,01d,82.4,85.3,81.0,89.4,1020,51,2.7,96,46,10000,1758715200
17,801,Clouds,few clouds,01d,64.2,70.6,62.3,79.7,1015,49,10.7,164,55,10000,1758715200
18,802,Clear,clear sky,01d,67.4,67.1,75.7,82.7,1016,84,14.7,200,39,10000,1758715200
19,500,Rain,light rain,01d,70.6,64.3,65.7,72.6,1022,80,4.4,262,54,10000,1758715200
20,800,Rain,light rain,01d,83.3,67.5,70.9,74.7,1019,63,7.3,13,93,10000,1758715200
21,800,Clouds,light rain,01d,61.9,77.6,81.4,88.1,1016,64,6.0,337,100,10000,1758715200
22,500,Clouds,few clouds,01d,83.0,66.3,59.4,75.4,1013,52,2.6,152,26,10000,1758715200
23,802,Clouds,light rain,01d,84.4,66.8,70.2,72.2,1025,58,9.6,73,18,10000,1758715200
24,801,Rain,few clouds,01d,71.8,67.1,75.6,78.1,1018,47,9.9,296,44,10000,1758715200
25,500,Clouds,few clouds,01d,77.5,64.8,66.7,94.5,1012,41,2.9,47,38,10000,1758715200
26,500,Clouds,light rain,01d,79.1,89.0,79.7,71.3,1017,62,13.5,155,1,10000,1758715200
27,500,Rain,few clouds,01d,66.8,71.0,67.7,79.1,1022,44,11.8,106,41,10000,1758715200
28,801,Clouds,clear sky,01d,71.7,71.0,79.2,76.9,1012,48,7.8,99,57,10000,1758715200
29,801,Rain,light rain,01d,81.6,76.0,66.6,72.8,1015,58,13.4,291,22,10000,1758715200
30,802,Rain,light rain,01d,84.7,83.6,61.3,83.6,1016,83,5.6,353,93,10000,1758715200
31,800,Rain,clear sky,01d,84.3,75.3,62.4,75.3,1020,41,6.1,274,63,10000,1758715200
32,500,Clear,few clouds,01d,83.7,87.3,79.5,84.7,1017,81,14.3,199,100,10000,1758715200
33,802,Clouds,clear sky,01d,81.2,89.4,60.9,88.0,1020,45,3.1,323,69,10000,1758715200
34,500,Clouds,light rain,01d,64.9,87.7,83.9,75.4,1012,77,10.0,175,10,10000,1758715200
35,801,Rain,clear sky,01d,78.1,68.4,63.5,72.7,1023,67,2.5,212,17,10000,1758715200
36,802,Clear,light rain,01d,70.2,87.2,69.0,91.1,1020,78,9.3,174,90,10000,1758715200
37,800,Rain,few clouds,01d,62.4,68.2,63.0,70.4,1019,41,8.7,67,39,10000,1758715200
