chat_id,user_id,status
-200500,9000,administrator
-200500,9001,administrator
-200500,9002,administrator
-200500,9003,member
-200500,9004,administrator
-200500,9005,member
-200500,9006,member
-200651,9196,creator
-200697,9198,member
-200741,9134,member
-200603,9187,member
-200617,9052,member
-200726,9200,administrator
-200636,9033,member
-200787,9141,administrator
-200603,9167,administrator
-200651,9152,administrator
-200704,9175,member
-200803,9109,member
-200608,9133,member
-200724,9161,member
-200696,9069,administrator
-200711,9031,administrator
-200658,9112,administrator
-200645,9051,administrator
-200772,9005,administrator
-200784,9065,administrator
-200657,9098,creator
-200643,9057,creator
-200704,9050,member
-200763,9048,administrator
-200609,9114,creator
-200632,9159,administrator
-200733,9066,creator
-200734,9186,creator
-200767,9099,administrator
-200693,9106,administrator
-200609,9000,administrator
-200764,9010,administrator
-200772,9098,creator
-200631,9115,member
-200732,9026,member
-200647,9043,creator
-200631,9144,creator
-200764,9175,member
-200728,9014,administrator
-200726,9029,administrator
-200608,9063,creator
-200679,9203,member
-200625,9061,administrator
-200636,9021,administrator
-200704,9035,member
-200615,9151,creator
-200636,9049,creator
-200643,9120,creator
-200608,9058,creator
-200697,9041,administrator
-200500,9164,creator
-200784,9163,administrator
-200768,9160,creator
-200734,9022,creator
-200697,9188,administrator
-200615,9194,administrator
-200658,9130,member
-200748,9117,member
-200663,9112,creator
-200696,9116,creator
-200658,9150,administrator
-200787,9007,creator
-200689,9027,member
-200649,9075,creator
-200651,9100,member
-200657,9146,administrator
-200741,9018,creator
-200615,9076,creator
-200728,9057,member
-200695,9125,creator
-200775,9113,member
-200768,9033,member
-200743,9016,administrator
-200689,9184,member
-200732,9157,creator
-200651,9083,administrator
-200647,9161,administrator
-200657,9119,creator
-200776,9186,member
-200645,9106,member
-200643,9144,creator
-200632,9018,administrator
-200740,9177,administrator
-200715,9141,member
-200686,9119,creator
-200718,9118,creator
-200640,9051,administrator
-200802,9050,creator
-200733,9086,creator
-200728,9167,member
-200705,9155,creator
-200722,9186,member
-200711,9108,member
-200640,9128,administrator
-200767,9166,member
-200657,9036,member
-200748,9039,member
-200673,9060,creator
-200672,9099,member
-200623,9027,administrator
-200658,9148,member
-200603,9080,member
-200787,9188,administrator
-200500,9053,member
-200728,9124,creator
-200765,9115,creator
-200801,9143,administrator
-200686,9058,member
-200731,9073,administrator
-200617,9165,administrator
-200655,9062,member
-200767,9096,member
-200643,9176,creator
-200679,9111,creator
-200771,9067,administrator
-200728,9134,administrator
-200725,9118,administrator
-200666,9110,creator
-200703,9170,member
-200741,9006,administrator
-200728,9044,member
-200657,9110,creator
-200703,9177,creator
-200798,9197,administrator
-200801,9014,member
-200771,9116,administrator
-200732,9056,administrator
-200649,9121,administrator
-200743,9093,member
-200732,9184,creator
-200733,9081,creator
-200743,9013,administrator
-200726,9124,administrator
-200623,9077,administrator
-200733,9082,administrator
-200748,9001,administrator
-200649,9009,administrator
-200623,9051,member
-200631,9040,creator
-200666,9023,administrator
-200500,9151,administrator
-200776,9113,member
-200705,9139,administrator
-200500,9050,administrator
-200649,9186,creator
-200672,9176,administrator
-200652,9058,creator
-200609,9071,administrator
-200623,9147,member
-200767,9020,creator
-200801,9067,creator
-200803,9114,administrator
-200695,9050,creator
-200617,9168,creator
-200608,9154,creator
-200696,9088,administrator
-200623,9053,administrator
-200617,9202,administrator
-200636,9049,administrator
-200652,9109,member
-200723,9069,creator
-200708,9165,administrator
-200765,9156,creator
-200703,9101,administrator
-200772,9153,member
-200753,9184,creator
-200603,9093,creator
-200633,9046,creator
-200689,9201,member
-200727,9126,creator
-200632,9170,creator
-200628,9198,creator
-200608,9103,member
-200767,9064,member
-200634,9060,administrator
-200612,9169,administrator
-200625,9115,member
-200728,9115,administrator
-200732,9116,administrator
-200658,9007,member
-200711,9126,member
-200740,9070,member
-200605,9101,creator
-200652,9174,member
-200784,9070,administrator
-200736,9062,member
-200763,9152,member
-200762,9183,creator
-200615,9101,member
-200771,9144,member
-200673,9169,administrator
-200727,9055,member
-200636,9061,creator
-200724,9063,creator
-200672,9006,administrator
-200631,9176,creator
-200736,9007,member
-200625,9162,member
-200765,9035,member
-200689,9142,creator
-200708,9182,creator
-200689,9203,administrator
-200715,9154,administrator
-200629,9158,creator
-200727,9111,administrator
-200689,9201,member
-200693,9106,administrator
-200741,9134,member
-200727,9126,creator
-200784,9163,administrator
-200728,9014,administrator
-200651,9152,administrator
-200633,9046,creator
-200697,9198,member
-200741,9006,administrator
-200658,9150,administrator
-200705,9155,creator
-200803,9114,administrator
-200727,9055,member
-200767,9020,creator
-200724,9063,creator
-200623,9077,administrator
-200743,9093,member
-200500,9006,member
-200726,9029,administrator
-200722,9186,member
-200500,9000,administrator
-200768,9160,creator
-200803,9109,member
-200615,9076,creator
-200696,9069,administrator
-200748,9001,administrator
-200623,9147,member
-200772,9005,administrator
-200632,9018,administrator
-200649,9186,creator
-200711,9126,member
