track	artist	playlist	context	plays
Warm Start	Indie pop, Artist A	Studio mornings	focus, ramping up	41
Open Window	Indie pop, Artist A	Studio mornings	focus	33
Slow Current	Instrumental trio, Artist B	Deep work, no words	instrumental, jazzy	58
Quiet Hands	Instrumental trio, Artist B	Deep work, no words	instrumental	47
Long Sunday	Alt singer, Artist C	Slow Sunday	meal prep	29
Empty Rooms	Alt singer, Artist C	Slow Sunday	cleaning the studio	36
Soft Static	Electronic, Artist D	Deep work, no words	instrumental	52
Evening Mile	Ambient, Artist E	Deep work, no words	instrumental, evening	44
Late Edit	Downtempo, Artist F	Wind down	late edits	27
Dust and Tape	Lo-fi, Artist G	Lo-fi for revisions	background	61
