id,page_id,parent_block_id,type,text,order,created_time,last_edited_time,has_children,checked
blk_001,pg_003,,heading_2,Brand Onboarding Milestones,1,2026-07-01T09:00:00-04:00,2026-09-28T11:00:00-04:00,False,False
blk_002,pg_003,,paragraph,Week 1-4: Shadow Floyd on all load bookings. COMPLETE.,2,2026-07-15T10:00:00-04:00,2026-08-01T10:00:00-04:00,False,False
blk_003,pg_003,,paragraph,Week 5-8: Handle 2-3 loads independently with oversight. COMPLETE.,3,2026-08-15T10:00:00-04:00,2026-09-01T10:00:00-04:00,False,False
blk_004,pg_003,,paragraph,Week 9-12: Full independent load management. IN PROGRESS. 90-day review pending.,4,2026-09-15T10:00:00-04:00,2026-09-28T11:00:00-04:00,False,False
blk_005,pg_005,,heading_2,Floyd - Current Medications,5,2026-06-01T10:00:00-04:00,2026-09-28T15:00:00-04:00,False,False
blk_006,pg_005,,paragraph,Atorvastatin 20mg daily - cholesterol. Last refill Sep 28.,6,2026-06-01T10:00:00-04:00,2026-09-28T15:00:00-04:00,False,False
blk_007,pg_005,,paragraph,Baby aspirin 81mg daily. Multivitamin daily.,7,2026-06-01T10:00:00-04:00,2026-06-15T10:00:00-04:00,False,False
blk_008,pg_005,,paragraph,"Last cholesterol panel: LDL 142, HDL 48, Total 210. June 2026.",8,2026-06-15T14:00:00-04:00,2026-06-15T14:00:00-04:00,False,False
blk_009,pg_005,,heading_2,Mama June - Health Notes,9,2026-09-30T07:00:00-04:00,2026-09-30T07:00:00-04:00,False,False
blk_010,pg_005,,paragraph,Sep 30: Mama June says Dr. Caldwell changed her cholesterol medication to atorvastatin 40mg. Was on 20mg. Need to confirm - she sounded confused. DO NOT mix up with my own atorvastatin 20mg.,10,2026-09-30T07:00:00-04:00,2026-09-30T12:00:00-04:00,False,False
blk_011,pg_008,,heading_2,Smoker Maintenance,11,2025-05-01T10:00:00-04:00,2026-09-26T15:30:00-04:00,False,False
blk_012,pg_008,,paragraph,"Sep 26: Ordered replacement firebrick set ($67), temperature probe 2-pack ($42), drip pan ($18). Total $127 from BBQ Supply Co. Order #BBQ-7729.",12,2026-09-26T15:30:00-04:00,2026-09-26T15:30:00-04:00,False,False
blk_013,pg_007,,heading_2,Software Evaluation Notes,13,2026-09-10T14:00:00-04:00,2026-09-27T16:00:00-04:00,False,False
blk_014,pg_007,,paragraph,FreightFlow Pro: $189/mo Professional plan. Includes carrier compliance module. Trial ends Oct 15.,14,2026-09-10T14:00:00-04:00,2026-09-27T16:00:00-04:00,False,False
blk_015,pg_007,,paragraph,RoutePoint: $165/mo. Does NOT include carrier compliance. Would need add-on at $45/mo = $210 total.,15,2026-09-15T10:00:00-04:00,2026-09-27T16:00:00-04:00,False,False
blk_016,pg_004,,heading_2,Megan - Fall 2026 Budget,16,2026-07-15T08:00:00-04:00,2026-08-20T09:00:00-04:00,False,False
blk_017,pg_004,,paragraph,"Ridge Valley College tuition: $600/semester. Pre-law society dues: $150/year. Books estimate: $200. Donna and I agreed to cover tuition direct. Megan handles the rest from her campus job.",17,2026-07-15T08:00:00-04:00,2026-08-20T09:00:00-04:00,False,False
blk_0100,pg_008,,paragraph,Note #1: Routine operational note.,20,2026-08-02T10:00:00-04:00,2026-09-19T10:00:00-04:00,False,False
blk_0101,pg_002,,paragraph,Note #2: Routine operational note.,21,2026-04-23T10:00:00-04:00,2026-09-14T10:00:00-04:00,False,False
blk_0102,pg_002,,paragraph,Note #3: Routine operational note.,22,2026-02-06T10:00:00-04:00,2026-09-15T10:00:00-04:00,False,False
blk_0103,pg_004,,paragraph,Note #4: Routine operational note.,23,2026-05-19T10:00:00-04:00,2026-09-26T10:00:00-04:00,False,False
blk_0104,pg_008,,paragraph,Note #5: Routine operational note.,24,2026-09-20T10:00:00-04:00,2026-09-03T10:00:00-04:00,False,False
blk_0105,pg_008,,paragraph,Note #6: Routine operational note.,25,2026-04-23T10:00:00-04:00,2026-09-22T10:00:00-04:00,False,False
blk_0106,pg_008,,paragraph,Note #7: Routine operational note.,26,2026-02-23T10:00:00-04:00,2026-09-05T10:00:00-04:00,False,False
