Date	Matter_No	Task_Code	Description	Hours	Rate_USD	Amount_USD
2026-02-02	2024-0417	L120	Review Coastal change-order production; flag oral-modification issues	2.4	395	948.0
2026-02-03	2024-0417	L240	Draft outline of motion in limine re: oral modification testimony	1.8	395	711.0
2026-02-04	2024-0233	L160	Prepare mediation statement for partnership dissolution	3.1	395	1224.5
2026-02-05	2024-0417	L320	Confer with retained damages expert on lost-profits model	1.2	395	474.0
2026-02-09	2024-0417	L110	Revise privilege log; coordinate with A. Patel and J. Nguyen	2.0	395	790.0
2026-02-11	2024-0233	L160	Attend mediation session (second chair)	4.5	395	1777.5
2026-02-12	2024-0417	L120	Second-level review of invoice production for damages tie-out	2.6	395	1027.0
2026-02-17	2024-0417	L250	Prepare deposition notices for Coastal PM and expert	1.5	395	592.5
2026-02-18	2024-0417	L190	Status memo to C. Ware on pre-trial tasks	1.1	395	434.5
2026-02-23	2024-0417	L240	Draft motion in limine, first pass	3.4	395	1343.0
2026-02-24	2024-0417	L190	Finalize and circulate strategy memo	0.9	395	355.5
2026-02-25	2024-0417	L120	QC document review tracker; update Bates ranges	1.3	395	513.5
