id,name,type,messages_total,messages_unread,threads_total,threads_unread
Label_INBOX,INBOX,system,12,3,12,3
Label_SENT,SENT,system,0,0,0,0
Label_DRAFT,DRAFT,system,2,0,2,0
Label_CedarRidge,Cedar-Ridge,user,3,1,3,1
Label_Tournament,Tournament,user,4,1,4,1
Label_Sponsors,Sponsors,user,2,0,2,0
Label_Family,Family,user,1,0,1,0
Label_CascadeWork,Cascade-Work,user,1,0,1,0
lbl-00108,Waivers v4,labelShow,#ff5722,detail_174,206.08,detail_298
lbl-00109,Newsletter v5,labelShow,#ff5722,detail_998,233.93,detail_157
lbl-00110,Hobbies v1,labelShow,#00bcd4,detail_604,134.13,detail_944
lbl-00111,Hobbies v2,labelHide,#00c853,detail_960,415.64,detail_544
lbl-00112,Sponsors v3,labelHide,#6200ea,detail_221,474.52,detail_603
lbl-00113,Family v4,labelHide,#d50000,detail_457,320.91,detail_441
lbl-00114,Indie v5,labelShow,#d50000,detail_931,289.81,detail_208
lbl-00115,Kids School v1,labelHide,#3d5afe,detail_838,348.14,detail_833
lbl-00116,Playtesters v2,labelHide,#d50000,detail_224,137.83,detail_613
lbl-00117,Vendors v3,labelHide,#6200ea,detail_783,217.08,detail_362
lbl-00118,Dojo v4,labelHide,#6200ea,detail_485,184.91,detail_965
lbl-00119,Studio v5,labelHide,#3d5afe,detail_892,380.66,detail_649
lbl-00120,Studio v1,labelHide,#ff5722,detail_361,303.77,detail_863
lbl-00121,Studio v2,labelHide,#ff5722,detail_704,257.88,detail_775
lbl-00122,Cycling v3,labelHide,#6200ea,detail_619,492.0,detail_271
lbl-00123,Sponsors v4,labelHide,#aa00ff,detail_996,445.02,detail_360
lbl-00124,Waivers v5,labelHide,#ff5722,detail_133,430.58,detail_567
lbl-00125,Raj v1,labelHide,#6200ea,detail_400,321.54,detail_772
lbl-00126,Waivers v2,labelHide,#00c853,detail_636,164.92,detail_928
lbl-00127,Indie v3,labelShow,#ff6d00,detail_367,490.97,detail_341
lbl-00128,Medical v4,labelShow,#00c853,detail_786,203.74,detail_311
lbl-00129,Raj v5,labelHide,#00c853,detail_661,60.57,detail_359
lbl-00130,Playtesters v1,labelHide,#00c853,detail_719,478.25,detail_464
lbl-00131,Vendors v2,labelHide,#d50000,detail_969,305.09,detail_865
lbl-00132,Indie v3,labelShow,#d50000,detail_687,448.61,detail_539
lbl-00133,Kids School v4,labelHide,#00bcd4,detail_385,374.0,detail_703
lbl-00134,Sensei Tom v5,labelShow,#ff6d00,detail_658,193.68,detail_153
lbl-00135,Family v1,labelHide,#ff5722,detail_315,279.93,detail_332
lbl-00136,Family v2,labelShow,#aa00ff,detail_516,435.9,detail_928
lbl-00137,Sensei Tom v3,labelHide,#00c853,detail_954,245.5,detail_196
lbl-00138,Cycling v4,labelShow,#00bcd4,detail_212,343.21,detail_694
lbl-00139,Family v5,labelHide,#00bcd4,detail_241,285.2,detail_584
lbl-00140,Studio v1,labelHide,#ff6d00,detail_439,14.02,detail_872
lbl-00141,Playtesters v2,labelHide,#ff5722,detail_211,378.77,detail_708
lbl-00142,Newsletter v3,labelShow,#d50000,detail_513,239.12,detail_188
lbl-00143,Kids School v4,labelHide,#ff6d00,detail_710,162.56,detail_331
lbl-00144,Playtesters v5,labelHide,#00c853,detail_812,21.41,detail_212
