legacy_label,suggested_canonical_label,note
Greenmount East,Greenmount East,active site
Greenmount-East Annex,Greenmount East,DEPRECATED MERGE SUGGESTION - do not apply without site review
GreenmountEast Annex,Greenmount East,old import typo variant
Patterson Park N.,Patterson Park North,abbreviation cleanup
Sandtown Winchester,Sandtown-Winchester,hyphenation cleanup
Madison Eastend,Madison-Eastend,hyphenation cleanup
Coldstream Homestead,Coldstream Homestead Montebello,full name expansion
Belair Edison,Belair-Edison,hyphenation cleanup
Highland Town,Highlandtown,spacing cleanup
Fell's Point,Fells Point,apostrophe removal
