entry_id,date,category,description,amount,type,quarter
WB-001,2026-07-06,Instruction Income,Fingerstyle workshop registrations July cohort,1840.00,income,2026Q3
WB-002,2026-07-13,Instruction Income,Private lessons block July,960.00,income,2026Q3
WB-003,2026-07-20,Materials,Capo and string restock for student kits,142.55,expense,2026Q3
WB-004,2026-07-27,Venue,Dragonfly Music Center room hire July,300.00,expense,2026Q3
WB-005,2026-08-03,Instruction Income,Fingerstyle workshop registrations August cohort,2120.00,income,2026Q3
WB-006,2026-08-10,Materials,Printed tab booklets August,88.40,expense,2026Q3
WB-007,2026-08-17,Venue,Dragonfly Music Center room hire August,300.00,expense,2026Q3
WB-008,2026-08-24,Instruction Income,Private lessons block August,1080.00,income,2026Q3
WB-009,2026-08-31,Equipment,Backup acoustic pickup,118.00,expense,2026Q3
WB-010,2026-09-07,Instruction Income,Fingerstyle workshop registrations September cohort,1960.00,income,2026Q3
WB-011,2026-09-14,Materials,Student kit strings and picks September,96.25,expense,2026Q3
WB-012,2026-09-21,Venue,Dragonfly Music Center room hire September,300.00,expense,2026Q3
WB-013,2026-09-28,Instruction Income,Private lessons block September,1140.00,income,2026Q3
WB-014,2026-09-29,Materials,Replacement tuner pedal,128900.00,expense,2026Q3
WB-015,2026-09-30,Instruction Income,Workshop deposit carryover,640.00,income,2026Q3
WB-016,2026-07-02,Instruction Income,Beginner group class July enrollment,720.00,income,2026Q3
WB-017,2026-07-09,Materials,Capodaster bulk order for student loaners,210.30,expense,2026Q3
WB-018,2026-07-16,Instruction Income,Workshop merch table sales,184.00,income,2026Q3
WB-019,2026-07-23,Venue,PA system rental for recital,145.00,expense,2026Q3
WB-020,2026-08-01,Instruction Income,Fingerstyle intensive weekend,2480.00,income,2026Q3
WB-021,2026-08-08,Materials,Replacement bridge pins and nuts,57.60,expense,2026Q3
WB-022,2026-08-15,Instruction Income,Private lessons block mid-August,840.00,income,2026Q3
WB-023,2026-08-22,Travel,Mileage to Brookhaven festival rehearsal,62.40,expense,2026Q3
WB-024,2026-08-29,Instruction Income,Workshop registrations late August,1560.00,income,2026Q3
WB-025,2026-09-05,Materials,Sheet music licensing for arrangements,98.00,expense,2026Q3
WB-026,2026-09-12,Instruction Income,Group class September cohort B,1320.00,income,2026Q3
WB-027,2026-09-19,Equipment,Microphone stand and cables,74.85,expense,2026Q3
WB-028,2026-09-26,Instruction Income,Private lessons block late September,900.00,income,2026Q3
WB-029,2026-09-30,Materials,Strings restock quarter close,112.20,expense,2026Q3
WB-030,2026-09-30,Instruction Income,Outstanding registration settlements,1280.00,income,2026Q3
