asset_tag,item,description,assigned_team,location,status,last_service
CIPH-URISN-001,pulse oximeter,Fingertip SpO2 unit for symptom screening,Field RA,Greenmount East,active,2026-08-12
CIPH-URISN-002,field tablet,Rugged tablet running the URISN intake form,Yemi,Berea,active,2026-09-01
CIPH-URISN-003,field tablet,Rugged tablet running the URISN intake form,Sarah,McElderry Park,active,2026-09-01
CIPH-URISN-004,sample cooler,Specimen transport cooler with temp logger,Field RA,Oliver,repair,2026-07-20
CIPH-URISN-005,infrared thermometer,No-contact fever screen,Yemi,Broadway East,active,2026-08-28
CIPH-URISN-006,laptop,Analysis laptop with R and Stata,Marcus Hayes,CIPH office,active,2026-09-15
CIPH-URISN-007,laptop,Analysis laptop with R and Python,Gerald Roman,CIPH office,active,2026-09-15
CIPH-URISN-008,air quality sensor,Portable PM2.5 sensor for covariate spot checks,Field RA,Patterson Park,repair,2026-06-30
CIPH-URISN-009,document scanner,Consent-form scanner at the enclave,CIPH office,CIPH office,active,2026-08-05
CIPH-URISN-010,pulse oximeter,Fingertip SpO2 unit for symptom screening,Field RA,Highlandtown,active,2026-08-12
CIPH-URISN-011,field tablet,Rugged tablet running the URISN intake form,Yemi,Canton,active,2026-09-01
CIPH-URISN-012,sample cooler,Specimen transport cooler with temp logger,Field RA,Fells Point,active,2026-07-20
CIPH-URISN-013,infrared thermometer,No-contact fever screen,Sarah,Upton,active,2026-08-28
CIPH-URISN-014,field tablet,Rugged tablet running the URISN intake form,Sarah,Sandtown-Winchester,repair,2026-09-01
CIPH-URISN-015,laptop,Loaner field laptop,Field RA,Druid Heights,active,2026-09-15
CIPH-URISN-016,air quality sensor,Portable PM2.5 sensor for covariate spot checks,Field RA,Reservoir Hill,active,2026-06-30
CIPH-URISN-017,pulse oximeter,Fingertip SpO2 unit for symptom screening,Field RA,Charles Village,active,2026-08-12
CIPH-URISN-018,document scanner,Backup consent-form scanner,CIPH office,CIPH office,retired,2026-05-10
CIPH-URISN-019,sample cooler,Specimen transport cooler with temp logger,Field RA,Waverly,active,2026-07-20
CIPH-URISN-020,field tablet,Rugged tablet running the URISN intake form,Yemi,Hampden,active,2026-09-01
