neighborhood_code,neighborhood_name,quadrant,site_label,site_id,active_window
NB-001,Greenmount East,East,Greenmount East,SITE-101,2026Q3
NB-001A,Greenmount East,East,Greenmount-East Annex,SITE-118,2026Q3
NB-002,Oliver,East,Oliver,SITE-102,2026Q3
NB-003,Broadway East,East,Broadway East,SITE-103,2026Q3
NB-004,Madison-Eastend,East,Madison-Eastend,SITE-104,2026Q3
NB-005,Patterson Park North,East,Patterson Park North,SITE-105,2026Q3
NB-006,Highlandtown,Southeast,Highlandtown,SITE-106,2026Q3
NB-007,Canton,Southeast,Canton,SITE-107,2026Q3
NB-008,Fells Point,Southeast,Fells Point,SITE-108,2026Q3
NB-009,Upton,West,Upton,SITE-109,2026Q3
NB-010,Sandtown-Winchester,West,Sandtown-Winchester,SITE-110,2026Q3
NB-011,Harlem Park,West,Harlem Park,SITE-111,2026Q3
NB-012,Penn North,West,Penn North,SITE-112,2026Q3
NB-013,Mondawmin,West,Mondawmin,SITE-113,2026Q3
NB-014,Pimlico,Northwest,Pimlico,SITE-114,2026Q3
NB-015,Park Heights,Northwest,Park Heights,SITE-115,2026Q3
NB-016,Charles Village,North,Charles Village,SITE-116,2026Q3
NB-017,Waverly,North,Waverly,SITE-117,2026Q3
NB-018,Hampden,North,Hampden,SITE-119,2026Q3
NB-019,Cherry Hill,South,Cherry Hill,SITE-120,2026Q3
NB-020,Brooklyn,South,Brooklyn,SITE-121,2026Q3
NB-021,Remington,North,Remington,SITE-122,2026Q3
NB-022,Medfield,North,Medfield,SITE-123,2026Q3
NB-023,Hampden West,North,Hampden West,SITE-124,2026Q3
NB-024,Federal Hill,South,Federal Hill,SITE-125,2026Q3
NB-025,Locust Point,South,Locust Point,SITE-126,2026Q3
NB-026,Curtis Bay,South,Curtis Bay,SITE-127,2026Q3
NB-027,Pigtown,Southwest,Pigtown,SITE-128,2026Q3
NB-028,Carrollton Ridge,Southwest,Carrollton Ridge,SITE-129,2026Q3
NB-029,Union Square,Southwest,Union Square,SITE-130,2026Q3
NB-030,Franklin Square,West,Franklin Square,SITE-131,2026Q3
NB-031,Poppleton,West,Poppleton,SITE-132,2026Q3
NB-032,Druid Heights,West,Druid Heights,SITE-133,2026Q3
NB-033,Reservoir Hill,North,Reservoir Hill,SITE-134,2026Q3
NB-034,Better Waverly,North,Better Waverly,SITE-135,2026Q3
NB-035,Belair-Edison,Northeast,Belair-Edison,SITE-136,2026Q3
NB-036,Coldstream Homestead,Northeast,Coldstream Homestead Montebello,SITE-137,2026Q3
NB-037,Berea,East,Berea,SITE-138,2026Q3
NB-038,Middle East,East,Middle East,SITE-139,2026Q3
NB-039,Dunbar-Broadway,East,Dunbar-Broadway,SITE-140,2026Q3
NB-040,Patterson Place,Southeast,Patterson Place,SITE-141,2026Q3
