neighborhood_code,enrolled,retained,withdrew,as_of
NB-001,110,89,6,2026-09-30
NB-002,79,56,8,2026-09-30
NB-003,45,32,4,2026-09-30
NB-004,177,133,7,2026-09-30
NB-005,145,118,6,2026-09-30
NB-006,98,85,2,2026-09-30
NB-007,133,103,4,2026-09-30
NB-008,136,102,2,2026-09-30
NB-009,53,45,2,2026-09-30
NB-010,106,80,8,2026-09-30
NB-011,167,124,2,2026-09-30
NB-012,173,137,2,2026-09-30
NB-013,148,126,5,2026-09-30
NB-014,132,98,1,2026-09-30
NB-015,45,37,6,2026-09-30
NB-016,57,40,6,2026-09-30
NB-017,58,51,2,2026-09-30
NB-018,167,142,1,2026-09-30
NB-019,85,71,4,2026-09-30
NB-020,121,98,4,2026-09-30
NB-021,108,91,2,2026-09-30
NB-022,44,31,4,2026-09-30
NB-023,177,136,4,2026-09-30
NB-024,85,75,0,2026-09-30
NB-025,103,87,3,2026-09-30
NB-026,93,69,4,2026-09-30
NB-027,126,106,0,2026-09-30
NB-028,68,59,6,2026-09-30
NB-029,76,66,4,2026-09-30
NB-030,120,98,3,2026-09-30
NB-031,78,63,6,2026-09-30
NB-032,163,137,0,2026-09-30
NB-033,152,132,4,2026-09-30
NB-034,75,64,4,2026-09-30
NB-035,102,80,5,2026-09-30
NB-036,164,123,1,2026-09-30
NB-037,101,80,2,2026-09-30
NB-038,53,40,3,2026-09-30
NB-039,127,109,4,2026-09-30
NB-040,58,45,6,2026-09-30
NB-001A,129,104,0,2026-09-30
