column_id,board_id,title,type,position
mnd-c-001,mnd-b-terre,Piece,text,1
mnd-c-002,mnd-b-terre,Status,status,2
mnd-c-003,mnd-b-terre,Owner,person,3
mnd-c-004,mnd-b-terre,Deadline,date,4
mnd-c-005,mnd-b-terre,Fee JPY,numbers,5
mnd-c-006,mnd-b-terre,Fee EUR,numbers,6
mnd-c-007,mnd-b-terre,Notes,long_text,7
mnd-c-008,mnd-b-terre,Crate,text,8
mnd-c-009,mnd-b-mus,Piece,text,9
mnd-c-010,mnd-b-mus,Status,status,10
mnd-c-011,mnd-b-mus,Owner,person,11
mnd-c-012,mnd-b-mus,Deadline,date,12
mnd-c-013,mnd-b-mus,Fee JPY,numbers,13
mnd-c-014,mnd-b-mus,Fee EUR,numbers,14
mnd-c-015,mnd-b-mus,Notes,long_text,15
mnd-c-016,mnd-b-mus,Crate,text,16
mnd-c-017,mnd-b-shibui,Piece,text,17
mnd-c-018,mnd-b-shibui,Status,status,18
mnd-c-019,mnd-b-shibui,Owner,person,19
mnd-c-020,mnd-b-shibui,Deadline,date,20
mnd-c-021,mnd-b-shibui,Fee JPY,numbers,21
mnd-c-022,mnd-b-shibui,Fee EUR,numbers,22
mnd-c-023,mnd-b-shibui,Notes,long_text,23
mnd-c-024,mnd-b-shibui,Crate,text,24
