group_id,board_id,title,color,position
mnd-g-001,mnd-b-terre,Backlog,yellow,1
mnd-g-002,mnd-b-terre,In Progress,yellow,2
mnd-g-003,mnd-b-terre,Blocked,yellow,3
mnd-g-004,mnd-b-terre,Done,green,4
mnd-g-005,mnd-b-mus,Backlog,yellow,5
mnd-g-006,mnd-b-mus,In Progress,yellow,6
mnd-g-007,mnd-b-mus,Blocked,yellow,7
mnd-g-008,mnd-b-mus,Done,green,8
mnd-g-009,mnd-b-shibui,Backlog,yellow,9
mnd-g-010,mnd-b-shibui,In Progress,yellow,10
mnd-g-011,mnd-b-shibui,Blocked,yellow,11
mnd-g-012,mnd-b-shibui,Done,green,12
