tracking_number,service_code,service_name,ship_date,origin_zip,dest_zip,weight_lb,currency,total_charge,label_url
1Z999986310,03,UPS Ground,2024-11-16,98188,49684,4.0,USD,0.38,https://ups.com/track/1Z999986310
1Z999506667,03,UPS Ground,2024-11-20,37206,49684,2.1,USD,0.03,https://ups.com/track/1Z999506667
1Z999756869,03,UPS Ground,2024-12-02,48864,49684,0.6,USD,2.32,https://ups.com/track/1Z999756869
1Z999240652,03,UPS Ground,2024-12-10,49684,49684,3.5,USD,1.38,https://ups.com/track/1Z999240652
1Z999340637,03,UPS Ground,2024-12-21,49684,49684,2.8,USD,9.92,https://ups.com/track/1Z999340637
1Z999776614,03,UPS Ground,2024-12-21,98188,49684,4.0,USD,3.84,https://ups.com/track/1Z999776614
1Z999512211,03,UPS Ground,2024-12-27,37206,49684,2.1,USD,11.34,https://ups.com/track/1Z999512211
1Z999421353,03,UPS Ground,2024-12-28,48864,49684,0.6,USD,5.58,https://ups.com/track/1Z999421353
1Z999390487,03,UPS Ground,2025-01-11,49684,49684,3.5,USD,5.51,https://ups.com/track/1Z999390487
1Z999756741,03,UPS Ground,2025-01-16,49684,49684,2.8,USD,10.55,https://ups.com/track/1Z999756741
1Z999643622,03,UPS Ground,2025-01-21,98188,49684,4.0,USD,3.35,https://ups.com/track/1Z999643622
1Z999557437,03,UPS Ground,2025-02-06,37206,49684,2.1,USD,8.31,https://ups.com/track/1Z999557437
1Z999543014,03,UPS Ground,2025-03-25,48864,49684,0.6,USD,2.43,https://ups.com/track/1Z999543014
1Z999632901,03,UPS Ground,2025-04-02,49684,49684,3.5,USD,1.49,https://ups.com/track/1Z999632901
1Z999700379,03,UPS Ground,2025-04-11,49684,49684,2.8,USD,2.12,https://ups.com/track/1Z999700379
1Z999270536,03,UPS Ground,2025-04-19,98188,49684,4.0,USD,4.93,https://ups.com/track/1Z999270536
1Z999284574,03,UPS Ground,2025-05-13,37206,49684,2.1,USD,11.32,https://ups.com/track/1Z999284574
1Z999789938,03,UPS Ground,2025-05-15,48864,49684,0.6,USD,6.82,https://ups.com/track/1Z999789938
1Z999114865,03,UPS Ground,2025-05-17,49684,49684,3.5,USD,0.44,https://ups.com/track/1Z999114865
1Z999557454,03,UPS Ground,2025-05-18,49684,49684,2.8,USD,2.26,https://ups.com/track/1Z999557454
1Z999644719,03,UPS Ground,2025-05-23,98188,49684,4.0,USD,10.87,https://ups.com/track/1Z999644719
1Z999978129,03,UPS Ground,2025-05-24,37206,49684,2.1,USD,3.34,https://ups.com/track/1Z999978129
1Z999786788,03,UPS Ground,2025-06-11,48864,49684,0.6,USD,6.70,https://ups.com/track/1Z999786788
1Z999606181,03,UPS Ground,2025-06-11,49684,49684,3.5,USD,4.59,https://ups.com/track/1Z999606181
1Z999472555,03,UPS Ground,2025-06-12,49684,49684,2.8,USD,10.06,https://ups.com/track/1Z999472555
1Z999213230,03,UPS Ground,2025-06-19,98188,49684,4.0,USD,4.28,https://ups.com/track/1Z999213230
1Z999475444,03,UPS Ground,2025-07-02,37206,49684,2.1,USD,9.89,https://ups.com/track/1Z999475444
1Z999233391,03,UPS Ground,2025-07-20,48864,49684,0.6,USD,3.38,https://ups.com/track/1Z999233391
1Z999716617,03,UPS Ground,2025-08-01,49684,49684,3.5,USD,4.16,https://ups.com/track/1Z999716617
1Z999462140,03,UPS Ground,2025-08-10,49684,49684,2.8,USD,11.13,https://ups.com/track/1Z999462140
1Z999917507,03,UPS Ground,2025-08-27,98188,49684,4.0,USD,5.07,https://ups.com/track/1Z999917507
1Z999970001,03,UPS Ground,2025-09-01,37206,49684,2.1,USD,5.76,https://ups.com/track/1Z999970001
1Z999578472,03,UPS Ground,2025-09-15,48864,49684,0.6,USD,3.08,https://ups.com/track/1Z999578472
1Z999653019,03,UPS Ground,2025-09-16,49684,49684,3.5,USD,3.31,https://ups.com/track/1Z999653019
1Z999408586,03,UPS Ground,2025-09-18,49684,49684,2.8,USD,4.26,https://ups.com/track/1Z999408586
1Z999595509,03,UPS Ground,2025-09-28,98188,49684,4.0,USD,7.71,https://ups.com/track/1Z999595509
1Z999795873,03,UPS Ground,2025-10-04,37206,49684,2.1,USD,4.90,https://ups.com/track/1Z999795873
1Z999823856,03,UPS Ground,2025-10-17,48864,49684,0.6,USD,2.39,https://ups.com/track/1Z999823856
1Z999637083,03,UPS Ground,2025-10-28,49684,49684,3.5,USD,10.63,https://ups.com/track/1Z999637083
1Z999328751,03,UPS Ground,2025-11-09,49684,49684,2.8,USD,1.65,https://ups.com/track/1Z999328751
1Z999417469,03,UPS Ground,2025-11-12,98188,49684,4.0,USD,9.43,https://ups.com/track/1Z999417469
1Z999838254,03,UPS Ground,2025-11-13,37206,49684,2.1,USD,1.55,https://ups.com/track/1Z999838254
1Z999196231,03,UPS Ground,2025-11-17,48864,49684,0.6,USD,9.64,https://ups.com/track/1Z999196231
1Z999125229,03,UPS Ground,2025-11-24,49684,49684,3.5,USD,8.91,https://ups.com/track/1Z999125229
1Z999204693,03,UPS Ground,2025-12-02,49684,49684,2.8,USD,8.66,https://ups.com/track/1Z999204693
1Z999201074,03,UPS Ground,2025-12-03,98188,49684,4.0,USD,7.63,https://ups.com/track/1Z999201074
1Z999198434,03,UPS Ground,2025-12-16,37206,49684,2.1,USD,9.97,https://ups.com/track/1Z999198434
1Z999520308,03,UPS Ground,2026-01-11,48864,49684,0.6,USD,3.95,https://ups.com/track/1Z999520308
1Z999727389,03,UPS Ground,2026-01-26,49684,49684,3.5,USD,5.46,https://ups.com/track/1Z999727389
1Z999388694,03,UPS Ground,2026-02-16,49684,49684,2.8,USD,2.81,https://ups.com/track/1Z999388694
1Z999789155,03,UPS Ground,2026-02-17,98188,49684,4.0,USD,5.34,https://ups.com/track/1Z999789155
1Z999238206,03,UPS Ground,2026-03-01,37206,49684,2.1,USD,5.02,https://ups.com/track/1Z999238206
