Id,Name,AccountType,AccountSubType,CurrentBalance,Active,Classification,Description
1000,Studio Bank - High Desert Federal Checking,Bank,Checking,-4813.55,True,Asset,
1001,Studio Bank - High Desert Federal Savings,Bank,Savings,-3444.75,True,Asset,
1002,Sales - Direct Commissions,Income,SalesOfProductIncome,9487.77,True,Revenue,
1003,Sales - Etsy Proceeds,Income,SalesOfProductIncome,3275.91,True,Revenue,
1004,Sales - Amazon Seller,Income,SalesOfProductIncome,-4547.91,True,Revenue,
1005,Sales - Gallup Fair Booth,Income,SalesOfProductIncome,-1836.74,True,Revenue,
1006,Sales - Instagram / PayPal,Income,SalesOfProductIncome,8622.04,True,Revenue,
1007,Cost of Goods Sold - Silver Rod,Cost of Goods Sold,SuppliesMaterialsCogs,2204.03,True,Expense,
1008,Cost of Goods Sold - Stones,Cost of Goods Sold,SuppliesMaterialsCogs,2190.1,True,Expense,
1009,Cost of Goods Sold - Tumbler Consumables,Cost of Goods Sold,SuppliesMaterialsCogs,1523.96,True,Expense,
1010,Gallery Commission Expense,Expense,CostOfLabor,5202.67,True,Expense,
1011,Shipping - FedEx / UPS,Expense,ShippingFreightDelivery,-1490.81,True,Expense,
1012,Contract Labor - Bench Helpers,Expense,PayrollExpenses,9963.03,True,Expense,
1013,Home Office Allocation,Expense,OfficeGeneralAdministrativeExpenses,9041.06,True,Expense,
1014,Advertising - Marketing Subscriptions,Expense,AdvertisingPromotional,-1.16,True,Expense,
1015,Utilities - Workshop Share,Expense,Utilities,5971.18,True,Expense,
1016,Travel - Sedona / Santa Fe drop-offs,Expense,Travel,10742.87,True,Expense,
1017,Supplies - Tools and Small Equipment,Expense,SuppliesMaterials,10315.66,True,Expense,
1018,Payment Processor Fees - Stripe,Expense,PaymentProcessing,-2267.86,True,Expense,
1019,Payment Processor Fees - PayPal / Square,Expense,PaymentProcessing,-1164.84,True,Expense,
1020,Padding account 1020,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1021,Padding account 1021,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1022,Padding account 1022,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1023,Padding account 1023,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1024,Padding account 1024,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1025,Padding account 1025,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1026,Padding account 1026,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1027,Padding account 1027,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1028,Padding account 1028,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1029,Padding account 1029,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1030,Padding account 1030,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1031,Padding account 1031,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1032,Padding account 1032,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1033,Padding account 1033,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1034,Padding account 1034,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1035,Padding account 1035,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1036,Padding account 1036,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1037,Padding account 1037,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1038,Padding account 1038,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1039,Padding account 1039,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1040,Padding account 1040,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1041,Padding account 1041,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1042,Padding account 1042,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1043,Padding account 1043,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1044,Padding account 1044,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1045,Padding account 1045,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1046,Padding account 1046,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1047,Padding account 1047,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1048,Padding account 1048,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1049,Padding account 1049,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1050,Padding account 1050,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1051,Padding account 1051,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1052,Padding account 1052,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1053,Padding account 1053,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1054,Padding account 1054,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1055,Padding account 1055,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1056,Padding account 1056,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1057,Padding account 1057,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1058,Padding account 1058,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1059,Padding account 1059,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1060,Padding account 1060,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1061,Padding account 1061,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1062,Padding account 1062,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1063,Padding account 1063,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1064,Padding account 1064,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
1065,Padding account 1065,Expense,OtherMiscellaneousServiceCost,0,True,Expense,
