sku,part,part_number,supplier,on_hand,reorder_threshold,lead_time_days,unit_cost,last_ordered,status,for_repair_id
sku000,fret wire 6105,FW-6105,StewMac,0,3,7,2.50,2026-09-02,on_order,rep01
sku001,bone nut blank,NB-BONE,Allparts,1,3,10,3.90,2026-10-03,on_order,rep02
sku002,bridge pin set,BP-EBN,LMI,2,3,21,5.30,2026-11-04,on_order,rep03
sku003,truss rod dual,TR-DUAL,StewMac,3,3,7,6.70,2026-09-05,on_order,rep04
sku004,tuner set nickel,TN-NKL,Allparts,4,3,10,8.10,2026-10-06,in_stock,rep05
sku005,saddle blank bone,SB-BONE,LMI,5,3,21,9.50,2026-11-07,in_stock,rep06
sku006,pickguard blank,PG-BLK,StewMac,0,3,7,10.90,2026-09-08,on_order,rep07
sku007,fret slotting saw,TL-SAW,Allparts,1,3,10,12.30,2026-10-09,on_order,rep08
sku008,binding strip ivoroid,BD-IVR,LMI,2,3,21,13.70,2026-11-10,on_order,rep09
sku009,nut file set,TL-NFS,StewMac,3,3,7,2.50,2026-09-11,on_order,rep10
sku010,hide glue 192g,GL-HIDE,Allparts,4,3,10,3.90,2026-10-12,in_stock,rep01
sku011,fret crowning file,TL-FCF,LMI,5,3,21,5.30,2026-11-13,in_stock,rep02
sku012,fret wire 6105,FW-6105,StewMac,0,3,7,6.70,2026-09-14,on_order,rep03
sku013,bone nut blank,NB-BONE,Allparts,1,3,10,8.10,2026-10-15,on_order,rep04
sku014,bridge pin set,BP-EBN,LMI,2,3,21,9.50,2026-11-16,on_order,rep05
sku015,truss rod dual,TR-DUAL,StewMac,3,3,7,10.90,2026-09-17,on_order,rep06
sku016,tuner set nickel,TN-NKL,Allparts,4,3,10,12.30,2026-10-18,in_stock,rep07
sku017,saddle blank bone,SB-BONE,LMI,5,3,21,13.70,2026-11-19,in_stock,rep08
sku018,pickguard blank,PG-BLK,StewMac,0,3,7,2.50,2026-09-20,on_order,rep09
sku019,fret slotting saw,TL-SAW,Allparts,1,3,10,3.90,2026-10-21,on_order,rep10
sku020,binding strip ivoroid,BD-IVR,LMI,2,3,21,5.30,2026-11-02,on_order,rep01
sku021,nut file set,TL-NFS,StewMac,3,3,7,6.70,2026-09-03,on_order,rep02
sku022,hide glue 192g,GL-HIDE,Allparts,4,3,10,8.10,2026-10-04,in_stock,rep03
sku023,fret crowning file,TL-FCF,LMI,5,3,21,9.50,2026-11-05,in_stock,rep04
sku024,fret wire 6105,FW-6105,StewMac,0,3,7,10.90,2026-09-06,on_order,rep05
sku025,bone nut blank,NB-BONE,Allparts,1,3,10,12.30,2026-10-07,on_order,rep06
sku026,bridge pin set,BP-EBN,LMI,2,3,21,13.70,2026-11-08,on_order,rep07
sku027,truss rod dual,TR-DUAL,StewMac,3,3,7,2.50,2026-09-09,on_order,rep08
sku028,tuner set nickel,TN-NKL,Allparts,4,3,10,3.90,2026-10-10,in_stock,rep09
sku029,saddle blank bone,SB-BONE,LMI,5,3,21,5.30,2026-11-11,in_stock,rep10
sku030,pickguard blank,PG-BLK,StewMac,0,3,7,6.70,2026-09-12,on_order,rep01
sku031,fret slotting saw,TL-SAW,Allparts,1,3,10,8.10,2026-10-13,on_order,rep02
sku032,binding strip ivoroid,BD-IVR,LMI,2,3,21,9.50,2026-11-14,on_order,rep03
sku033,nut file set,TL-NFS,StewMac,3,3,7,10.90,2026-09-15,on_order,rep04
sku034,hide glue 192g,GL-HIDE,Allparts,4,3,10,12.30,2026-10-16,in_stock,rep05
sku035,fret crowning file,TL-FCF,LMI,5,3,21,13.70,2026-11-17,in_stock,rep06
sku036,fret wire 6105,FW-6105,StewMac,0,3,7,2.50,2026-09-18,on_order,rep07
sku037,bone nut blank,NB-BONE,Allparts,1,3,10,3.90,2026-10-19,on_order,rep08
sku038,bridge pin set,BP-EBN,LMI,2,3,21,5.30,2026-11-20,on_order,rep09
sku039,truss rod dual,TR-DUAL,StewMac,3,3,7,6.70,2026-09-21,on_order,rep10
sku040,tuner set nickel,TN-NKL,Allparts,4,3,10,8.10,2026-10-02,in_stock,rep01
sku041,saddle blank bone,SB-BONE,LMI,5,3,21,9.50,2026-11-03,in_stock,rep02
sku042,pickguard blank,PG-BLK,StewMac,0,3,7,10.90,2026-09-04,on_order,rep03
sku043,fret slotting saw,TL-SAW,Allparts,1,3,10,12.30,2026-10-05,on_order,rep04
sku044,binding strip ivoroid,BD-IVR,LMI,2,3,21,13.70,2026-11-06,on_order,rep05
sku045,nut file set,TL-NFS,StewMac,3,3,7,2.50,2026-09-07,on_order,rep06
skuLMI,bridge plate spruce,BPL-SPR,LMI,5,2,21,14.75,2026-11-01,received,rep01
