account,txn_id,date,description,amount,running_balance,category,status
checking,pl0001,2026-04-06,Charter deposit PayPal,420.00,10670.00,income,posted
checking,pl0002,2026-04-13,Fuel Bayport Marine,-800.00,9870.00,expense,posted
checking,pl0003,2026-04-20,Square tip payout,180.00,10050.00,income,posted
checking,pl0004,2026-04-27,StewMac parts,-96.00,9954.00,expense,posted
checking,pl0005,2026-05-04,Charter final check,900.00,10854.00,income,posted
checking,pl0006,2026-05-11,Dock fee Bayport Harbor,-350.00,10504.00,expense,posted
checking,pl0007,2026-05-18,Groceries Instacart,-118.00,10386.00,expense,posted
checking,pl0008,2026-05-25,Diesel run,-800.00,9586.00,expense,posted
checking,pl0009,2026-06-01,Repair deposit Stripe,275.00,9861.00,income,posted
checking,pl0010,2026-06-08,Truck fuel Wawa,-62.00,9799.00,expense,posted
checking,pl0011,2026-06-15,Charter deposit PayPal,400.00,10199.00,income,posted
checking,pl0012,2026-06-22,Gulf Coast Marine,-1050.00,9149.00,expense,posted
checking,pl0013,2026-06-29,Guitar final PayPal,410.00,9559.00,income,posted
checking,pl0014,2026-07-06,Miller's Smokehouse,-54.00,9505.00,expense,posted
checking,pl0015,2026-07-13,Russ Taylor pay,-671.00,8834.00,expense,posted
checking,pl0016,2026-07-20,Charter final check,900.00,9734.00,income,posted
checking,pl0017,2026-07-27,Fuel Bayport Marine,-800.00,8934.00,expense,posted
checking,pl0018,2026-08-03,Square tip payout,240.00,9174.00,income,posted
checking,pl0019,2026-08-10,Amazon guitar parts,-73.00,9101.00,expense,posted
checking,pl0020,2026-08-17,Charter deposit PayPal,400.00,9501.00,income,posted
checking,pl0021,2026-08-24,Charter deposit PayPal,420.00,9921.00,income,posted
checking,pl0022,2026-08-31,Fuel Bayport Marine,-800.00,9121.00,expense,posted
checking,pl0023,2026-09-07,Square tip payout,180.00,9301.00,income,posted
checking,pl0024,2026-09-14,StewMac parts,-96.00,9205.00,expense,posted
checking,pl0025,2026-09-21,Charter final check,900.00,10105.00,income,posted
checking,pl0026,2026-09-28,Dock fee Bayport Harbor,-350.00,9755.00,expense,posted
checking,pl0027,2026-11-02,Groceries Instacart,-118.00,9637.00,expense,posted
checking,pl0028,2026-11-09,Diesel run,-800.00,8837.00,expense,posted
checking,pl0029,2026-04-06,Repair deposit Stripe,275.00,9112.00,income,posted
checking,pl0030,2026-04-13,Truck fuel Wawa,-62.00,9050.00,expense,posted
checking,pl0031,2026-04-20,Charter deposit PayPal,400.00,9450.00,income,posted
checking,pl0032,2026-04-27,Gulf Coast Marine,-1050.00,8400.00,expense,posted
checking,pl0033,2026-05-04,Guitar final PayPal,410.00,8810.00,income,posted
checking,pl0034,2026-05-11,Miller's Smokehouse,-54.00,8756.00,expense,posted
checking,pl0035,2026-05-18,Russ Taylor pay,-671.00,8085.00,expense,posted
checking,pl0036,2026-05-25,Charter final check,900.00,8985.00,income,posted
checking,pl0037,2026-06-01,Fuel Bayport Marine,-800.00,8185.00,expense,posted
checking,pl0038,2026-06-08,Square tip payout,240.00,8425.00,income,posted
checking,pl0039,2026-06-15,Amazon guitar parts,-73.00,8352.00,expense,posted
checking,pl0040,2026-06-22,Charter deposit PayPal,400.00,8752.00,income,posted
checking,pl0041,2026-06-29,Charter deposit PayPal,420.00,9172.00,income,posted
checking,pl0042,2026-07-06,Fuel Bayport Marine,-800.00,8372.00,expense,posted
checking,pl0043,2026-07-13,Square tip payout,180.00,8552.00,income,posted
checking,pl0044,2026-07-20,StewMac parts,-96.00,8456.00,expense,posted
checking,pl0045,2026-07-27,Charter final check,900.00,9356.00,income,posted
checking,pl0046,2026-08-03,Dock fee Bayport Harbor,-350.00,9006.00,expense,posted
checking,pl0047,2026-08-10,Groceries Instacart,-118.00,8888.00,expense,posted
checking,pl0048,2026-08-17,Diesel run,-800.00,8088.00,expense,posted
checking,plADJ,2026-11-29,Season close reconciliation,6792.00,14880.00,adjustment,posted
checking,plCUR,2026-11-30,Balance as of season close,0.00,14880.00,balance,posted
savings,plS01,2026-11-30,Coastal Bank savings balance,0.00,8500.00,balance,posted
savings,plS02,2026-11-15,Monthly grandkids deposit,-100.00,,transfer_out,posted
grandkids_savings,plG01,2026-11-30,Grandkids fund balance DO NOT TOUCH,0.00,4200.00,balance,posted
grandkids_savings,plG02,2026-11-15,Monthly deposit,100.00,4200.00,transfer_in,posted
