Device	Type	Brand	Room	VLAN	Integration	Status
Living room lights	Lighting	Lutron Caseta	Living room	IoT	Native	Online
Kitchen lights	Lighting	Lutron Caseta	Kitchen	IoT	Native	Online
Main thermostat	HVAC	Ecobee	Hallway	IoT	Native	Online
Upstairs thermostat	HVAC	Ecobee	Landing	IoT	Native	Online
Front door camera	Camera	Ring	Entry	Cameras	Native	Online
Backyard camera	Camera	Ring	Deck	Cameras	Native	Online
Living room presence	mmWave	Aqara FP2	Living room	IoT	Zigbee2MQTT	Tuning
Office presence	mmWave	Aqara FP2	Home office	IoT	Zigbee2MQTT	Online
Listening room sensor	Motion	Aqara	Listening room	IoT	Zigbee2MQTT	Online
Garage door	Access	MyQ	Garage	IoT	Local	Online
Powerwall gateway	Energy	Tesla	Garage	Infra	Local API	Tuning
Solar inverter	Energy	SolarEdge	Garage	Infra	Local API	Online
Pool pump controller	Appliance	Generic	Backyard	IoT	Local	Online
Server rack PDU	Power	Generic	Garage	Infra	SNMP	Online
