Artist	Album	Genre	Year	Label	Condition	Shelf
John Coltrane	A Love Supreme	Jazz	1965	Impulse!	Near Mint	A1
John Coltrane	Blue Train	Jazz	1958	Blue Note	Very Good Plus	A1
Bill Evans	Sunday at the Village Vanguard	Jazz	1961	Riverside	Near Mint	A2
Bill Evans	Waltz for Debby	Jazz	1962	Riverside	Very Good Plus	A2
Thelonious Monk	Brilliant Corners	Jazz	1957	Riverside	Very Good	A3
Thelonious Monk	Monk's Dream	Jazz	1963	Columbia	Near Mint	A3
Miles Davis	Kind of Blue	Jazz	1959	Columbia	Near Mint	A4
Sergei Rachmaninoff	Piano Concerto No. 2	Classical	1959	RCA	Very Good Plus	C1
Claude Debussy	Preludes Book 1	Classical	1971	Deutsche Grammophon	Near Mint	C1
Frederic Chopin	Nocturnes	Classical	1965	Decca	Very Good	C2
Explosions in the Sky	The Earth Is Not a Cold Dead Place	Post-rock	2003	Temporary Residence	Near Mint	P1
Godspeed You! Black Emperor	Lift Your Skinny Fists	Post-rock	2000	Constellation	Very Good Plus	P1
