id,name,type,messages_total,messages_unread,threads_total,threads_unread
INBOX,INBOX,system,342,18,298,12
SENT,SENT,system,1205,0,890,0
DRAFT,DRAFT,system,8,8,8,8
TRASH,TRASH,system,45,0,42,0
SPAM,SPAM,system,127,127,120,120
STARRED,STARRED,system,23,0,20,0
IMPORTANT,IMPORTANT,system,89,5,76,3
Label_1,Work,user,156,8,134,6
Label_2,Kids,user,89,3,67,2
Label_3,Medical,user,34,1,28,1
Label_4,Financial,user,45,2,38,1
Label_5,Application,user,12,1,10,1
Label_6,Volunteer,user,22,1,18,1
Label_7,Bank Statements,user,41,0,36,0
Label_8,HR Lakeview,user,28,4,24,3
Label_9,School Notices,user,63,2,55,2
Label_10,Book Club,user,17,0,15,0
Label_11,Insurance,user,36,3,30,2
Label_12,Utilities,user,29,1,25,1
Label_13,HOA,user,14,0,12,0
Label_14,Fitness,user,21,2,18,2
Label_15,Subscriptions,user,47,5,40,4
