category,line_item,amount_usd,timing,status,source_note
income,Assistantship stipend (PSIS),1400.0,2026-10-03,posted,Plaid txn_0002
income,Bookstore wages (planning),500.0,mid-month,planned,kitchen note only
income,Bookstore paycheck (last posted),248.6,2026-03-04,posted,Plaid txn_0003 variable cadence
income,Etsy craft payout,42.0,2026-03-04,pending,Plaid txn_0030
expense,Rent Stadium District Apt 3B,-580.0,2026-10-05,posted,Plaid txn_0004
expense,TPU utilities share,-84.6,2026-10-06,posted,Plaid txn_0005; 3-way split with roommates
expense,Groceries Trader Joe's,-41.27,2026-10-01,posted,Plaid txn_0007
expense,Groceries WinCo,-38.94,2026-10-02,posted,Plaid txn_0008
expense,Groceries Instacart Safeway,-56.28,2026-10-02,posted,Plaid txn_0022
expense,Spotify Premium Student,-5.99,2026-10-04,posted,Plaid txn_0010
expense,Netflix split with Marisol,-8.0,2026-10-05,posted,Plaid txn_0011
expense,Amazon Prime Student,-7.49,2026-10-07,posted,Plaid txn_0013
expense,Lemonade renters insurance,-12.0,2026-10-01,posted,Plaid txn_0014
expense,Yaz copay Safeway Pharmacy,-30.0,2026-10-04,posted,Plaid txn_0017
expense,Dining Tacoma Noodle House,-18.4,2026-10-06,posted,Plaid txn_0019
expense,Dining The Siren (scout dinner),-34.5,2026-10-07,posted,Plaid txn_0020
expense,DoorDash Tacoma Noodle House,-29.92,2026-10-03,posted,Plaid txn_0023
expense,Gas Shell Portland trip,-38.0,2026-10-05,posted,Plaid txn_0025
expense,Sound Transit ORCA load,0.0,2026-10-02,posted,Plaid txn_0001 pass included
expense,Target household,-27.83,2026-10-02,posted,Plaid txn_0029
expense,Discover card payment,-260.0,2026-10-06,posted,Plaid txn_0026
expense,Savings transfer out,-150.0,2026-03-01,posted,Plaid txn_0027
expense,Savings transfer in,150.0,2026-10-01,posted,Plaid txn_0028
expense,Phone share Ingrid family plan,-40.0,2026-10-01,planned,not yet posted in October pull
expense,Inositol supplement,-22.0,2026-10-01,planned,Amazon recurring
expense,Textbooks reserve,-60.0,2026-10-10,planned,campus bookstore
expense,PCOS lab copay Oct 15,-35.0,2026-10-15,planned,Dr Tanaka visit
expense,Physical Oct 22 copay,-25.0,2026-10-22,planned,Dr O'Brien
summary,Planning income total,1900.0,,planned,kitchen note
summary,Planning expense total,-1395.0,,planned,kitchen note
summary,Planning surplus,505.0,,planned,kitchen note
