id,channel_id,author_id,author_username,content,timestamp,pinned
dc_001,ch_restoration,dc_hari,HariZ240,Finally done with the floorpan rust repair. Took way longer than expected but the welds came out clean.,2026-09-28T20:00:00-04:00,false
dc_002,ch_restoration,dc_jake,JakeZCar,Nice work! What gauge steel did you use for the patches?,2026-09-28T20:15:00-04:00,false
dc_003,ch_restoration,dc_hari,HariZ240,18 gauge cold rolled. Same as OEM spec. Welded with my Miller 211.,2026-09-28T20:30:00-04:00,false
dc_004,ch_parts,dc_hari,HariZ240,Anyone know a good source for S30 weatherstripping? OEM reproductions preferred.,2026-09-25T19:00:00-04:00,false
dc_005,ch_parts,dc_steve,S30Steve,Check ZCarSource or Motorsport Auto. Both have decent repro kits.,2026-09-25T19:20:00-04:00,false
dm_bg_000,ch_restoration,user_hariz240,HariZ240,Anyone got a line on 240Z door seals?,2026-01-21T09:00:00-04:00,false
dm_bg_001,ch_parts,user_hariz240,HariZ240,Selling spare carbs,2026-09-10T09:00:00-04:00,false
dm_bg_002,ch_parts,user_hariz240,HariZ240,Check out my progress pics,2026-05-18T09:00:00-04:00,false
dm_bg_003,ch_parts,user_hariz240,HariZ240,What paint code is that?,2026-08-09T09:00:00-04:00,false
dm_bg_004,ch_parts,user_hariz240,HariZ240,Selling spare carbs,2026-01-26T09:00:00-04:00,false
dm_bg_005,ch_parts,user_hariz240,HariZ240,Selling spare carbs,2026-02-11T09:00:00-04:00,false
dm_bg_006,ch_parts,user_hariz240,HariZ240,Selling spare carbs,2026-07-20T09:00:00-04:00,false
dm_bg_007,ch_restoration,user_hariz240,HariZ240,What paint code is that?,2026-09-19T09:00:00-04:00,false
dm_bg_008,ch_restoration,user_hariz240,HariZ240,Selling spare carbs,2026-01-22T09:00:00-04:00,false
dm_bg_009,ch_restoration,user_hariz240,HariZ240,Great meet last weekend,2026-01-25T09:00:00-04:00,false
dm_bg_010,ch_parts,user_hariz240,HariZ240,Check out my progress pics,2026-04-12T09:00:00-04:00,false
dm_bg_011,ch_restoration,user_hariz240,HariZ240,Selling spare carbs,2026-09-15T09:00:00-04:00,false
dm_bg_012,ch_parts,user_hariz240,HariZ240,Great meet last weekend,2026-04-05T09:00:00-04:00,false
dm_bg_013,ch_parts,user_hariz240,HariZ240,Anyone got a line on 240Z door seals?,2026-05-04T09:00:00-04:00,false
dm_bg_014,ch_restoration,user_hariz240,HariZ240,Anyone got a line on 240Z door seals?,2026-07-11T09:00:00-04:00,false
dm_bg_015,ch_restoration,user_hariz240,HariZ240,Great meet last weekend,2026-06-09T09:00:00-04:00,false
dm_bg_016,ch_parts,user_hariz240,HariZ240,Selling spare carbs,2026-02-18T09:00:00-04:00,false
dm_bg_017,ch_parts,user_hariz240,HariZ240,Selling spare carbs,2026-04-16T09:00:00-04:00,false
dm_bg_018,ch_parts,user_hariz240,HariZ240,Anyone got a line on 240Z door seals?,2026-01-23T09:00:00-04:00,false
dm_bg_019,ch_restoration,user_hariz240,HariZ240,What paint code is that?,2026-01-04T09:00:00-04:00,false
dm_bg_020,ch_parts,user_hariz240,HariZ240,Anyone got a line on 240Z door seals?,2026-06-20T09:00:00-04:00,false
dm_bg_021,ch_parts,user_hariz240,HariZ240,Great meet last weekend,2026-04-23T09:00:00-04:00,false
dm_bg_022,ch_parts,user_hariz240,HariZ240,Anyone got a line on 240Z door seals?,2026-04-05T09:00:00-04:00,false
dm_bg_023,ch_restoration,user_hariz240,HariZ240,Check out my progress pics,2026-03-05T09:00:00-04:00,false
dm_bg_024,ch_parts,user_hariz240,HariZ240,Great meet last weekend,2026-05-15T09:00:00-04:00,false
dm_bg_025,ch_parts,user_hariz240,HariZ240,Check out my progress pics,2026-03-10T09:00:00-04:00,false
dm_bg_026,ch_restoration,user_hariz240,HariZ240,Anyone got a line on 240Z door seals?,2026-07-20T09:00:00-04:00,false
