pipeline_id,pipeline_label,stage_id,stage_label,display_order,probability,closed
default,Sales Pipeline,stage-0,Stage 0,0,0.0,True
default,Sales Pipeline,stage-1,Stage 1,1,0.1,False
default,Sales Pipeline,stage-2,Stage 2,2,0.2,True
default,Sales Pipeline,stage-3,Stage 3,3,0.3,True
default,Sales Pipeline,stage-4,Stage 4,4,0.4,False
default,Sales Pipeline,stage-5,Stage 5,5,0.5,False
default,Sales Pipeline,stage-6,Stage 6,6,0.6,True
default,Sales Pipeline,stage-7,Stage 7,7,0.7,False
default,Sales Pipeline,stage-8,Stage 8,8,0.8,False
default,Sales Pipeline,stage-9,Stage 9,9,0.9,True
default,Sales Pipeline,stage-10,Stage 10,10,0.0,False
default,Sales Pipeline,stage-11,Stage 11,11,0.1,True
