Id,Name,Description,Type,UnitPrice,IncomeAccountRef_value,IncomeAccountRef_name,Active,Taxable
1,Pool Pump Service,Pool pump maintenance service,Service,499.5,1,Sales,True,False
2,Woodworking Board Foot,Woodworking supplies per board foot,Inventory,12.5,2,Sales,True,True
3,PCI - Elective,Service — PCI - Elective,Service,484.94,1,Sales,True,False
4,PCI - Emergency,Service — PCI - Emergency,Service,276.66,1,Sales,True,False
5,Coronary Angioplasty,Service — Coronary Angioplasty,Service,69.16,1,Sales,True,False
6,Stent Placement,Service — Stent Placement,Service,99.33,1,Sales,True,False
7,IVUS Study,Service — IVUS Study,Service,402.86,1,Sales,True,False
8,FFR Assessment,Service — FFR Assessment,Service,53.37,1,Sales,True,False
9,Structural Heart Consult,Service — Structural Heart Consult,Service,459.14,1,Sales,True,False
10,TAVR Post-op Follow-up,Service — TAVR Post-op Follow-up,Service,129.39,1,Sales,True,False
11,Cardiac Consultation - New,Service — Cardiac Consultation - New,Service,89.27,1,Sales,True,False
12,Cardiac Consultation - Established,Service — Cardiac Consultation - Established,Service,156.68,1,Sales,True,False
13,Echocardiogram,Service — Echocardiogram,Service,494.16,1,Sales,True,False
14,Stress Test - Nuclear,Service — Stress Test - Nuclear,Service,247.2,1,Sales,True,False
15,Stress Test - Exercise,Service — Stress Test - Exercise,Service,467.96,1,Sales,True,False
16,Holter Monitor 24hr,Service — Holter Monitor 24hr,Service,359.41,1,Sales,True,False
17,Event Monitor,Service — Event Monitor,Service,27.67,1,Sales,True,False
18,EKG - Interpretation,Service — EKG - Interpretation,Service,474.12,1,Sales,True,False
19,Pre-op Cardiac Clearance,Service — Pre-op Cardiac Clearance,Service,439.97,1,Sales,True,False
20,Cardiac MRI Referral,Service — Cardiac MRI Referral,Service,328.06,1,Sales,True,False
21,CT Angiography Referral,Service — CT Angiography Referral,Service,229.49,1,Sales,True,False
22,Peripheral Angiography,Service — Peripheral Angiography,Service,400.13,1,Sales,True,False
23,Right Heart Catheterization,Service — Right Heart Catheterization,Service,136.05,1,Sales,True,False
24,IABP Insertion,Service — IABP Insertion,Service,269.43,1,Sales,True,False
25,Impella Support,Service — Impella Support,Service,272.48,1,Sales,True,False
26,Loop Recorder Implant,Service — Loop Recorder Implant,Service,56.09,1,Sales,True,False
27,Pacemaker Follow-up,Service — Pacemaker Follow-up,Service,289.78,1,Sales,True,False
28,ICD Interrogation,Service — ICD Interrogation,Service,380.83,1,Sales,True,False
29,Anticoagulation Management,Service — Anticoagulation Management,Service,230.88,1,Sales,True,False
