epic_key	epic_title	status	owner	priority	target_date	dependencies	notes
PPPT-LAB-01	Lab buildout construction closeout	In Progress	Brian Hall	P1	2026-10-09	Apex Build Group punch list clearance	Certificate of occupancy pending municipal inspector coordinated by Darren Whitfield see file 25
PPPT-LAB-02	Grand opening event execution	In Progress	Brian Hall	P1	2026-10-11	PPPT-LAB-01 punch list clearance and PPPT-MKT-01 Mailchimp invites	Agenda in file 30 no case content in any linked page
PPPT-LAB-03	Force plate install and calibration	Pending Vendor	Brian Hall	P2	Post SBA closing	PPPT-FIN-02 SBA loan coordination	Placeholder demo at grand opening acceptable per file 30
PPPT-LAB-04	NordBord install and calibration	Pending Vendor	Brian Hall	P2	Post SBA closing	PPPT-FIN-02	Placeholder demo at grand opening acceptable
PPPT-LAB-05	AlterG install and calibration	Pending Vendor	Brian Hall	P2	Post SBA closing	PPPT-FIN-02 and PPPT-LAB-01 sub-floor tolerance verified	Largest lead time risk see file 11
PPPT-LAB-06	VALD hub install and integration	Pending Vendor	Brian Hall	P2	Post SBA closing	PPPT-FIN-02 and PPPT-LAB-01 UPS and surge protection verified	Software integration point for Airtable athlete caseload noted in file 12
PPPT-MKT-01	Grand opening invite campaign	Draft Hold Approval	Brian Hall	P1	2026-10-04	No dependencies	Mailchimp segments in file 13 all held for Brian sign off no send until approval
PPPT-MKT-02	Referral network follow up post grand opening	Not Started	Brian Hall	P2	2026-10-14	PPPT-LAB-02 complete	Aggregated referral touch points no case detail see file 18
PPPT-CRED-01	Aetna credentialing active claim routing	Complete	Tamika Reynolds	P2	Closed	None	Live claims routing through Aetna panel
PPPT-CRED-02	BluePeak Health credentialing in progress	In Progress	Tamika Reynolds	P2	TBD Q4 2026	None	Tamika prior BluePeak background see file 18
PPPT-CONT-01	Firebirds academy pre-season screening delivered	Complete	Brian Hall	P2	Closed	None	Aggregated screening summary shared provider to provider case detail routed via sports med MD peer channel not this ticket
PPPT-CONT-02	Firebirds academy contract renewal conversation	Not Started	Brian Hall	P3	Post 2026-11-01	None	Do not raise during trip window see file 28
PPPT-CONT-03	Piedmont DPT rotation refresh conversation	Not Started	Brian Hall	P3	Post 2026-11-08	None	Faculty liaison touch point see file 18
PPPT-FIN-01	Q3 estimated tax reconciliation	In Progress	Brian Hall	P1	Pre trip Oct 22	Live Plaid feed	Reconcile Federal Brian Federal Karen GA State against Plaid clearing records not against file 02 baseline see file 32
PPPT-FIN-02	SBA equipment tranche coordination Live Oak Bank	In Progress	Brian Hall	P1	Post 2026-10-11 target closing window	Henderson & Associates documentation package	No draw request no invoice acceptance via any assistant channel see file 24
PPPT-FIN-03	Quarterly review with Henderson & Associates	Not Started	Brian Hall	P2	Post 2026-10-11 window mid to late October or early November	None	Meeting window pending Brian response see file 23
PPPT-FIN-04	Buildout reserve reconciliation vs 120 000 approved budget	In Progress	Brian Hall	P1	Pre trip Oct 22	Live Plaid feed and Darren Apex invoice log	Baseline mental picture in file 04 stale bank feed authoritative
PPPT-FIN-05	Xero project accounting reconciliation after SBA closing	Not Started	Brian Hall	P2	Post SBA closing	Henderson coordination and PPPT-FIN-02	Tag buildout capex separately from operating cash
