category,monthly_target_usd,notes
Mortgage,2800,Kirkwood 4BR Craftsman 4.2 percent fixed 27 years remaining
Student loan Brian DPT,800,Piedmont DPT balance 14000 at 4.8 percent
Student loan Karen PharmD,1200,PharmD balance 62000 at 5.5 percent
Childcare and after-school,1800,Atlanta Global Academy after-school and coverage
Groceries,1100,Piedmont County farmers market plus weekly restock
Car payment Karen CR-V,380,2021 Honda CR-V 2 years remaining
Utilities,320,Gas water electric internet combined
CrossFit membership Brian,250,CrossFit Buckhead unlimited plus programming
Gas and auto fuel,300,4Runner and CR-V combined average
Dining out and Twisted Taco,400,Weeknight family plus Waffle House Saturday
Twins activities Ethan soccer Lily art,350,Piedmont Art Center Lily plus soccer Ethan
Entertainment and streaming,150,YouTube TV Disney Plus Netflix Spotify combined
Investing brokerage plus Roth,1500,VTSAX core Vanguard sleeve
Tithing and donations,400,Redeemer Church Midtown regular giving
Twins 529 plan Ethan,250,Georgia Path2College monthly contribution
Twins 529 plan Lily,250,Georgia Path2College monthly contribution
Lawn service TruGreen,65,Monthly service at Kirkwood house
Household variable buffer,300,Small repairs supplies household variable
Brian gross monthly comp reference,15417,Persona total comp 185000 divided by 12 clinic owner salary plus profit distributions baseline placeholder
Karen gross monthly comp reference,10667,Persona salary 128000 divided by 12 MedPlus Pharmacy Midtown staff pharmacist baseline placeholder
Household gross monthly combined reference,26084,Sum Brian plus Karen pre-tax pre-withholding reference figure per persona finance section
Emergency fund balance reference,58000,Marcus savings 4.1 percent APY approximately 6 months expenses reference snapshot not a monthly outflow
Twins 529 combined monthly reference,500,Ethan and Lily 250 each already reflected above kept for aggregate reference
Roth IRA cadence Brian reference,0,Persona both spouses max Roth annually VTSAX core Vanguard sleeve not a fixed monthly line kept as reference
Roth IRA cadence Karen reference,0,Persona both spouses max Roth annually VTSAX core Vanguard sleeve not a fixed monthly line kept as reference
Q3 estimated tax reconciliation note,0,Persona baseline recall approximately 5800 per installment stale Plaid clearing history authoritative see file 32 do not treat local baseline as truth
Buildout reserve reconciliation note,0,Persona baseline recall approximately 52000 spent against 120000 approved lab budget stale Plaid buildout reserve plus Xero and Darren invoice log authoritative
SBA loan Live Oak Bank pending note,0,Approximately 74500 lab equipment tranche 7.1 percent per persona finance section not yet drawn no monthly service line yet
Trip window travel carve-out policy,0,October 22 to 25 Houston trip flights lodging cookout contribution treated as one-off per persona rule approval gate 500 applies
Family Robert 68th birthday policy,0,Personal gift and cookout contribution no assistant channel commitment before Brian approval per persona
Approval gate policy,0,Any single item over 500 requires Brian written approval per persona confirmation rules
Karen personal day October 9 note,0,Karen off Friday October 9 per file 06 no household adjustment beyond kids handoff
Twins swim lessons handoff note,0,Twins swim lessons Friday afternoons per file 06 handoff at 4 PM falls under childcare category
Ethan soccer schedule note,0,Ethan first grade Atlanta Global Academy soccer per persona activities counted under twins activities category
Lily art class schedule note,0,Lily art class Tuesdays 4 PM per file 06 counted under twins activities category
CrossFit Buckhead unlimited note,0,Already listed 250 baseline Coach Matt Baker programming included per persona no separate add-on line
YMCA basketball rec league note,0,Tuesday and Thursday 7 to 9 PM Midtown YMCA per persona hobbies drop-in based no separate monthly line
Sunday church tithing cross-reference,0,Redeemer Church Midtown regular giving already reflected in tithing 400 above cross-reference only
Coffee and Chemex reference,0,Counter Culture beans Chemex home brew per persona preferences counted under groceries
Total monthly outflow target,12615,Sum of budgeted categories above income and note lines are reference only
