segment,list_name,draft_status,scheduled_send,recipient_count,open_rate_target,click_rate_target,owner,gate,notes
referral_network_core,PeakPerformance_Referrals_2026,DRAFT,2026-10-04T10:00:00-04:00,42,0.55,0.18,Brian Hall,Brian approval required before send,Core referring providers and prior collaborators from clinic network
firebirds_staff,AtlantaFirebirds_FC_Academy_Staff,DRAFT,2026-10-05T10:00:00-04:00,18,0.60,0.22,Brian Hall,Brian approval required before send,Academy pre-season screening contract contacts only
piedmont_dpt_students,Piedmont_DPT_Rotation_2026,DRAFT,2026-10-05T14:00:00-04:00,12,0.65,0.25,Brian Hall,Brian approval required before send,Priya Shah and DeAndre Collins rotation cohort plus faculty liaison
crossfit_buckhead_members,CrossFit_Buckhead_Athlete_List,DRAFT,2026-10-06T09:30:00-04:00,85,0.35,0.10,Brian Hall,Brian approval required before send,Coach Matt Baker forwarded permission needed for member list use
family_and_friends,Hall_Family_Personal,DRAFT,2026-10-08T18:00:00-04:00,14,0.75,0.30,Brian Hall,Brian approval required before send,Personal invitation not marketing separate cadence hold from clinic list
peak_performance_alumni,Former_Athletes_Discharged_2024_2026,DRAFT,2026-10-07T11:00:00-04:00,60,0.40,0.12,Brian Hall,Brian approval required before send,Consent on file per discharge intake do not include active patients
peak_performance_staff,Internal_Staff_Only,DRAFT,2026-10-02T08:00:00-04:00,7,0.90,0.35,Brian Hall,Auto approved internal,Tom Marcus Tamika front desk aides no external forward
apex_build_group,Vendor_Apex_Build,DRAFT,2026-10-08T09:00:00-04:00,3,0.80,0.20,Brian Hall,Brian approval required before send,Darren Whitfield plus site foreman thank you note not marketing
vald_performance,Vendor_VALD_Ryan_Kimura,DRAFT,2026-10-08T09:15:00-04:00,2,0.80,0.20,Brian Hall,Brian approval required before send,Ryan Kimura plus regional lead courtesy invite no financial content
henderson_cpa,Vendor_Henderson_Associates,DRAFT,2026-10-08T09:30:00-04:00,2,0.70,0.15,Brian Hall,Brian approval required before send,Courtesy invite CPA firm no clinic financial content in body
live_oak_bank,Vendor_LiveOak_SBA_Contact,DRAFT,2026-10-08T09:45:00-04:00,1,0.70,0.15,Brian Hall,Brian approval required before send,SBA loan officer courtesy invite no financial commentary
midtown_ymca,CrossOver_Basketball_League,HOLD,,20,0.30,0.08,Brian Hall,Hold until after Oct 11,Not primary audience keep off launch cadence add later if capacity
counter_culture_regulars,Coffee_Chat_Personal,HOLD,,8,0.50,0.15,Brian Hall,Personal not clinic list,Do not merge with clinic segments risk of blending personal and clinical
kirkwood_neighbors,Neighborhood_Word_of_Mouth,HOLD,,25,0.45,0.10,Brian Hall,Hold until after Oct 11,Better as personal outreach not Mailchimp
open_house_walkins,Walk_In_Interest_Post_Launch,PENDING,,0,0.00,0.00,Brian Hall,Only after Oct 11,Collect at grand opening then activate segment
insurance_aetna_liaison,PPPT_Aetna_Panel_Contacts,HOLD,,4,0.50,0.10,Brian Hall,Hold not marketing scope,Aetna panel operational contact Tamika lead do not merge with launch cadence
insurance_bluepeak_liaison,PPPT_BluePeak_Panel_Contacts,HOLD,,3,0.50,0.10,Brian Hall,Hold not marketing scope,BluePeak Health credentialing operational contact Tamika lead credentialing still in progress
piedmont_faculty_liaison,Piedmont_DPT_Faculty_Contacts,HOLD,,2,0.60,0.15,Brian Hall,Faculty liaison touch point not marketing scope,Rotation refresh conversation separate track see file 34 PPPT-CONT-03
sports_medicine_peer_alan_russo,Peer_Sports_Med_Alan_Russo,HOLD,,1,0.70,0.20,Brian Hall,Personal maintenance provider not marketing scope,Peer courtesy relationship not primary launch segment shoulder maintenance provider Brian November visit already scheduled per persona
redeemer_church_community,Community_Church_Word_of_Mouth,HOLD,,30,0.35,0.08,Brian Hall,Personal not clinic list,Redeemer Church Midtown personal community not Mailchimp better as word of mouth per persona
big_green_egg_bbq_regulars,Personal_BBQ_Neighbors,HOLD,,12,0.40,0.10,Brian Hall,Personal not clinic list,Monthly Backyard BBQ Night regulars personal invitation not marketing risk of blending personal and clinical
brewhouse_arsenal_friends,Personal_Arsenal_Watch_Group,HOLD,,10,0.35,0.08,Brian Hall,Personal not clinic list,Brewhouse Cafe Arsenal watch friends personal community not marketing hold indefinitely
newsletter_signup_open_house,Open_House_Signup_Post_Launch,PENDING,,0,0.00,0.00,Brian Hall,Only after Oct 11,Collect signups at grand opening open house then activate segment
follow_up_thank_you_launch,Post_Launch_Thank_You_All,PENDING,,0,0.00,0.00,Brian Hall,Only after Oct 11 event conclusion,Follow up thank you email cadence to all attended segments after grand opening not a marketing message
