timestamp,description
2026-10-01T06:42:00-05:00,Aaron leaves for chores
2026-10-01T07:55:00-05:00,School bus pickup (Wyatt and Emma)
2026-10-02T07:54:00-05:00,School bus pickup
2026-10-02T13:10:00-05:00,"FedEx truck pulls up to porch, drops nothing (different shipment, wrong house?)"
2026-10-03T08:18:00-05:00,"Carl Perkins pickup pulls up, Carl walks to door, Jenny answers"
2026-10-03T08:42:00-05:00,Carl leaves
2026-10-04T07:50:00-05:00,"Tom Halliburton pickup pulls up briefly, leaves a magazine on the porch"
2026-10-05T18:14:00-05:00,Emma running across porch with chicken — recurring evening event
2026-10-06T06:38:00-05:00,Aaron leaves for chores
2026-10-06T07:55:00-05:00,School bus pickup
