id,name,type,messages_total,messages_unread,threads_total,threads_unread
INBOX,INBOX,system,41,7,28,6
SENT,SENT,system,312,0,188,0
DRAFT,DRAFT,system,3,0,3,0
Label_clinic,Rimrock-Vet,user,184,3,96,2
Label_vendors,Vendors,user,71,2,39,2
Label_rodeo,Rodeo,user,33,1,21,1
Label_family,Family,user,58,0,22,0
Label_personal,Personal,user,24,1,12,1
Label_auto_001,Delta Bar,user,12,0,8,0
Label_auto_002,Zoetis,user,89,1,43,0
Label_auto_003,Boehringer,user,86,4,18,2
Label_auto_004,Merck,user,11,5,5,1
Label_auto_005,CBRA,user,87,6,26,0
Label_auto_006,GRE,user,70,0,16,0
Label_auto_007,Photography,user,26,3,24,0
Label_auto_008,Receipts,user,6,1,5,0
Label_auto_009,Truck-Ford,user,89,6,50,1
Label_auto_010,Bank-CCU,user,49,6,28,3
Label_auto_011,Obaa-chan,user,85,4,61,4
Label_auto_012,Kenji,user,50,1,23,1
Label_auto_013,Farrier,user,19,0,19,0
Label_auto_014,Leatherwork,user,64,6,1,1
Label_auto_015,CE-Credits,user,83,0,69,0
Label_auto_016,HOA,user,2,1,2,1
Label_auto_017,Travel,user,57,4,25,0
Label_auto_018,Vet-Clients,user,27,6,25,5
Label_auto_019,Newsletters,user,39,0,6,0
Label_auto_020,Hikari,user,43,3,19,2
Label_auto_021,Sage,user,11,5,10,3
Label_auto_022,Kaze,user,68,5,60,2
Label_auto_023,Important,user,89,0,72,0
Label_auto_024,Follow-up,user,57,2,9,2
Label_auto_025,Tax-2025,user,53,5,49,4
Label_auto_026,Tax-2026,user,80,5,73,2
Label_auto_027,Henderson Ranch-27,user,71,1,18,0
Label_auto_028,Delta Bar-28,user,89,0,76,0
Label_auto_029,Zoetis-29,user,87,0,69,0
Label_auto_030,Boehringer-30,user,11,6,9,2
Label_auto_031,Merck-31,user,73,1,28,0
Label_auto_032,CBRA-32,user,64,3,10,1
Label_auto_033,GRE-33,user,78,5,71,1
Label_auto_034,Photography-34,user,25,1,21,1
Label_auto_035,Receipts-35,user,80,2,27,2
Label_auto_036,Truck-Ford-36,user,77,5,47,5
Label_auto_037,Bank-CCU-37,user,77,1,71,0
Label_auto_038,Obaa-chan-38,user,7,5,1,0
Label_auto_039,Kenji-39,user,84,0,52,0
Label_auto_040,Farrier-40,user,25,0,23,0
Label_auto_041,Leatherwork-41,user,44,6,26,6
Label_auto_042,CE-Credits-42,user,52,5,42,4
Label_auto_043,HOA-43,user,25,1,24,1
Label_auto_044,Travel-44,user,44,5,6,0
Label_auto_045,Vet-Clients-45,user,36,0,21,0
Label_auto_046,Newsletters-46,user,24,5,21,2
Label_auto_047,Hikari-47,user,62,3,45,0
Label_auto_048,Sage-48,user,71,5,61,3
Label_auto_049,Kaze-49,user,90,0,5,0
Label_auto_050,Important-50,user,89,3,73,1
Label_auto_051,Follow-up-51,user,64,0,39,0
Label_auto_052,Tax-2025-52,user,80,0,11,0
Label_auto_053,Tax-2026-53,user,27,5,10,4
Label_auto_054,Henderson Ranch-54,user,61,3,33,1
Label_auto_055,Delta Bar-55,user,71,5,36,3
Label_auto_056,Zoetis-56,user,38,1,11,0
Label_auto_057,Boehringer-57,user,18,0,11,0
Label_auto_058,Merck-58,user,48,0,8,0
Label_auto_059,CBRA-59,user,34,2,33,1
Label_auto_060,GRE-60,user,41,4,25,3
Label_auto_061,Photography-61,user,87,4,32,1
Label_auto_062,Receipts-62,user,28,6,24,6
Label_auto_063,Truck-Ford-63,user,64,6,64,3
Label_auto_064,Bank-CCU-64,user,42,1,4,1
Label_auto_065,Obaa-chan-65,user,31,4,27,0
Label_auto_066,Kenji-66,user,18,2,13,1
Label_auto_067,Farrier-67,user,28,2,9,2
Label_auto_068,Leatherwork-68,user,82,5,67,4
Label_auto_069,CE-Credits-69,user,74,5,54,0
Label_auto_070,HOA-70,user,73,6,36,3
Label_auto_071,Travel-71,user,6,0,1,0
Label_auto_072,Vet-Clients-72,user,85,6,49,6
Label_auto_073,Newsletters-73,user,37,0,28,0
Label_auto_074,Hikari-74,user,78,3,70,3
Label_auto_075,Sage-75,user,2,1,1,1
Label_auto_076,Kaze-76,user,60,3,55,3
Label_auto_077,Important-77,user,26,6,1,1
Label_auto_078,Follow-up-78,user,45,3,16,2
Label_auto_079,Tax-2025-79,user,56,3,18,3
Label_auto_080,Tax-2026-80,user,83,4,45,0
Label_auto_081,Henderson Ranch-81,user,2,2,2,1
Label_auto_082,Delta Bar-82,user,57,3,25,3
Label_auto_083,Zoetis-83,user,46,6,14,2
Label_auto_084,Boehringer-84,user,5,0,4,0
Label_auto_085,Merck-85,user,24,2,6,2
Label_auto_086,CBRA-86,user,42,6,24,3
Label_auto_087,GRE-87,user,57,4,31,4
Label_auto_088,Photography-88,user,31,6,12,3
Label_auto_089,Receipts-89,user,56,6,19,6
Label_auto_090,Truck-Ford-90,user,31,1,19,0
Label_auto_091,Bank-CCU-91,user,59,6,57,6
Label_auto_092,Obaa-chan-92,user,3,1,3,0
Label_auto_093,Kenji-93,user,7,6,3,2
Label_auto_094,Farrier-94,user,25,4,1,1
Label_auto_095,Leatherwork-95,user,8,4,5,1
Label_auto_096,CE-Credits-96,user,55,5,6,0
Label_auto_097,HOA-97,user,12,6,9,2
Label_auto_098,Travel-98,user,32,2,23,1
Label_auto_099,Vet-Clients-99,user,28,0,4,0
Label_auto_100,Newsletters-100,user,20,5,8,0
Label_auto_101,Hikari-101,user,45,0,33,0
Label_auto_102,Sage-102,user,36,3,22,3
Label_auto_103,Kaze-103,user,21,0,9,0
Label_auto_104,Important-104,user,17,5,13,3
Label_auto_105,Follow-up-105,user,32,3,23,1
Label_auto_106,Tax-2025-106,user,56,6,21,6
Label_auto_107,Tax-2026-107,user,20,3,14,3
Label_auto_108,Henderson Ranch-108,user,81,1,7,0
Label_auto_109,Delta Bar-109,user,33,6,20,2
Label_auto_110,Zoetis-110,user,2,0,2,0
