Title	Author	Category	Status	Finished
The Open Floor	Margaux Hollander	Leadership	Reading	
Spark and Sustain	Derek Pennington	Leadership	Rereading	
The Fearless Organization	Amy Edmondson	Psychological safety	Finished	2025-09-12
Thinking, Fast and Slow	Daniel Kahneman	Psychology	Finished	2025-07-03
Drive	Daniel Pink	Motivation	Finished	2025-08-19
Behave	Robert Sapolsky	Neuroscience	Finished	2025-11-28
The Culture Code	Daniel Coyle	Team dynamics	Finished	2025-12-22
Range	David Epstein	Career	Finished	2026-01-18
An Everyone Culture	Kegan and Lahey	Organizational	To read	
Atomic Habits	James Clear	Habit	Finished	2026-02-09
