id,company_id,pay_period_start,pay_period_end,check_date,processed,gross_pay,net_pay,employee_count
PAY-2026-01,CREST-001,2025-12-23,2026-01-05,2026-01-09,true,2384.62,1934.81,1
PAY-2026-02,CREST-001,2026-01-06,2026-01-19,2026-01-23,true,2384.62,1934.81,1
PAY-2026-03,CREST-001,2026-01-20,2026-02-02,2026-02-06,true,2384.62,1934.81,1
PAY-2026-04,CREST-001,2026-02-03,2026-02-16,2026-02-20,true,2384.62,1934.81,1
PAY-2026-05,CREST-001,2026-02-17,2026-03-02,2026-03-06,true,2384.62,1934.81,1
PAY-2026-06,CREST-001,2026-03-03,2026-03-16,2026-03-20,true,2384.62,1934.81,1
PAY-2026-07,CREST-001,2026-03-17,2026-03-30,2026-04-03,true,2384.62,1934.81,1
PAY-2026-08,CREST-001,2026-03-31,2026-04-13,2026-04-17,true,2384.62,1910.96,1
PAY-2026-09,CREST-001,2026-04-14,2026-04-27,2026-05-01,true,2384.62,1910.96,1
PAY-2026-10,CREST-001,2026-04-28,2026-05-11,2026-05-15,true,2384.62,1910.96,1
PAY-2026-11,CREST-001,2026-05-12,2026-05-25,2026-05-29,true,2384.62,1910.96,1
PAY-2026-12,CREST-001,2026-05-26,2026-06-08,2026-06-12,true,2384.62,1910.96,1
PAY-2026-13,CREST-001,2026-06-09,2026-06-22,2026-06-26,true,2384.62,1910.96,1
PAY-2026-14,CREST-001,2026-06-23,2026-07-06,2026-07-10,true,2384.62,1910.96,1
PAY-2026-15,CREST-001,2026-07-07,2026-07-20,2026-07-24,true,2384.62,1910.96,1
PAY-2026-16,CREST-001,2026-07-21,2026-08-03,2026-08-07,true,2384.62,1910.96,1
PAY-2026-17,CREST-001,2026-08-04,2026-08-17,2026-08-21,true,2384.62,1910.96,1
PAY-2026-18,CREST-001,2026-08-18,2026-08-31,2026-09-04,true,2384.62,1910.96,1
PAY-2026-19,CREST-001,2026-09-01,2026-09-14,2026-09-18,true,2384.62,1910.96,1
PAY-2026-20,CREST-001,2026-09-15,2026-09-28,2026-10-02,true,2384.62,1910.96,1
PAY-2026-21,CREST-001,2026-09-29,2026-10-12,2026-10-16,true,2384.62,1910.96,1
PAY-2026-22,CREST-001,2026-10-13,2026-10-26,2026-10-30,true,2384.62,1910.96,1
