id,name,description,active,created
prod_b9220188c23c44,Sponsorship Slot Primary Newsletter,Primary sponsorship slot in the Reed Security Notes quarterly newsletter,true,1696118400
prod_f2b1295aced045,Sponsorship Slot Secondary Newsletter,Secondary sponsorship slot in the Reed Security Notes quarterly newsletter,true,1696204800
prod_af2c3fa1b9744f,MITRE ATT&CK Detection Rule Pack Q4 2026,Detection rule pack for MITRE ATT&CK Q4 2026 techniques,true,1696291200
prod_d6287864778d45,Splunk SIEM Dashboard Export Q4 2026,Splunk detection engineering dashboard export bundle,true,1696377600
prod_1651b714092c4e,Elastic Watcher Rule Pack Q3 2026,Elastic Watcher rule pack,true,1696464000
prod_13c3dca069df4d,Silver Spring Meetup Standard Ticket,Silver Spring detection engineering meetup ticket,true,1696550400
prod_d4739f045ea246,Silver Spring Meetup Sustaining Ticket,Silver Spring detection engineering meetup sustaining ticket,true,1696636800
prod_da5279ed79cc48,Focused multi-state array,Mouth morning whose adult.,true,1699774386
prod_9c22a77b7df34d,Organized attitude-oriented Graphic Interface,Time religious according day baby culture.,true,1703788700
prod_b061d7c3b01e4e,Inverse stable ability,Interesting sell side two rule its marriage group.,false,1700823242
prod_385ca617b49244,Up-sized value-added firmware,Mind we car budget service open perhaps.,true,1698006270
prod_8b7a085427404d,Versatile even-keeled toolset,Person start college choose traditional everyone force.,true,1698660716
prod_c78e9943497b48,Polarized user-facing workforce,Contain behind one old single paper community run.,true,1696629876
prod_a0f6387e045142,Right-sized global support,Seem consider company administration benefit simply.,true,1703457809
prod_2d11e972cdcb4f,Versatile intangible paradigm,Bit mind issue economy foot.,true,1701205176
prod_b8d4787bfd524e,Pre-emptive motivating system engine,Tend fall affect first away specific community eye girl.,true,1698153679
prod_7ecba0723e9645,Expanded 24hour groupware,Speech bit front company try.,true,1699942729
prod_21ca5d2a400349,Streamlined leadingedge matrices,Wonder along career bag.,true,1702871349
prod_94a9fc87a04c48,Synergized zero-defect process improvement,Relate build reason already four he available resource should.,true,1703086558
prod_3d1ecb50446143,Operative maximized circuit,Mean guess space TV address part.,false,1702770846
prod_39f3ad8be3f348,Seamless homogeneous knowledgebase,Her beat society age discuss those health.,true,1697456492
prod_3a135fe46fc447,Quality-focused reciprocal focus group,Series simple only town draw near other describe.,true,1702897231
prod_4a31983807fe40,Balanced high-level emulation,Admit them can energy sport us deep personal.,true,1700457493
prod_e930f40723d145,Customer-focused directional database,Side daughter thought Mrs success consumer player instead strategy.,true,1699781331
prod_92aefca490954f,Quality-focused systemic initiative,Without herself prepare age myself already whether cup.,true,1701286900
prod_93bdc5f8b44f40,Ergonomic heuristic website,Not soldier resource community along.,false,1702845216
prod_3ffbd627bc784b,Triple-buffered 4thgeneration strategy,Message crime edge decade identify thousand spend outside can.,false,1702360997
prod_581c7987d64e4e,Configurable local productivity,Job trial night different yeah.,false,1697369381
prod_6f76294f9d804b,Synergized demand-driven framework,Article project themselves paper drug region.,true,1699201271
prod_2dd9b30ffc1047,Advanced logistical solution,Whole political store herself probably especially art.,true,1697352177
prod_2a223f4788cd43,Programmable zero-defect monitoring,Military job pattern soon management money.,true,1700573742
prod_6c2a14cd5f4c4e,Distributed explicit hub,Chair most quality itself bit conference.,false,1701556250
prod_970992d6ba6846,Enterprise-wide homogeneous definition,Add hand wife central scientist under.,true,1697629659
prod_ca84624cdf3a44,Distributed client-driven open system,Heart alone spend everything fight give.,true,1697654008
prod_808c23a4fe984f,Customizable maximized monitoring,Challenge movement detail year both spend check his let might country.,false,1697964357
prod_fd387ed7cbd942,Front-line composite array,Learn line require agree free choice live third protect much.,true,1696237402
prod_8834001c72b74a,Profound system-worthy help-desk,Experience reflect gun true there already whether.,true,1699188404
prod_e49045cce89d41,Fundamental value-added benchmark,Avoid policy help five.,true,1696627059
prod_5c78e60bf9e04f,Multi-layered homogeneous alliance,As relate chair enjoy just last career our listen ground.,true,1697279445
prod_780375339d524a,Team-oriented non-volatile strategy,Wrong book most center him.,true,1699266828
prod_ff3186e809674d,Adaptive methodical moratorium,Produce answer high point determine analysis.,true,1696409380
prod_54ce137797884f,Future-proofed even-keeled focus group,Son director common he lot.,true,1698458287
prod_71de3b61da9f47,Progressive logistical architecture,And partner war sign certain since president man.,true,1698672719
prod_7dafa9c34c4f4d,Diverse systematic attitude,Unit become sister together onto.,true,1699040254
prod_5f9f122f49eb4f,Sharable context-sensitive forecast,Imagine good hotel she whom sure personal work speech.,true,1700046353
prod_0f19018edecd4b,Reduced 24hour capability,Near attorney traditional future.,true,1703589619
