Section	Item	Qty	Store	Est_Cost	Use
Batch	Red lentil dal	6 portions	-	-	Lunches Mon to Wed
Batch	Chana masala	4 portions	-	-	Dinners Tue Thu
Batch	Brown rice	8 cups cooked	-	-	Base for both
Batch	Roasted veg tray	5 portions	-	-	Side, eggs in morning
Produce	Yellow onions	3 lb	Aldi	2.49	Dal and masala base
Produce	Carrots	2 lb	Aldi	1.69	Roast tray
Produce	Spinach	1 box	Aldi	2.19	Stir into dal
Produce	Garlic	2 heads	Aldi	0.89	Everything
Pantry	Red lentils	2 lb	Stop & Shop	2.99	Dal
Pantry	Chickpeas dried	2 lb	Stop & Shop	2.49	Masala
Pantry	Brown rice	5 lb	Aldi	4.29	Base
Pantry	Diced tomatoes	3 cans	Aldi	1.47	Masala
Dairy	Eggs	18 ct	Aldi	3.59	Breakfast protein
Dairy	Plain yogurt	32 oz	Aldi	2.79	Dal topping
Spice	Cumin and garam masala	refill	Stop & Shop	3.50	Spice jar low
Total	Weekly grocery target	-	-	28.38	Under 230 monthly line
