gid,name,project_gid,created_at
1207701409000001,To Do,1207701408000000,2026-01-15T10:05:00.000Z
1207701409000002,In progress,1207701408000000,2026-01-15T10:05:00.000Z
1207701409000003,In review,1207701408000000,2026-01-15T10:05:00.000Z
1207701409000004,Done,1207701408000000,2026-01-15T10:05:00.000Z
1207701409000005,Blocked,1207701408000000,2026-01-15T10:05:00.000Z
1207701409000010,Inbox,1207701408000001,2025-04-12T10:05:00.000Z
1207701409000011,Processing,1207701408000001,2025-04-12T10:05:00.000Z
1207701409000012,Done,1207701408000001,2025-04-12T10:05:00.000Z
1207701409000020,Backlog,1207701408000002,2025-04-12T10:05:00.000Z
1207701409000021,Active,1207701408000002,2025-04-12T10:05:00.000Z
1207701409000022,Done,1207701408000002,2025-04-12T10:05:00.000Z
