page_id,property_name,property_type,value
pg_046,Status,select,Active
pg_050,Priority,select,High
pg_051,Priority,select,High
pg_046,Category,select,Ranch
pg_047,Status,select,Active
pg_047,Category,select,Health
pg_048,Status,select,Completed
pg_048,Category,select,Council
pg_049,Status,select,Active
pg_049,Category,select,Ranch
pg_050,Status,select,Active
pg_050,Category,select,Health
pg_051,Status,select,Active
pg_051,Category,select,Health
pg_052,Status,select,Active
pg_052,Category,select,Financial
pg_053,Status,select,Pending
pg_053,Category,select,Legal
pg_054,Status,select,Active
pg_054,Category,select,Ranch
