place_id,name,formatted_address,lat,lng,rating,user_ratings_total,types,business_status,price_level
ChIJgeo0000brookline01,Katie Lee Home,42 Longwood Terrace Brookline MA 02445 USA,42.3312,-71.1218,4.0,1,street_address,,2
ChIJgeo0000jfkterm1,JFK Airport Terminal 1,JFK Airport Terminal 1 Queens NY 11430 USA,40.6437,-73.7876,3.7,15420,airport,OPERATIONAL,
ChIJgeo0000bwh0001,Brigham Rheumatology,75 Francis Street Boston MA 02115 USA,42.3358,-71.1063,4.4,2680,hospital,OPERATIONAL,
ChIJgeo0000nepking1,NEP Kingston Soccer Complex,300 Landing Road Kingston MA 02364 USA,41.9902,-70.7218,4.5,215,park,OPERATIONAL,
ChIJgeo0000ffrs001,Florida Ruffin Ridley School,345 Harvard Street Brookline MA 02446 USA,42.3378,-71.1234,4.3,42,school,OPERATIONAL,
ChIJgeo0000kacc001,Korean American Community Center,84 Prospect Street Cambridge MA 02139 USA,42.3652,-71.1015,4.6,158,community_center,OPERATIONAL,
ChIJgeo0000hmart01,H Mart Burlington,3 Old Concord Road Burlington MA 01803 USA,42.5077,-71.1958,4.4,2100,grocery_or_supermarket,OPERATIONAL,2
ChIJgeo0000lma001,Longwood Medical Area,Boston MA 02115 USA,42.3355,-71.1062,4.2,850,neighborhood,OPERATIONAL,
ChIJgeo0000wellesley,Wellesley College,106 Central Street Wellesley MA 02481 USA,42.2963,-71.3062,4.7,540,university,OPERATIONAL,
ChIJgeo0000back_bay,Back Bay Boston,Back Bay Boston MA 02116 USA,42.3505,-71.0812,4.6,1200,neighborhood,OPERATIONAL,
