listing_id,start_date,end_date,available
lst-gdl-colonia,2026-11-17,2026-11-23,true
lst-gdl-colonia,2026-11-22,2026-11-30,true
lst-gdl-colonia,2026-12-27,2027-01-08,false
lst-gdl-chapalita,2026-12-16,2026-12-24,false
lst-0001,2027-01-12,2027-01-19,true
lst-0002,2027-01-08,2027-01-14,true
lst-0002,2027-01-09,2027-01-13,false
lst-0003,2026-12-15,2026-12-18,true
lst-0003,2026-12-13,2026-12-17,true
lst-0003,2026-12-02,2026-12-10,true
lst-0004,2026-12-21,2027-01-02,false
lst-0004,2026-11-29,2026-12-04,true
lst-0005,2026-11-14,2026-11-27,true
lst-0006,2026-11-17,2026-11-26,true
lst-0006,2027-01-15,2027-01-22,true
lst-0007,2026-11-12,2026-11-15,true
lst-0007,2026-12-26,2027-01-06,true
lst-0008,2026-12-31,2027-01-07,true
lst-0008,2027-01-06,2027-01-17,true
lst-0008,2026-11-15,2026-11-28,true
lst-0009,2026-11-17,2026-12-01,true
lst-0010,2027-01-07,2027-01-11,true
lst-0011,2026-12-28,2027-01-11,true
lst-0011,2026-11-02,2026-11-05,true
lst-0011,2026-11-07,2026-11-10,false
lst-0012,2026-12-30,2027-01-06,true
lst-0012,2026-11-17,2026-11-27,false
lst-0013,2026-12-10,2026-12-15,true
lst-0014,2026-11-30,2026-12-04,true
lst-0015,2026-11-22,2026-12-04,true
lst-0015,2027-01-16,2027-01-30,false
lst-0016,2027-01-03,2027-01-08,true
lst-0017,2027-01-30,2027-02-12,true
lst-0018,2026-11-11,2026-11-24,false
lst-0018,2026-11-15,2026-11-19,true
lst-0019,2027-01-13,2027-01-22,true
lst-0020,2026-12-30,2027-01-02,true
lst-0020,2026-12-11,2026-12-23,false
lst-0020,2026-12-10,2026-12-19,true
lst-0021,2027-01-03,2027-01-12,true
lst-0022,2027-01-18,2027-01-27,true
lst-0023,2026-11-27,2026-12-04,false
lst-0023,2026-11-23,2026-11-29,true
lst-0024,2026-11-12,2026-11-15,true
lst-0024,2026-11-02,2026-11-06,false
lst-0024,2027-01-09,2027-01-13,true
lst-0025,2026-12-14,2026-12-27,false
lst-0026,2026-12-16,2026-12-21,false
lst-0026,2027-01-10,2027-01-16,false
lst-0027,2027-01-25,2027-02-03,true
lst-0027,2026-11-30,2026-12-13,false
lst-0027,2027-01-12,2027-01-20,true
lst-0028,2026-12-29,2027-01-12,true
lst-0029,2026-11-25,2026-12-07,true
lst-0029,2027-01-13,2027-01-24,true
lst-0030,2026-12-31,2027-01-13,false
lst-0031,2027-01-26,2027-02-08,false
lst-0031,2026-11-28,2026-12-07,true
lst-0032,2026-11-05,2026-11-16,true
lst-0032,2026-12-04,2026-12-09,false
lst-0033,2026-12-17,2026-12-24,false
lst-0034,2026-12-20,2026-12-31,false
lst-0034,2026-11-11,2026-11-25,false
lst-0035,2026-12-13,2026-12-25,true
lst-0035,2026-12-03,2026-12-17,true
lst-0036,2027-01-01,2027-01-10,true
lst-0037,2026-12-31,2027-01-09,true
lst-0037,2026-12-24,2027-01-02,true
lst-0037,2027-01-08,2027-01-14,true
lst-0038,2026-12-12,2026-12-24,true
lst-0038,2026-11-26,2026-12-02,true
lst-0038,2027-01-27,2027-02-01,true
lst-0039,2026-12-31,2027-01-12,false
lst-0039,2027-01-01,2027-01-06,true
lst-0040,2026-12-14,2026-12-19,false
lst-0041,2027-01-24,2027-02-03,true
lst-0041,2027-01-29,2027-02-04,false
lst-0042,2027-01-19,2027-01-26,true
lst-0042,2027-01-25,2027-02-06,true
lst-0043,2026-11-21,2026-12-04,true
lst-0043,2026-11-16,2026-11-22,true
lst-0044,2026-11-28,2026-12-04,false
lst-0044,2027-01-29,2027-02-07,true
lst-0045,2026-11-09,2026-11-17,true
lst-0046,2026-11-08,2026-11-16,true
lst-0046,2027-01-16,2027-01-20,false
lst-0046,2026-11-20,2026-11-29,true
lst-0047,2027-01-05,2027-01-17,true
lst-0047,2027-01-01,2027-01-13,false
lst-0047,2026-12-06,2026-12-18,false
lst-0048,2026-12-30,2027-01-03,true
lst-0048,2026-11-18,2026-11-25,true
lst-0049,2026-11-11,2026-11-14,false
lst-0049,2026-11-30,2026-12-04,true
lst-0050,2026-12-24,2026-12-28,true
lst-0050,2026-12-06,2026-12-09,true
lst-0051,2027-01-14,2027-01-18,true
lst-0051,2026-12-26,2027-01-08,true
lst-0051,2026-11-27,2026-12-05,false
lst-0052,2026-11-03,2026-11-08,false
lst-0052,2027-01-29,2027-02-02,false
lst-0053,2026-12-19,2026-12-22,true
lst-0053,2026-11-30,2026-12-04,true
lst-0053,2026-12-05,2026-12-14,false
lst-0054,2027-01-20,2027-02-01,false
lst-0054,2026-12-26,2026-12-30,true
lst-0054,2026-11-05,2026-11-10,true
lst-0055,2026-12-07,2026-12-13,true
lst-0055,2026-11-20,2026-11-27,false
lst-0056,2026-11-12,2026-11-16,true
lst-0057,2026-12-13,2026-12-18,false
lst-0057,2026-12-06,2026-12-13,false
lst-0058,2027-01-23,2027-01-30,false
lst-0059,2026-12-29,2027-01-02,true
lst-0059,2027-01-02,2027-01-12,true
lst-0060,2026-11-28,2026-12-04,true
lst-0061,2026-12-19,2026-12-25,false
lst-0062,2026-12-20,2026-12-26,false
lst-0062,2026-11-01,2026-11-12,true
lst-0062,2026-11-11,2026-11-17,false
lst-0063,2026-11-17,2026-11-26,true
lst-0063,2027-01-05,2027-01-11,true
lst-0064,2027-01-19,2027-01-31,true
lst-0064,2027-01-12,2027-01-15,true
lst-0065,2026-11-25,2026-12-04,false
lst-0066,2026-12-24,2027-01-01,true
lst-0066,2027-01-04,2027-01-15,false
lst-0067,2027-01-12,2027-01-18,false
lst-0068,2026-11-09,2026-11-22,true
lst-0069,2027-01-10,2027-01-21,true
lst-0069,2026-11-11,2026-11-16,false
lst-0070,2027-01-10,2027-01-20,false
lst-0071,2026-11-25,2026-11-30,true
lst-0071,2026-12-02,2026-12-07,false
lst-0071,2026-12-19,2027-01-01,true
lst-0072,2026-11-20,2026-11-30,false
lst-0072,2027-01-09,2027-01-14,true
lst-0073,2026-11-14,2026-11-18,true
lst-0073,2026-12-04,2026-12-18,true
lst-0073,2026-11-15,2026-11-24,true
lst-0074,2027-01-05,2027-01-13,true
lst-0074,2026-11-05,2026-11-14,false
lst-0074,2026-12-27,2027-01-02,true
lst-0075,2026-11-04,2026-11-12,true
lst-0075,2026-12-23,2027-01-01,false
lst-0076,2027-01-26,2027-02-04,false
lst-0076,2026-12-01,2026-12-08,true
lst-0076,2027-01-03,2027-01-11,true
lst-0077,2027-01-19,2027-01-24,true
lst-0078,2026-11-19,2026-11-26,true
lst-0078,2026-11-03,2026-11-10,true
lst-0079,2027-01-03,2027-01-14,true
lst-0079,2026-12-06,2026-12-17,true
lst-0079,2027-01-02,2027-01-14,true
lst-0080,2026-12-19,2027-01-01,true
lst-0080,2026-11-21,2026-11-29,true
lst-0080,2026-12-20,2026-12-27,true
lst-0081,2027-01-28,2027-02-11,true
lst-0081,2026-11-28,2026-12-05,true
lst-0082,2027-01-27,2027-01-30,true
lst-0082,2026-11-16,2026-11-29,true
lst-0082,2026-12-02,2026-12-10,false
lst-0083,2026-11-02,2026-11-13,true
lst-0084,2026-12-10,2026-12-21,true
lst-0085,2026-11-14,2026-11-19,true
lst-0086,2026-11-07,2026-11-11,true
lst-0086,2026-11-21,2026-12-03,true
lst-0087,2027-01-29,2027-02-11,true
lst-0087,2026-11-15,2026-11-22,false
lst-0088,2026-12-29,2027-01-08,true
lst-0088,2027-01-07,2027-01-16,true
lst-0088,2027-01-01,2027-01-07,true
lst-0089,2027-01-16,2027-01-25,true
