listing_id,title,city,country,room_type,price_per_night,cleaning_fee,beds,baths,max_guests,rating,review_count,host_id,instant_book
lst-gdl-colonia,Colonia Americana townhouse,Guadalajara,Mexico,entire_home,168.00,45.00,3,2.0,6,4.90,214,host-0001,true
lst-gdl-chapalita,Chapalita apartment near Tia Lupe,Guadalajara,Mexico,entire_home,142.00,38.00,2,2.0,4,4.85,168,host-0002,false
lst-0001,Southtown townhouse,San Francisco,USA,private_room,122.10,68.97,3,2.5,7,4.52,51,host-0090,true
lst-0002,Southtown loft,San Antonio,USA,private_room,224.59,42.77,1,1.5,3,4.64,137,host-0087,true
lst-0003,Capitol Hill casita,San Antonio,USA,entire_home,79.04,88.94,3,2.0,5,4.81,235,host-0170,true
lst-0004,Mission guesthouse,San Francisco,USA,private_room,234.00,55.35,1,1.0,6,4.69,54,host-0102,false
lst-0005,Providencia guesthouse,Guadalajara,Mexico,entire_home,106.89,79.18,1,1.0,8,4.82,243,host-0077,true
lst-0006,Southtown studio,San Antonio,USA,entire_home,170.37,53.75,2,1.0,4,4.63,65,host-0162,true
lst-0007,Capitol Hill studio,San Antonio,USA,private_room,111.72,77.59,1,2.5,4,4.72,219,host-0104,true
lst-0008,Capitol Hill townhouse,Denver,USA,private_room,129.23,88.55,1,2.5,5,4.51,179,host-0105,false
lst-0009,Providencia loft,Guadalajara,Mexico,entire_home,120.26,84.78,3,1.5,3,4.85,178,host-0112,true
lst-0010,Capitol Hill studio,Denver,USA,private_room,99.28,28.25,4,1.0,3,4.79,212,host-0160,false
lst-0011,Mission loft,San Francisco,USA,entire_home,142.11,69.39,4,1.5,4,4.77,281,host-0182,false
lst-0012,Pearl District guesthouse,San Antonio,USA,private_room,178.81,63.53,2,2.0,2,4.72,195,host-0121,true
lst-0013,Capitol Hill casita,San Antonio,USA,private_room,164.01,68.10,3,2.5,3,4.57,187,host-0159,false
lst-0014,Arcos Vallarta townhouse,Guadalajara,Mexico,private_room,164.18,64.53,3,1.0,2,4.81,175,host-0115,false
lst-0015,Southtown apartment,San Francisco,USA,private_room,91.33,77.76,3,2.5,6,4.85,296,host-0136,false
lst-0016,Capitol Hill loft,Denver,USA,private_room,204.59,73.00,4,1.0,3,4.73,137,host-0003,false
lst-0017,Southtown apartment,San Francisco,USA,entire_home,132.74,58.68,4,2.5,6,4.59,57,host-0106,true
lst-0018,Mission apartment,San Francisco,USA,entire_home,158.69,46.16,3,1.5,4,4.84,299,host-0002,false
lst-0019,Pearl District casita,San Francisco,USA,entire_home,199.95,61.68,2,1.0,4,4.92,50,host-0185,true
lst-0020,Mission apartment,San Francisco,USA,entire_home,232.07,51.35,2,2.0,4,4.56,154,host-0061,false
lst-0021,Arcos Vallarta guesthouse,Guadalajara,Mexico,private_room,94.06,69.09,3,2.5,3,4.87,59,host-0208,false
lst-0022,Pearl District townhouse,San Antonio,USA,entire_home,179.44,88.53,1,2.5,5,4.72,30,host-0155,false
lst-0023,Downtown studio,Denver,USA,entire_home,205.47,35.74,3,2.5,5,5.00,266,host-0118,false
lst-0024,Country Club townhouse,Guadalajara,Mexico,entire_home,127.92,87.87,3,2.5,2,4.52,256,host-0071,false
lst-0025,Downtown casita,San Francisco,USA,private_room,250.66,46.29,3,2.0,3,4.70,317,host-0034,false
lst-0026,Pearl District townhouse,Denver,USA,private_room,196.56,64.80,2,1.0,4,4.58,125,host-0187,false
