alias,title,parent
greek,Greek,restaurants
mediterranean,Mediterranean,restaurants
seafood,Seafood,restaurants
cat0,Category 0,restaurants
cat1,Category 1,restaurants
cat2,Category 2,restaurants
cat3,Category 3,restaurants
cat4,Category 4,restaurants
cat5,Category 5,restaurants
cat6,Category 6,restaurants
cat7,Category 7,restaurants
cat8,Category 8,restaurants
cat9,Category 9,restaurants
cat10,Category 10,restaurants
cat11,Category 11,restaurants
cat12,Category 12,restaurants
cat13,Category 13,restaurants
cat14,Category 14,restaurants
cat15,Category 15,restaurants
cat16,Category 16,restaurants
cat17,Category 17,restaurants
cat18,Category 18,restaurants
cat19,Category 19,restaurants
cat20,Category 20,restaurants
cat21,Category 21,restaurants
cat22,Category 22,restaurants
cat23,Category 23,restaurants
cat24,Category 24,restaurants
cat25,Category 25,restaurants
cat26,Category 26,restaurants
cat27,Category 27,restaurants
cat28,Category 28,restaurants
cat29,Category 29,restaurants
cat30,Category 30,restaurants
cat31,Category 31,restaurants
cat32,Category 32,restaurants
cat33,Category 33,restaurants
cat34,Category 34,restaurants
cat35,Category 35,restaurants
cat36,Category 36,restaurants
cat37,Category 37,restaurants
cat38,Category 38,restaurants
cat39,Category 39,restaurants
cat40,Category 40,restaurants
cat41,Category 41,restaurants
cat42,Category 42,restaurants
cat43,Category 43,restaurants
cat44,Category 44,restaurants
cat45,Category 45,restaurants
cat46,Category 46,restaurants
cat47,Category 47,restaurants
cat48,Category 48,restaurants
cat49,Category 49,restaurants
cat50,Category 50,restaurants
cat51,Category 51,restaurants
cat52,Category 52,restaurants
cat53,Category 53,restaurants
cat54,Category 54,restaurants
cat55,Category 55,restaurants
cat56,Category 56,restaurants
cat57,Category 57,restaurants
cat58,Category 58,restaurants
cat59,Category 59,restaurants
cat60,Category 60,restaurants
cat61,Category 61,restaurants
cat62,Category 62,restaurants
cat63,Category 63,restaurants
cat64,Category 64,restaurants
cat65,Category 65,restaurants
cat66,Category 66,restaurants
cat67,Category 67,restaurants
cat68,Category 68,restaurants
cat69,Category 69,restaurants
cat70,Category 70,restaurants
cat71,Category 71,restaurants
cat72,Category 72,restaurants
cat73,Category 73,restaurants
cat74,Category 74,restaurants
cat75,Category 75,restaurants
cat76,Category 76,restaurants
cat77,Category 77,restaurants
cat78,Category 78,restaurants
cat79,Category 79,restaurants
cat80,Category 80,restaurants
cat81,Category 81,restaurants
cat82,Category 82,restaurants
cat83,Category 83,restaurants
cat84,Category 84,restaurants
cat85,Category 85,restaurants
cat86,Category 86,restaurants
cat87,Category 87,restaurants
cat88,Category 88,restaurants
cat89,Category 89,restaurants
cat90,Category 90,restaurants
cat91,Category 91,restaurants
cat92,Category 92,restaurants
cat93,Category 93,restaurants
cat94,Category 94,restaurants
cat95,Category 95,restaurants
cat96,Category 96,restaurants
cat97,Category 97,restaurants
cat98,Category 98,restaurants
cat99,Category 99,restaurants
cat100,Category 100,restaurants
cat101,Category 101,restaurants
cat102,Category 102,restaurants
cat103,Category 103,restaurants
cat104,Category 104,restaurants
cat105,Category 105,restaurants
cat106,Category 106,restaurants
cat107,Category 107,restaurants
cat108,Category 108,restaurants
cat109,Category 109,restaurants
cat110,Category 110,restaurants
cat111,Category 111,restaurants
cat112,Category 112,restaurants
cat113,Category 113,restaurants
cat114,Category 114,restaurants
cat115,Category 115,restaurants
cat116,Category 116,restaurants
cat117,Category 117,restaurants
cat118,Category 118,restaurants
cat119,Category 119,restaurants
