event_id,timestamp_cet,user_id,user_status,source_system,auth_method,workstation_id,badge_scan_present,vpn_session_present,service_actor,override_flag,ticket_ref,ip_address
EVT-1013938,2025-11-13T22:41:12+01:00,L.SANDBERG,active,okta,mfa_totp,WKS-4821,true,true,,,,10.24.11.44
EVT-1013939,2025-11-13T23:02:08+01:00,K.HANSEN,active,okta,mfa_totp,WKS-5117,true,true,,,,10.24.11.71
EVT-1013940,2025-11-13T23:14:55+01:00,H.MOLIN,active,okta,mfa_totp,WKS-4901,true,true,,,,10.24.12.03
EVT-1013941,2025-11-14T00:03:41+01:00,SVC-BACKUP,service,okta,cert_bound,VM-BKP-02,,,SVC-BACKUP,scheduled,TCK-88214,10.24.20.14
EVT-1013942,2025-11-14T01:12:19+01:00,SVC-BACKUP,service,okta,cert_bound,VM-BKP-02,,,SVC-BACKUP,scheduled,TCK-88214,10.24.20.14
EVT-1013943,2025-11-14T02:05:34+01:00,M.OHLIN,active,okta,mfa_totp,WKS-4488,true,true,,,,10.24.11.88
EVT-1013944,2025-11-14T02:41:07+01:00,SVC-MONITOR,service,okta,cert_bound,VM-MON-01,,,SVC-MONITOR,scheduled,TCK-88215,10.24.20.17
EVT-1013945,2025-11-14T03:02:11+01:00,SVC-MONITOR,service,okta,cert_bound,VM-MON-01,,,SVC-MONITOR,scheduled,TCK-88215,10.24.20.17
EVT-1013946,2025-11-14T03:11:52+01:00,SVC-IAM-01,service,okta,cert_bound,VM-IAM-01,,,SVC-IAM-01,routine,TCK-88220,10.24.20.19
EVT-1013947,2025-11-14T03:17:44+01:00,J.EKSTROM,departed_2024,okta,admin_override,VM-IAM-01,false,false,SVC-IAM-01,admin_override,,10.24.20.19
EVT-1013948,2025-11-14T03:18:12+01:00,SVC-IAM-01,service,okta,cert_bound,VM-IAM-01,,,SVC-IAM-01,routine,TCK-88220,10.24.20.19
EVT-1013949,2025-11-14T03:41:03+01:00,SVC-BACKUP,service,okta,cert_bound,VM-BKP-02,,,SVC-BACKUP,scheduled,TCK-88214,10.24.20.14
EVT-1013950,2025-11-14T05:22:18+01:00,K.LINDQVIST,active,okta,mfa_totp,WKS-4312,true,true,,,,10.24.11.55
EVT-1013951,2025-11-14T06:41:52+01:00,H.MOLIN,active,okta,mfa_totp,WKS-4901,true,true,,,,10.24.12.03
EVT-1013952,2025-11-14T07:04:11+01:00,L.SANDBERG,active,okta,mfa_totp,WKS-4821,true,true,,,,10.24.11.44
EVT-1013953,2025-11-14T07:22:45+01:00,K.HANSEN,active,okta,mfa_totp,WKS-5117,true,true,,,,10.24.11.71
EVT-1013954,2025-11-14T07:41:33+01:00,A.PALMBERG,active,okta,mfa_totp,WKS-4711,true,true,,,,10.24.11.62
EVT-1013955,2025-11-14T08:02:14+01:00,M.OHLIN,active,okta,mfa_totp,WKS-4488,true,true,,,,10.24.11.88
EVT-1013956,2025-11-14T08:14:07+01:00,P.NILSSON,active,okta,mfa_totp,WKS-4501,true,true,,,,10.24.11.33
EVT-1013957,2025-11-14T08:22:41+01:00,F.WALLIN,active,okta,mfa_totp,WKS-4602,true,true,,,,10.24.11.22
EVT-1013958,2024-11-01T18:16:10+01:00,A.PALMBERG,active,okta,mfa_totp,WKS-4711,true,true,,,,10.24.12.13
EVT-1013959,2024-11-01T12:32:13+01:00,F.WALLIN,active,okta,mfa_totp,WKS-4602,true,true,,,,10.24.11.71
EVT-1013960,2024-11-01T16:09:23+01:00,H.MOLIN,active,okta,mfa_totp,WKS-4901,true,true,,,,10.24.11.3
EVT-1013961,2024-11-01T16:45:51+01:00,K.HANSEN,active,okta,mfa_totp,WKS-5117,true,true,,,,10.24.12.33
EVT-1013962,2024-11-01T16:38:04+01:00,K.LINDQVIST,active,okta,mfa_totp,WKS-4312,true,true,,,,10.24.12.93
EVT-1013963,2024-11-01T11:46:00+01:00,L.SANDBERG,active,okta,mfa_totp,WKS-4821,true,true,,,,10.24.11.98
EVT-1013964,2024-11-04T10:49:05+01:00,A.PALMBERG,active,okta,mfa_totp,WKS-4711,true,true,,,,10.24.12.20
EVT-1013965,2024-11-04T07:20:18+01:00,F.WALLIN,active,okta,mfa_totp,WKS-4602,true,true,,,,10.24.11.65
