uuid,owner,event_type,name,status,start_time,end_time,location_type,location,created_at,canceled_reason
uuid_1000,owner 0,event_type 0,Attorney Consultation,active,2026-10-20T09:00:00Z,2026-10-20T09:30:00Z,location_type 0,location 0,2026-06-01T09:00:00Z,false
uuid_noise_500,owner 500,event_type 500,name 500,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,location_type 500,location 500,2026-06-01T09:00:00Z,false
uuid_noise_501,owner 501,event_type 501,name 501,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,location_type 501,location 501,2026-06-01T09:00:00Z,false
uuid_noise_502,owner 502,event_type 502,name 502,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,location_type 502,location 502,2026-06-01T09:00:00Z,false
uuid_noise_503,owner 503,event_type 503,name 503,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,location_type 503,location 503,2026-06-01T09:00:00Z,false
uuid_noise_504,owner 504,event_type 504,name 504,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,location_type 504,location 504,2026-06-01T09:00:00Z,false
uuid_noise_505,owner 505,event_type 505,name 505,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,location_type 505,location 505,2026-06-01T09:00:00Z,false
uuid_noise_506,owner 506,event_type 506,name 506,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,location_type 506,location 506,2026-06-01T09:00:00Z,false
uuid_noise_507,owner 507,event_type 507,name 507,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,location_type 507,location 507,2026-06-01T09:00:00Z,false
uuid_noise_508,owner 508,event_type 508,name 508,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,location_type 508,location 508,2026-06-01T09:00:00Z,false
uuid_noise_509,owner 509,event_type 509,name 509,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,location_type 509,location 509,2026-06-01T09:00:00Z,false
uuid_noise_510,owner 510,event_type 510,name 510,active,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,location_type 510,location 510,2026-06-01T09:00:00Z,false
