Date	Description	Category	Amount
2026-01-02	Rent, Damen Property Mgmt	Rent	1425.00
2026-01-15	Great Lakes student loan	Loan	380.00
2026-01-10	Mariano's groceries	Groceries	78.20
2026-01-27	Mariano's groceries	Groceries	96.35
2026-01-21	Instacart groceries	Groceries	165.45
2026-01-18	Big Star	Dining	41.50
2026-01-08	Cozy Corner brunch	Dining	24.60
2026-01-23	Pastoral lunch	Dining	16.30
2026-01-29	DoorDash, trial prep night	Dining	31.80
2026-01-30	Avec dinner with Naomi	Dining	65.80
2026-01-12	ComEd electric	Utilities	58.90
2026-01-12	Peoples Gas	Utilities	51.20
2026-01-05	RCN internet	Utilities	55.00
2026-01-16	Verizon phone	Phone	70.00
2026-01-13	CTA Ventra reload	Transit	75.00
2026-01-19	Target household	Personal	58.75
2026-01-25	Walgreens, supplements	Personal	24.40
2026-01-26	Haircut	Personal	36.85
2026-01-09	Fleet Feet, gels and socks	Running	85.00
2026-01-22	Fleet Feet, running shoes	Running	142.00
2026-01-29	Cozy Corner brunch	Dining	14.25
2026-01-24	Spotify Premium	Subscriptions	11.99
2026-01-24	Strava Premium	Subscriptions	11.99
2026-01-03	Netflix	Subscriptions	15.49
2026-01-03	Hulu	Subscriptions	9.99
2026-01-07	Lemonade renters	Insurance	18.00
		TOTAL	3063.81
