id,name,classification_id,venue_id,attraction_id,start_datetime,status,price_min,price_max,currency
TICK_5fd9d558,Carlos Whitfield,CLAS_74f5d85e,VENU_8c0e8f1f,ATTR_1027da68,2026-10-28T08:00:00-08:00,scheduled,price_min_0,price_max_0,USD
TICK_d7d5ffea,June (68),CLAS_c4564078,VENU_2c74a49f,ATTR_c6934ca3,2026-10-12T11:07:00-08:00,live,price_min_1,price_max_1,USD
TICK_8a765bc4,Karen (1983),CLAS_221c8c17,VENU_2246d9d8,ATTR_c152f750,2026-09-25T14:14:00-08:00,completed,price_min_2,price_max_2,USD
TICK_71261274,David (1981),CLAS_ec4eb579,VENU_8bf86c7a,ATTR_d9f9f3bf,2026-09-08T17:21:00-08:00,cancelled,price_min_3,price_max_3,USD
TICK_4ec02b2f,Ethan (2014),CLAS_dcadbd90,VENU_5f140e73,ATTR_c2af6b2c,2026-08-21T08:28:00-08:00,postponed,price_min_4,price_max_4,USD
TICK_9d78d69b,Maya (2016),CLAS_d100d939,VENU_b291f34a,ATTR_90ad4f5f,2026-08-04T11:35:00-08:00,scheduled,price_min_5,price_max_5,USD
TICK_3d638b2c,Kevin (1986),CLAS_0558d70f,VENU_bc0fc802,ATTR_1397d7ea,2026-07-17T14:42:00-08:00,live,price_min_6,price_max_6,USD
TICK_3fddb2ba,Robert (1998),CLAS_3cb59b8a,VENU_0e0e112e,ATTR_6bb71ba3,2026-06-28T17:49:00-08:00,completed,price_min_7,price_max_7,USD
TICK_2a287665,Helen (2007),CLAS_5c52c079,VENU_3a9ae8d5,ATTR_a1f14c08,2026-06-13T08:56:00-08:00,cancelled,price_min_8,price_max_8,USD
TICK_6970e5d9,Linda (1957),CLAS_9095c70d,VENU_5eaf0385,ATTR_21a20a87,2026-05-26T11:03:00-08:00,postponed,price_min_9,price_max_9,USD
TICK_8323af4e,Frank (1958),CLAS_47d87638,VENU_0d99bebf,ATTR_941a0881,2026-05-09T14:10:00-08:00,scheduled,price_min_10,price_max_10,USD
