id,name,city,state,country,postal_code,address,latitude,longitude
TICK_5fd9d558,Carlos Whitfield,Beaverton,Oregon (Cedar Hills neighborhood),US,"100 Main St, Beaverton, Oregon (Cedar Hills neighborhood) 67154","100 Main St, Beaverton, Oregon (Cedar Hills neighborhood) 67154",30.0000,-120.0000
TICK_d7d5ffea,June (68),New York,Oregon (Cedar Hills neighborhood),US,"117 Oak Ave, New York, Oregon (Cedar Hills neighborhood) 67157","117 Oak Ave, New York, Oregon (Cedar Hills neighborhood) 67157",47.0031,-107.0037
TICK_8a765bc4,Karen (1983),Los Angeles,Oregon (Cedar Hills neighborhood),US,"134 Elm St, Los Angeles, Oregon (Cedar Hills neighborhood) 67160","134 Elm St, Los Angeles, Oregon (Cedar Hills neighborhood) 67160",44.0062,-94.0074
TICK_71261274,David (1981),Chicago,Oregon (Cedar Hills neighborhood),US,"151 Maple Dr, Chicago, Oregon (Cedar Hills neighborhood) 67163","151 Maple Dr, Chicago, Oregon (Cedar Hills neighborhood) 67163",41.0093,-81.0111
TICK_4ec02b2f,Ethan (2014),Houston,Oregon (Cedar Hills neighborhood),US,"168 Cedar Ln, Houston, Oregon (Cedar Hills neighborhood) 67166","168 Cedar Ln, Houston, Oregon (Cedar Hills neighborhood) 67166",38.0124,-68.0148
TICK_9d78d69b,Maya (2016),Phoenix,Oregon (Cedar Hills neighborhood),US,"185 Pine St, Phoenix, Oregon (Cedar Hills neighborhood) 67169","185 Pine St, Phoenix, Oregon (Cedar Hills neighborhood) 67169",35.0155,-115.0185
TICK_3d638b2c,Kevin (1986),Philadelphia,Oregon (Cedar Hills neighborhood),US,"202 Washington Blvd, Philadelphia, Oregon (Cedar Hills neighborhood) 67172","202 Washington Blvd, Philadelphia, Oregon (Cedar Hills neighborhood) 67172",32.0186,-102.0222
TICK_3fddb2ba,Robert (1998),San Antonio,Oregon (Cedar Hills neighborhood),US,"219 Park Ave, San Antonio, Oregon (Cedar Hills neighborhood) 67175","219 Park Ave, San Antonio, Oregon (Cedar Hills neighborhood) 67175",49.0217,-89.0259
TICK_2a287665,Helen (2007),San Diego,Oregon (Cedar Hills neighborhood),US,"236 Lake Dr, San Diego, Oregon (Cedar Hills neighborhood) 67178","236 Lake Dr, San Diego, Oregon (Cedar Hills neighborhood) 67178",46.0248,-76.0296
TICK_6970e5d9,Linda (1957),Dallas,Oregon (Cedar Hills neighborhood),US,"253 Hill Rd, Dallas, Oregon (Cedar Hills neighborhood) 67181","253 Hill Rd, Dallas, Oregon (Cedar Hills neighborhood) 67181",43.0279,-63.0333
TICK_8323af4e,Frank (1958),San Jose,Oregon (Cedar Hills neighborhood),US,"270 River Rd, San Jose, Oregon (Cedar Hills neighborhood) 67184","270 River Rd, San Jose, Oregon (Cedar Hills neighborhood) 67184",40.0310,-110.0370
TICK_fbfa106a,Connie (1960),Austin,Oregon (Cedar Hills neighborhood),US,"287 Sunset Blvd, Austin, Oregon (Cedar Hills neighborhood) 67187","287 Sunset Blvd, Austin, Oregon (Cedar Hills neighborhood) 67187",37.0341,-97.0407
