place_id,name,formatted_address,lat,lng,rating,user_ratings_total,types,business_status,price_level
ChIJ_route_0,"Home to Amarillo Livestock Auction | origin: 7820 County Road 28, Briscoe TX 79011 | dist: 96.4mi | dur: 105min | route: TX-152 W to I-40 W | Going with a gooseneck loaded, Aaron adds 15 minutes. Two-load trips are standard for fall sale day.","100 S Manhattan St, Amarillo TX 79104",35.22,-101.83,4.5,0,route,OPERATIONAL,0
ChIJ_route_1,"Home to Dr. Moyer (Clarendon) | origin: 7820 County Road 28, Briscoe TX 79011 | dist: 47.2mi | dur: 58min | route:  | ","Moyer Veterinary Service, Clarendon TX",35.22,-101.83,4.5,0,route,OPERATIONAL,0
ChIJ_route_2,"Home to Amarillo Hydraulic and Diesel | origin: 7820 County Road 28, Briscoe TX 79011 | dist: 99.1mi | dur: 110min | route:  | Will-call pickup option if the FedEx shipment continues to slip.","Amarillo Hydraulic and Diesel, Amarillo TX",35.22,-101.83,4.5,0,route,OPERATIONAL,0
ChIJ_route_3,"Home to McLean Feed and Seed | origin: 7820 County Road 28, Briscoe TX 79011 | dist: 18.4mi | dur: 24min | route:  | ","McLean Feed and Seed, McLean TX",35.22,-101.83,4.5,0,route,OPERATIONAL,0
ChIJ_route_4,"Home to Tractor Supply Pampa (parts will-call) | origin: 7820 County Road 28, Briscoe TX 79011 | dist: 52.7mi | dur: 65min | route:  | ","Tractor Supply Co., Pampa TX",35.22,-101.83,4.5,0,route,OPERATIONAL,0
ChIJ_route_5,"Home to Silverton (Briscoe County seat) | origin: 7820 County Road 28, Briscoe TX 79011 | dist: 68.3mi | dur: 78min | route:  | Aaron's town of Briscoe is in Wheeler County. The county named Briscoe is a different place to the south. Aaron drives to Silverton occasionally for ag-extension events.",Silverton TX,35.22,-101.83,4.5,0,route,OPERATIONAL,0
ChIJ_route_6,"Home to First Baptist Briscoe #000 | origin: 7820 County Road 28, Briscoe TX 79011 | dist: 1.9mi | dur: 7min | route: CR 28 | ","First Baptist Briscoe, Briscoe TX",35.22,-101.83,4.5,0,route,OPERATIONAL,0
ChIJ_route_7,"Home to Amarillo Livestock Auction #001 | origin: 7820 County Road 28, Briscoe TX 79011 | dist: 96.3mi | dur: 108min | route: TX-152 W to I-40 W | Stop at Briscoe Co-op if going this way.","Amarillo Livestock Auction, Amarillo TX",35.22,-101.83,4.5,0,route,OPERATIONAL,0
ChIJ_route_8,"Home to Clarendon Auto Parts #002 | origin: 7820 County Road 28, Briscoe TX 79011 | dist: 47.8mi | dur: 60min | route: SH-70 S | ","Clarendon Auto Parts, Clarendon TX",35.22,-101.83,4.5,0,route,OPERATIONAL,0
ChIJ_route_9,"Home to Groom Grain & Elevator #003 | origin: 7820 County Road 28, Briscoe TX 79011 | dist: 79.4mi | dur: 84min | route: US-60 W to I-40 W | Add 10 min for gooseneck loaded.","Groom Grain & Elevator, Groom TX",35.22,-101.83,4.5,0,route,OPERATIONAL,0
ChIJ_route_10,"Home to Amarillo Hydraulic and Diesel #004 | origin: 7820 County Road 28, Briscoe TX 79011 | dist: 95.2mi | dur: 101min | route: TX-152 W to I-40 W | Add 10 min for gooseneck loaded.","Amarillo Hydraulic and Diesel, Amarillo TX",35.22,-101.83,4.5,0,route,OPERATIONAL,0
ChIJ_route_11,"Home to Briscoe Co-op #005 | origin: 7820 County Road 28, Briscoe TX 79011 | dist: 3.9mi | dur: 5min | route: CR 28 to Main St | ","Briscoe Co-op, Briscoe TX",35.22,-101.83,4.5,0,route,OPERATIONAL,0
ChIJ_route_12,"Home to Pampa Diesel Injection #006 | origin: 7820 County Road 28, Briscoe TX 79011 | dist: 60.6mi | dur: 76min | route: US-60 W | Avoid FM 1046 after rain.","Pampa Diesel Injection, Pampa TX",35.22,-101.83,4.5,0,route,OPERATIONAL,0
ChIJ_route_13,"Home to Pampa Diesel Injection #007 | origin: 7820 County Road 28, Briscoe TX 79011 | dist: 60.7mi | dur: 70min | route: US-60 W | Stop at Briscoe Co-op if going this way.","Pampa Diesel Injection, Pampa TX",35.22,-101.83,4.5,0,route,OPERATIONAL,0
ChIJ_route_14,"Home to Tractor Supply Co. #008 | origin: 7820 County Road 28, Briscoe TX 79011 | dist: 60.8mi | dur: 70min | route: US-60 W | Watch for school buses on the CR.","Tractor Supply Co., Pampa TX",35.22,-101.83,4.5,0,route,OPERATIONAL,0
ChIJ_route_15,"Home to Silverton Fence & Supply #009 | origin: 7820 County Road 28, Briscoe TX 79011 | dist: 55.3mi | dur: 67min | route: SH-86 W to SH-207 S | Watch for school buses on the CR.","Silverton Fence & Supply, Silverton TX",35.22,-101.83,4.5,0,route,OPERATIONAL,0
ChIJ_route_16,"Home to Pampa Diesel Injection #010 | origin: 7820 County Road 28, Briscoe TX 79011 | dist: 61.0mi | dur: 73min | route: US-60 W | Stop at Briscoe Co-op if going this way.","Pampa Diesel Injection, Pampa TX",35.22,-101.83,4.5,0,route,OPERATIONAL,0
ChIJ_route_17,"Home to Briscoe Elementary #011 | origin: 7820 County Road 28, Briscoe TX 79011 | dist: 1.8mi | dur: 4min | route: CR 28 | Add 10 min for gooseneck loaded.","Briscoe Elementary, Briscoe TX",35.22,-101.83,4.5,0,route,OPERATIONAL,0
ChIJ_route_18,"Home to Pampa Diesel Injection #012 | origin: 7820 County Road 28, Briscoe TX 79011 | dist: 60.0mi | dur: 76min | route: US-60 W | ","Pampa Diesel Injection, Pampa TX",35.22,-101.83,4.5,0,route,OPERATIONAL,0
ChIJ_route_19,"Home to Panhandle Vet Supply #013 | origin: 7820 County Road 28, Briscoe TX 79011 | dist: 92.7mi | dur: 97min | route: TX-152 W to I-40 W | Avoid FM 1046 after rain.","Panhandle Vet Supply, Amarillo TX",35.22,-101.83,4.5,0,route,OPERATIONAL,0
ChIJ_route_20,"Home to Clarendon Auto Parts #014 | origin: 7820 County Road 28, Briscoe TX 79011 | dist: 49.1mi | dur: 57min | route: SH-70 S | ","Clarendon Auto Parts, Clarendon TX",35.22,-101.83,4.5,0,route,OPERATIONAL,0
