id,author_id,text,created_at,lang,reply_to_tweet_id,like_count,retweet_count,reply_count,quote_count
tw_001,tw_hari_jefferson,Tune in this Saturday noon-2PM on WDVI 1380 AM for Desi Vibes! Navratri special with Geeta Iyer from Edison Cultural Committee. #DesiVibes #EdisonNJ,2026-09-28T09:00:00-04:00,en,,18,5,1,0
tw_002,tw_hari_jefferson,Great turnout at yesterday's show! Thanks to everyone who called in about their favorite fall traditions. Next week: DIWALI SPECIAL!,2026-10-01T10:00:00-04:00,en,,12,3,1,0
tw_003,tw_hari_jefferson,Edison Township meeting tonight covered some important road improvement plans for Route 27. Good to see the community engaged.,2026-09-26T21:00:00-04:00,en,,22,8,1,0
tw_004,tw_hari_jefferson,"Customer Appreciation BBQ coming up! Free food, car care demos, and good vibes. Details on our Eventbrite page.",2026-09-20T12:00:00-04:00,en,,15,6,1,0
tw_005,tw_hari_jefferson,Nothing beats the sound of a freshly rebuilt L24 inline six. 240Z project update coming to YouTube soon.,2026-09-15T19:00:00-04:00,en,,35,12,1,0
tw_bg_000,tw_hari,Edison NJ's best kept secret for body work,2026-09-09T09:00:00-04:00,en,,52,13,8,2
tw_bg_001,tw_hari,240Z build coming along nicely,2026-02-16T09:00:00-04:00,en,,27,12,7,1
tw_bg_002,tw_hari,Tune in to Desi Vibes this Saturday,2026-09-14T09:00:00-04:00,en,,0,20,3,3
tw_bg_003,tw_hari,Tune in to Desi Vibes this Saturday,2026-01-25T09:00:00-04:00,en,,17,8,7,5
tw_bg_004,tw_hari,Edison NJ's best kept secret for body work,2026-02-12T09:00:00-04:00,en,,23,4,9,5
tw_bg_005,tw_hari,Another satisfied customer at Hari's Auto Body!,2026-08-26T09:00:00-04:00,en,,13,4,7,0
tw_bg_006,tw_hari,Paint matching is an art,2026-01-19T09:00:00-04:00,en,,44,9,4,4
tw_bg_007,tw_hari,Paint matching is an art,2026-05-22T09:00:00-04:00,en,,26,13,9,5
tw_bg_008,tw_hari,Another satisfied customer at Hari's Auto Body!,2026-03-02T09:00:00-04:00,en,,5,15,7,3
tw_bg_009,tw_hari,240Z build coming along nicely,2026-07-05T09:00:00-04:00,en,,47,14,6,3
tw_bg_010,tw_hari,Tune in to Desi Vibes this Saturday,2026-02-03T09:00:00-04:00,en,,7,11,7,2
tw_bg_011,tw_hari,Edison NJ's best kept secret for body work,2026-06-28T09:00:00-04:00,en,,73,7,0,3
tw_bg_012,tw_hari,Another satisfied customer at Hari's Auto Body!,2026-08-27T09:00:00-04:00,en,,68,14,10,4
tw_bg_013,tw_hari,Edison NJ's best kept secret for body work,2026-05-20T09:00:00-04:00,en,,43,7,4,2
tw_bg_014,tw_hari,Paint matching is an art,2026-02-07T09:00:00-04:00,en,,38,17,5,3
tw_bg_015,tw_hari,Paint matching is an art,2026-08-09T09:00:00-04:00,en,,39,6,3,3
tw_bg_016,tw_hari,Tune in to Desi Vibes this Saturday,2026-05-22T09:00:00-04:00,en,,10,16,0,3
tw_bg_017,tw_hari,240Z build coming along nicely,2026-01-24T09:00:00-04:00,en,,27,9,9,3
tw_bg_018,tw_hari,Paint matching is an art,2026-05-14T09:00:00-04:00,en,,70,4,5,3
tw_bg_019,tw_hari,Edison NJ's best kept secret for body work,2026-04-10T09:00:00-04:00,en,,55,11,1,0
tw_bg_020,tw_hari,Tune in to Desi Vibes this Saturday,2026-02-18T09:00:00-04:00,en,,28,2,1,0
tw_bg_021,tw_hari,Tune in to Desi Vibes this Saturday,2026-05-16T09:00:00-04:00,en,,8,4,2,1
tw_bg_022,tw_hari,Paint matching is an art,2026-09-17T09:00:00-04:00,en,,27,6,7,1
tw_bg_023,tw_hari,Edison NJ's best kept secret for body work,2026-05-16T09:00:00-04:00,en,,28,5,1,1
tw_bg_024,tw_hari,Paint matching is an art,2026-09-04T09:00:00-04:00,en,,70,1,5,0
tw_bg_025,tw_hari,240Z build coming along nicely,2026-07-15T09:00:00-04:00,en,,37,6,8,3
tw_bg_026,tw_hari,240Z build coming along nicely,2026-08-07T09:00:00-04:00,en,,8,15,2,0
tw_bg_027,tw_hari,Paint matching is an art,2026-03-05T09:00:00-04:00,en,,45,6,8,2
tw_bg_028,tw_hari,240Z build coming along nicely,2026-02-23T09:00:00-04:00,en,,63,12,3,0
tw_bg_029,tw_hari,Tune in to Desi Vibes this Saturday,2026-06-23T09:00:00-04:00,en,,6,15,3,0
tw_bg_030,tw_hari,Tune in to Desi Vibes this Saturday,2026-06-02T09:00:00-04:00,en,,45,8,1,0
tw_bg_031,tw_hari,240Z build coming along nicely,2026-05-27T09:00:00-04:00,en,,78,16,7,3
tw_bg_032,tw_hari,Paint matching is an art,2026-01-11T09:00:00-04:00,en,,46,1,0,3
tw_bg_033,tw_hari,Paint matching is an art,2026-08-18T09:00:00-04:00,en,,17,16,1,3
tw_bg_034,tw_hari,Tune in to Desi Vibes this Saturday,2026-06-01T09:00:00-04:00,en,,76,10,7,3
tw_bg_035,tw_hari,Another satisfied customer at Hari's Auto Body!,2026-07-02T09:00:00-04:00,en,,63,16,1,0
tw_bg_036,tw_hari,Paint matching is an art,2026-04-11T09:00:00-04:00,en,,31,14,10,3
tw_bg_037,tw_hari,240Z build coming along nicely,2026-06-15T09:00:00-04:00,en,,23,20,1,1
tw_bg_038,tw_hari,240Z build coming along nicely,2026-06-24T09:00:00-04:00,en,,65,10,8,3
tw_bg_039,tw_hari,Tune in to Desi Vibes this Saturday,2026-07-02T09:00:00-04:00,en,,57,13,9,2
tw_bg_040,tw_hari,Edison NJ's best kept secret for body work,2026-01-28T09:00:00-04:00,en,,70,14,9,4
tw_bg_041,tw_hari,Paint matching is an art,2026-09-26T09:00:00-04:00,en,,30,4,4,3
