id,name,city,state,country,postal_code,address,latitude,longitude
ven-001,Madison Arc Arena,New York,NY,US,10001,4 Pennsylvania Plaza,40.7505,-73.9934
ven-002,Golden Gate Pavilion,San Francisco,CA,US,94107,1 Warriors Way,37.7680,-122.3877
ven-003,Lakeshore Amphitheater,Chicago,IL,US,60605,1300 S Lake Shore Dr,41.8676,-87.6140
ven-004,Sunset Bowl Stadium,Los Angeles,CA,US,90012,1000 Elysian Park Ave,34.0739,-118.2400
ven-005,Riverside Theatre,Austin,TX,US,78701,310 W 2nd St,30.2640,-97.7490
ven-006,Harbor Jazz Club,Seattle,WA,US,98101,2033 6th Ave,47.6131,-122.3398
id-00007,Jade grove 7,Trier,open,570,1006,frost-7,51.3163,10.4790
id-00008,Frost violet 8,Kiel,pending,588,1007,iris-8,49.5028,14.3550
id-00009,Coral iris 9,Bonn,general,580,1008,delta-9,49.2999,14.9773
id-00010,Orbit violet 10,Emden,closed,317,1009,cedar-10,52.1594,13.8992
id-00011,Alpha umber 11,Bonn,general,307,1010,frost-11,47.4080,10.5407
id-00012,Kelp meadow 12,Flensburg,standard,7,1011,coral-12,50.8473,12.4729
id-00013,Umber summit 13,Mainz,general,651,1012,quartz-13,48.1860,8.4894
id-00014,Cedar orbit 14,Bremen,general,3,1013,ember-14,50.4292,14.9181
id-00015,Quartz delta 15,Mainz,general,764,1014,harbor-15,48.3831,9.7973
id-00016,Grove meadow 16,Flensburg,open,193,1015,coral-16,50.1461,9.3560
id-00017,Coral tidal 17,Bonn,open,296,1016,jade-17,48.9946,6.7517
id-00018,Coral cedar 18,Bremen,active,237,1017,jade-18,47.4929,6.9089
id-00019,Ember meadow 19,Mainz,pending,879,1018,willow-19,48.6716,9.6528
id-00020,Violet tidal 20,Trier,standard,196,1019,jade-20,50.7443,10.2425
id-00021,Violet tidal 21,Bremen,active,243,1020,harbor-21,51.2462,13.1939
id-00022,Delta haze 22,Mainz,standard,840,1021,grove-22,50.1202,14.8904
id-00023,Delta kelp 23,Lubeck,closed,273,1022,river-23,48.5954,11.4143
id-00024,Quartz haze 24,Jena,pending,566,1023,delta-24,53.8879,8.8309
id-00025,River alpha 25,Lubeck,closed,401,1024,cedar-25,47.5114,6.7349
id-00026,River violet 26,Emden,pending,355,1025,meadow-26,49.7809,11.8842
id-00027,Quartz haze 27,Fulda,standard,349,1026,jade-27,51.9936,8.2579
id-00028,Bravo quartz 28,Jena,pending,643,1027,umber-28,49.7553,11.4091
id-00029,Summit quartz 29,Jena,standard,592,1028,zephyr-29,48.4037,12.6050
id-00030,Ember grove 30,Lubeck,pending,796,1029,alpha-30,53.0262,8.1323
id-00031,Orbit alpha 31,Mainz,general,662,1030,harbor-31,48.2015,13.0428
id-00032,Quartz cedar 32,Mainz,standard,123,1031,coral-32,50.1622,8.5530
id-00033,Cedar meadow 33,Flensburg,open,99,1032,jade-33,54.4622,10.3395
id-00034,Bravo frost 34,Flensburg,standard,72,1033,bravo-34,50.5112,7.1539
id-00035,Bravo violet 35,Emden,open,312,1034,ember-35,52.4058,9.7739
id-00036,Tidal willow 36,Fulda,open,712,1035,orbit-36,52.1620,7.9183
id-00037,Umber cedar 37,Emden,pending,539,1036,coral-37,50.6493,10.9531
id-00038,Harbor ember 38,Trier,closed,81,1037,ember-38,52.0228,14.9681
id-00039,Bravo quartz 39,Fulda,open,437,1038,umber-39,52.4644,14.3056
id-00040,Ember coral 40,Flensburg,general,584,1039,orbit-40,48.2249,14.1501
id-00041,Willow bravo 41,Aachen,closed,532,1040,bravo-41,48.6995,6.0001
id-00042,Summit meadow 42,Fulda,standard,488,1041,pine-42,51.7816,6.7087
id-00043,Harbor jade 43,Kassel,general,101,1042,bravo-43,48.9110,7.8675
id-00044,Coral frost 44,Aachen,open,82,1043,tidal-44,53.7584,8.2358
id-00045,Zephyr zephyr 45,Bremen,general,177,1044,summit-45,52.2021,13.8753
id-00046,Haze harbor 46,Flensburg,general,14,1045,alpha-46,51.1639,6.2418
id-00047,Tidal iris 47,Emden,open,507,1046,quartz-47,51.1203,6.5937
id-00048,River harbor 48,Jena,general,421,1047,quartz-48,52.2246,9.5253
id-00049,Orbit alpha 49,Bonn,pending,610,1048,pine-49,52.0225,14.2642
id-00050,Grove summit 50,Aachen,open,890,1049,alpha-50,53.8529,14.2170
id-00051,Quartz quartz 51,Fulda,general,164,1050,violet-51,51.1710,13.8805
id-00052,Jade orbit 52,Trier,general,598,1051,orbit-52,49.7817,6.8525
id-00053,Summit coral 53,Fulda,open,82,1052,iris-53,53.5773,7.7463
id-00054,Jade bravo 54,Trier,general,297,1053,alpha-54,52.2124,9.6171
id-00055,Violet tidal 55,Jena,open,812,1054,grove-55,52.9756,12.5391
id-00056,Delta ember 56,Hamburg,active,591,1055,harbor-56,50.2660,12.4228
id-00057,Grove bravo 57,Hamburg,standard,217,1056,zephyr-57,47.8279,10.2534
id-00058,Violet river 58,Rostock,pending,399,1057,delta-58,49.8123,11.2965
id-00059,River iris 59,Jena,standard,889,1058,tidal-59,51.0574,7.7091
id-00060,Umber zephyr 60,Bremen,standard,537,1059,kelp-60,47.0869,11.5626
id-00061,River violet 61,Emden,closed,155,1060,iris-61,48.0382,11.5152
id-00062,Kelp violet 62,Flensburg,closed,475,1061,cedar-62,53.9272,9.4929
id-00063,Jade quartz 63,Emden,standard,568,1062,ember-63,50.0249,9.8329
id-00064,Cedar quartz 64,Jena,pending,560,1063,delta-64,51.5797,6.3270
id-00065,Willow umber 65,Aachen,standard,765,1064,willow-65,54.9707,7.2076
id-00066,Orbit bravo 66,Emden,pending,520,1065,coral-66,48.1666,12.6136
id-00067,Quartz violet 67,Aachen,active,142,1066,tidal-67,53.8984,6.7897
id-00068,Quartz pine 68,Rostock,closed,357,1067,alpha-68,52.9774,13.8601
id-00069,Tidal cedar 69,Fulda,closed,730,1068,jade-69,50.6409,7.2155
id-00070,Haze jade 70,Trier,closed,479,1069,iris-70,49.5492,13.9783
id-00071,Grove grove 71,Trier,general,90,1070,cedar-71,54.0879,10.2912
id-00072,Iris umber 72,Flensburg,closed,696,1071,coral-72,51.7053,6.4250
id-00073,Alpha harbor 73,Bremen,standard,45,1072,kelp-73,54.6594,10.3013
id-00074,Umber tidal 74,Flensburg,pending,785,1073,violet-74,47.5318,7.5828
id-00075,Haze umber 75,Trier,open,8,1074,haze-75,50.7576,13.8816
id-00076,Bravo umber 76,Rostock,pending,375,1075,frost-76,48.5016,12.8951
id-00077,Harbor ember 77,Kiel,open,256,1076,tidal-77,49.1588,11.6200
id-00078,Tidal pine 78,Trier,standard,57,1077,bravo-78,52.9062,6.2797
id-00079,Summit kelp 79,Kiel,general,107,1078,harbor-79,47.9936,7.6190
id-00080,Kelp pine 80,Jena,general,252,1079,meadow-80,52.9370,12.2453
id-00081,Alpha harbor 81,Rostock,general,287,1080,harbor-81,53.5162,9.9370
id-00082,Jade haze 82,Trier,open,602,1081,iris-82,52.5390,10.2716
id-00083,Jade violet 83,Jena,pending,105,1082,tidal-83,49.3118,14.9450
id-00084,Coral summit 84,Flensburg,closed,489,1083,jade-84,50.4769,12.9717
id-00085,Tidal grove 85,Kiel,active,111,1084,tidal-85,51.4068,8.8275
id-00086,Cedar coral 86,Jena,closed,866,1085,kelp-86,47.3980,7.8046
id-00087,Kelp jade 87,Fulda,standard,74,1086,haze-87,54.1896,6.3947
id-00088,Orbit pine 88,Flensburg,active,761,1087,frost-88,53.7962,10.4442
id-00089,Kelp kelp 89,Kassel,closed,751,1088,coral-89,51.3009,6.0804
id-00090,Kelp pine 90,Lubeck,standard,266,1089,cedar-90,47.2050,11.5318
id-00091,Violet tidal 91,Lubeck,general,593,1090,quartz-91,49.8272,12.1039
id-00092,Frost river 92,Flensburg,open,33,1091,tidal-92,47.8495,14.5478
id-00093,Cedar harbor 93,Emden,active,24,1092,umber-93,52.1194,8.0080
id-00094,Alpha cedar 94,Jena,closed,50,1093,zephyr-94,53.3877,7.1106
id-00095,Summit zephyr 95,Aachen,active,779,1094,jade-95,48.4066,7.5179
id-00096,River pine 96,Lubeck,general,801,1095,tidal-96,48.6123,6.9576
id-00097,Alpha iris 97,Bonn,active,304,1096,haze-97,53.3205,10.4971
id-00098,Quartz summit 98,Flensburg,active,804,1097,jade-98,50.4926,11.6793
id-00099,Pine bravo 99,Emden,pending,603,1098,tidal-99,54.3967,11.3123
id-00100,Jade iris 100,Emden,open,362,1099,iris-100,51.5003,6.7543
