id,author_id,text,created_at,lang,reply_to_tweet_id,like_count,retweet_count,reply_count,quote_count
twt_1,5120,Autumn light on the river,2026-04-25T00:00:00+00:00,en,,31,12,7,2
twt_2,5122,Long weekend plans,2026-09-29T00:00:00+00:00,en,,50,5,6,0
twt_3,5110,Bristol next month,2023-06-30T00:00:00+00:00,en,,15,6,5,3
twt_4,5118,Bike commute quiet morning,2024-04-29T00:00:00+00:00,en,,11,2,5,2
twt_5,5128,Autumn light on the river,2025-06-22T00:00:00+00:00,en,,16,17,5,3
twt_6,5114,Bristol next month,2025-09-30T00:00:00+00:00,en,,10,3,9,4
twt_7,5103,Book recommendation,2024-07-03T00:00:00+00:00,en,,20,6,1,4
twt_8,5109,Sunday reading day,2024-02-17T00:00:00+00:00,en,,26,9,4,4
twt_9,5116,Autumn light on the river,2024-04-03T00:00:00+00:00,en,,31,4,0,4
twt_10,5110,Long weekend plans,2025-02-21T00:00:00+00:00,en,,23,3,5,4
twt_11,5112,Long weekend plans,2023-05-03T00:00:00+00:00,en,,7,11,8,4
twt_12,5128,New running route,2026-04-19T00:00:00+00:00,en,,48,7,5,4
twt_13,5111,Podcast episode worth a listen,2026-03-20T00:00:00+00:00,en,,23,0,7,3
twt_14,5112,Kanelbullar day,2025-06-17T00:00:00+00:00,en,,58,18,0,2
twt_15,5125,Bristol next month,2026-08-02T00:00:00+00:00,en,,8,13,9,1
twt_16,5107,Long weekend plans,2024-03-12T00:00:00+00:00,en,,54,11,8,2
twt_17,5114,New running route,2025-10-05T00:00:00+00:00,en,,50,10,8,0
twt_18,5121,Kanelbullar day,2023-01-15T00:00:00+00:00,en,,7,14,2,4
twt_19,5113,Autumn light on the river,2023-08-09T00:00:00+00:00,en,,39,16,3,3
twt_20,5127,Sunday reading day,2025-07-01T00:00:00+00:00,en,,41,10,5,3
twt_21,5116,Sunday reading day,2024-11-08T00:00:00+00:00,en,,26,17,1,1
