campaign_id,emails_sent,opens_total,unique_opens,open_rate,clicks_total,unique_clicks,click_rate,unsubscribed,bounces
cmp_001,80,52,46,0.575,28,21,0.2625,1,0
cmp_002,80,42,38,0.475,18,14,0.175,0,1
cmp_0001,80,58,42,0.525,21,13,0.1625,0,2
cmp_0002,80,63,58,0.725,32,22,0.275,2,2
cmp_0003,80,43,42,0.525,33,25,0.3125,1,2
cmp_0004,80,54,47,0.588,28,25,0.3125,0,1
cmp_0005,80,68,55,0.688,38,26,0.325,2,2
cmp_0006,80,60,42,0.525,21,12,0.15,0,0
cmp_0007,80,38,34,0.425,21,18,0.225,1,1
cmp_0008,80,71,57,0.713,35,26,0.325,1,0
cmp_0009,80,54,52,0.65,24,19,0.2375,0,0
cmp_0010,80,59,48,0.6,28,23,0.2875,0,1
cmp_0011,80,66,59,0.738,35,26,0.325,1,0
cmp_0012,80,56,43,0.537,17,13,0.1625,1,1
cmp_0013,80,57,49,0.613,26,16,0.2,1,2
cmp_0014,80,59,39,0.487,27,23,0.2875,2,0
cmp_0015,80,63,56,0.7,28,24,0.3,0,1
cmp_0016,80,54,39,0.487,32,23,0.2875,0,1
cmp_0017,80,64,57,0.713,32,28,0.35,1,0
cmp_0018,80,51,49,0.613,29,25,0.3125,1,0
cmp_0019,80,48,41,0.512,15,10,0.125,2,2
cmp_0020,80,63,48,0.6,19,10,0.125,0,2
cmp_0021,80,49,33,0.412,12,9,0.1125,0,2
cmp_0022,80,56,42,0.525,19,14,0.175,1,1
cmp_0023,80,63,51,0.637,26,14,0.175,2,2
cmp_0024,80,46,36,0.45,10,10,0.125,2,1
cmp_0025,80,50,34,0.425,21,21,0.2625,0,1
cmp_0026,80,49,31,0.388,33,22,0.275,0,2
cmp_0027,80,51,46,0.575,18,10,0.125,2,2
cmp_0028,80,50,31,0.388,35,28,0.35,0,1
cmp_0029,80,42,30,0.375,24,16,0.2,2,2
cmp_0030,80,57,43,0.537,35,28,0.35,2,2
cmp_0031,80,41,36,0.45,24,16,0.2,2,0
cmp_0032,80,61,45,0.562,25,14,0.175,0,2
cmp_0033,80,42,36,0.45,21,10,0.125,0,1
cmp_0034,80,63,56,0.7,13,13,0.1625,0,2
cmp_0035,80,63,58,0.725,10,8,0.1,0,0
cmp_0036,80,63,53,0.662,27,19,0.2375,2,0
cmp_0037,80,40,30,0.375,20,18,0.225,2,2
cmp_0038,80,66,52,0.65,30,23,0.2875,0,1
cmp_0039,80,77,58,0.725,25,21,0.2625,0,1
cmp_0040,80,30,30,0.375,17,8,0.1,1,2
cmp_0041,80,43,42,0.525,22,18,0.225,2,0
cmp_0042,80,55,36,0.45,31,24,0.3,2,0
cmp_0043,80,54,47,0.588,23,13,0.1625,0,1
cmp_0044,80,54,37,0.463,17,17,0.2125,2,1
cmp_0045,80,56,53,0.662,26,17,0.2125,2,2
cmp_0046,80,70,59,0.738,19,11,0.1375,2,1
cmp_0047,80,51,47,0.588,28,21,0.2625,2,0
cmp_0048,80,55,52,0.65,26,22,0.275,0,0
cmp_0049,80,72,60,0.75,17,17,0.2125,1,0
cmp_0050,80,62,49,0.613,28,21,0.2625,1,2
cmp_0051,80,60,52,0.65,36,25,0.3125,1,2
cmp_0052,80,67,50,0.625,29,24,0.3,2,2
cmp_0053,80,48,45,0.562,26,16,0.2,2,0
cmp_0054,80,52,47,0.588,15,10,0.125,1,0
cmp_0055,80,67,48,0.6,13,9,0.1125,0,2
cmp_0056,80,62,54,0.675,38,28,0.35,2,1
cmp_0057,80,40,40,0.5,16,14,0.175,1,2
cmp_0058,80,65,59,0.738,22,17,0.2125,2,1
cmp_0059,80,62,58,0.725,35,27,0.3375,2,1
cmp_0060,80,60,50,0.625,25,18,0.225,0,1
cmp_0061,80,43,31,0.388,26,24,0.3,2,1
cmp_0062,80,76,60,0.75,14,12,0.15,0,2
cmp_0063,80,59,40,0.5,28,19,0.2375,0,1
cmp_0064,80,55,35,0.438,27,22,0.275,0,2
cmp_0065,80,74,59,0.738,13,11,0.1375,0,2
cmp_0066,80,42,33,0.412,29,21,0.2625,0,2
cmp_0067,80,70,57,0.713,23,13,0.1625,0,2
cmp_0068,80,75,60,0.75,24,21,0.2625,0,2
cmp_0069,80,55,39,0.487,22,11,0.1375,2,1
cmp_0070,80,55,43,0.537,31,19,0.2375,2,2
cmp_0071,80,51,38,0.475,13,10,0.125,0,1
cmp_0072,80,68,52,0.65,26,23,0.2875,1,2
cmp_0073,80,44,43,0.537,31,21,0.2625,2,2
cmp_0074,80,71,59,0.738,23,16,0.2,1,1
cmp_0075,80,71,59,0.738,18,10,0.125,0,2
cmp_0076,80,52,47,0.588,17,16,0.2,0,2
cmp_0077,80,74,59,0.738,31,22,0.275,2,2
cmp_0078,80,60,42,0.525,20,11,0.1375,0,1
cmp_0079,80,43,42,0.525,29,23,0.2875,2,2
cmp_0080,80,71,53,0.662,15,11,0.1375,1,0
cmp_0081,80,78,59,0.738,24,20,0.25,2,2
cmp_0082,80,59,51,0.637,23,22,0.275,1,2
cmp_0083,80,50,41,0.512,29,19,0.2375,1,1
cmp_0084,80,55,41,0.512,30,27,0.3375,2,1
cmp_0085,80,59,45,0.562,12,8,0.1,0,1
cmp_0086,80,57,56,0.7,34,27,0.3375,0,2
cmp_0087,80,50,34,0.425,32,27,0.3375,2,2
cmp_0088,80,57,48,0.6,26,14,0.175,0,0
cmp_0089,80,45,45,0.562,35,28,0.35,0,0
cmp_0090,80,38,33,0.412,33,21,0.2625,0,2
cmp_0091,80,53,38,0.475,19,9,0.1125,0,2
cmp_0092,80,63,55,0.688,20,17,0.2125,0,2
cmp_0093,80,47,35,0.438,12,10,0.125,2,1
cmp_0094,80,57,55,0.688,24,20,0.25,0,2
cmp_0095,80,50,30,0.375,25,21,0.2625,0,1
cmp_0096,80,42,32,0.4,20,8,0.1,2,1
cmp_0097,80,72,54,0.675,29,27,0.3375,1,2
cmp_0098,80,48,44,0.55,26,17,0.2125,0,2
cmp_0099,80,70,54,0.675,14,10,0.125,0,2
cmp_0100,80,48,32,0.4,17,13,0.1625,0,2
cmp_0101,80,69,49,0.613,18,15,0.1875,0,2
cmp_0102,80,45,39,0.487,17,13,0.1625,1,2
cmp_0103,80,58,55,0.688,17,9,0.1125,2,0
