incident_id,incident_number,title,status,urgency,service_id,escalation_policy_id,assigned_to,created_at,resolved_at
PD-INC-1042,1042,Playtest server CPU spike during EU-timezone session,resolved,low,PS-LANTERN,EP-LANTERN,aaron.delgado,2026-09-18T03:14:00-07:00,2026-09-18T03:44:00-07:00
PD-INC-1043,1043,Momentary DNS resolution slowdown,resolved,low,PS-CEDAR,EP-CEDAR,aaron.delgado,2026-09-24T02:57:00-07:00,2026-09-24T03:27:00-07:00
PD-INC-1044,1044,Out-of-memory crash on Chamber 3 build,resolved,high,PS-LANTERN,EP-LANTERN,aaron.delgado,2026-10-01T04:22:00-07:00,2026-10-01T04:52:00-07:00
PD-INC-02003,2003,DNS resolution slow #3,triggered,high,PS-HOMELAB,EP-PERSONAL,aaron.delgado,2025-03-15T08:41:00-07:00,
PD-INC-02004,2004,Response time spike #4,triggered,low,PS-LANTERN,EP-LANTERN,aaron.delgado,2025-09-06T16:49:00-07:00,
PD-INC-02005,2005,SSL cert expiry warning #5,triggered,high,PS-CUTTING,EP-CEDAR,aaron.delgado,2025-07-11T20:01:00-07:00,
PD-INC-02006,2006,CPU spike #6,acknowledged,high,PS-CEDAR,EP-CEDAR,aaron.delgado,2025-01-06T10:01:00-07:00,
PD-INC-02007,2007,Etsy shop downtime alert #7,acknowledged,high,PS-CUTTING,EP-CEDAR,aaron.delgado,2026-02-10T08:32:00-07:00,
PD-INC-02008,2008,CPU spike #8,resolved,high,PS-CEDAR,EP-CEDAR,aaron.delgado,2024-12-07T16:30:00-07:00,2024-12-07T17:00:00-07:00
PD-INC-02009,2009,SSL cert expiry warning #9,acknowledged,high,PS-CEDAR,EP-CEDAR,aaron.delgado,2024-06-08T14:44:00-07:00,
PD-INC-02010,2010,Response time spike #10,acknowledged,low,PS-HOMELAB,EP-PERSONAL,aaron.delgado,2024-12-07T10:12:00-07:00,
PD-INC-02011,2011,Etsy shop downtime alert #11,resolved,high,PS-CEDAR,EP-CEDAR,aaron.delgado,2024-09-20T10:27:00-07:00,2024-09-20T10:57:00-07:00
PD-INC-02012,2012,Etsy shop downtime alert #12,resolved,high,PS-CUTTING,EP-CEDAR,aaron.delgado,2024-01-27T18:43:00-07:00,2024-01-27T19:13:00-07:00
PD-INC-02013,2013,CPU spike #13,resolved,high,PS-LANTERN,EP-LANTERN,aaron.delgado,2024-02-13T09:24:00-07:00,2024-02-13T09:54:00-07:00
PD-INC-02014,2014,CPU spike #14,acknowledged,high,PS-HOMELAB,EP-PERSONAL,aaron.delgado,2024-02-06T13:05:00-07:00,
PD-INC-02015,2015,SSL cert expiry warning #15,resolved,high,PS-LANTERN,EP-LANTERN,aaron.delgado,2025-01-19T18:38:00-07:00,2025-01-19T19:08:00-07:00
PD-INC-02016,2016,DNS resolution slow #16,triggered,low,PS-HOMELAB,EP-PERSONAL,aaron.delgado,2024-06-20T13:52:00-07:00,
PD-INC-02017,2017,Playtester session drop #17,resolved,low,PS-LANTERN,EP-LANTERN,aaron.delgado,2026-04-30T19:26:00-07:00,2026-04-30T19:56:00-07:00
PD-INC-02018,2018,Etsy shop downtime alert #18,triggered,low,PS-CEDAR,EP-CEDAR,aaron.delgado,2026-10-03T11:01:00-07:00,
PD-INC-02019,2019,5xx error rate #19,triggered,low,PS-LANTERN,EP-LANTERN,aaron.delgado,2026-05-26T08:30:00-07:00,
PD-INC-02020,2020,DNS resolution slow #20,resolved,high,PS-CEDAR,EP-CEDAR,aaron.delgado,2026-01-15T11:38:00-07:00,2026-01-15T12:08:00-07:00
PD-INC-02021,2021,5xx error rate #21,triggered,low,PS-HOMELAB,EP-PERSONAL,aaron.delgado,2025-02-21T20:58:00-07:00,
PD-INC-02022,2022,CPU spike #22,resolved,high,PS-HOMELAB,EP-PERSONAL,aaron.delgado,2026-07-14T13:34:00-07:00,2026-07-14T14:04:00-07:00
PD-INC-02023,2023,Response time spike #23,resolved,low,PS-LANTERN,EP-LANTERN,aaron.delgado,2026-05-03T18:56:00-07:00,2026-05-03T19:26:00-07:00
PD-INC-02024,2024,Auth service timeout #24,resolved,low,PS-CEDAR,EP-CEDAR,aaron.delgado,2025-12-10T19:23:00-07:00,2025-12-10T19:53:00-07:00
PD-INC-02025,2025,5xx error rate #25,resolved,high,PS-CEDAR,EP-CEDAR,aaron.delgado,2024-09-30T13:13:00-07:00,2024-09-30T13:43:00-07:00
PD-INC-02026,2026,CPU spike #26,triggered,low,PS-CUTTING,EP-CEDAR,aaron.delgado,2025-11-30T19:07:00-07:00,
PD-INC-02027,2027,OOM crash #27,resolved,high,PS-LANTERN,EP-LANTERN,aaron.delgado,2024-01-25T17:17:00-07:00,2024-01-25T17:47:00-07:00
PD-INC-02028,2028,Etsy shop downtime alert #28,triggered,high,PS-LANTERN,EP-LANTERN,aaron.delgado,2025-08-23T17:41:00-07:00,
PD-INC-02029,2029,Auth service timeout #29,acknowledged,low,PS-CUTTING,EP-CEDAR,aaron.delgado,2026-09-29T13:22:00-07:00,
PD-INC-02030,2030,Response time spike #30,resolved,high,PS-CUTTING,EP-CEDAR,aaron.delgado,2026-08-19T13:04:00-07:00,2026-08-19T13:34:00-07:00
PD-INC-02031,2031,Auth service timeout #31,resolved,low,PS-LANTERN,EP-LANTERN,aaron.delgado,2025-04-29T19:30:00-07:00,2025-04-29T20:00:00-07:00
PD-INC-02032,2032,OOM crash #32,acknowledged,high,PS-HOMELAB,EP-PERSONAL,aaron.delgado,2024-09-30T13:24:00-07:00,
PD-INC-02033,2033,Disk full #33,triggered,low,PS-CUTTING,EP-CEDAR,aaron.delgado,2026-04-16T17:00:00-07:00,
PD-INC-02034,2034,Etsy shop downtime alert #34,acknowledged,high,PS-HOMELAB,EP-PERSONAL,aaron.delgado,2025-09-03T08:16:00-07:00,
PD-INC-02035,2035,SSL cert expiry warning #35,resolved,high,PS-CEDAR,EP-CEDAR,aaron.delgado,2025-10-12T14:53:00-07:00,2025-10-12T15:23:00-07:00
PD-INC-02036,2036,Etsy shop downtime alert #36,resolved,high,PS-CEDAR,EP-CEDAR,aaron.delgado,2025-11-22T09:18:00-07:00,2025-11-22T09:48:00-07:00
PD-INC-02037,2037,Disk full #37,triggered,high,PS-LANTERN,EP-LANTERN,aaron.delgado,2025-03-21T19:35:00-07:00,
PD-INC-02038,2038,SSL cert expiry warning #38,triggered,low,PS-CEDAR,EP-CEDAR,aaron.delgado,2026-04-30T11:35:00-07:00,
PD-INC-02039,2039,Etsy shop downtime alert #39,resolved,low,PS-LANTERN,EP-LANTERN,aaron.delgado,2025-02-21T18:43:00-07:00,2025-02-21T19:13:00-07:00
PD-INC-02040,2040,Response time spike #40,triggered,low,PS-LANTERN,EP-LANTERN,aaron.delgado,2026-07-17T16:03:00-07:00,
PD-INC-02041,2041,Playtester session drop #41,resolved,low,PS-LANTERN,EP-LANTERN,aaron.delgado,2024-09-08T13:08:00-07:00,2024-09-08T13:38:00-07:00
PD-INC-02042,2042,Playtester session drop #42,resolved,low,PS-LANTERN,EP-LANTERN,aaron.delgado,2026-03-01T12:10:00-07:00,2026-03-01T12:40:00-07:00
PD-INC-02043,2043,Etsy shop downtime alert #43,resolved,high,PS-CUTTING,EP-CEDAR,aaron.delgado,2025-02-27T16:05:00-07:00,2025-02-27T16:35:00-07:00
PD-INC-02044,2044,Cache eviction spike #44,resolved,low,PS-LANTERN,EP-LANTERN,aaron.delgado,2024-04-17T17:22:00-07:00,2024-04-17T17:52:00-07:00
PD-INC-02045,2045,Response time spike #45,resolved,high,PS-LANTERN,EP-LANTERN,aaron.delgado,2025-07-21T12:21:00-07:00,2025-07-21T12:51:00-07:00
PD-INC-02046,2046,Auth service timeout #46,triggered,high,PS-HOMELAB,EP-PERSONAL,aaron.delgado,2024-06-25T13:00:00-07:00,
PD-INC-02047,2047,OOM crash #47,acknowledged,high,PS-CUTTING,EP-CEDAR,aaron.delgado,2026-10-11T10:05:00-07:00,
PD-INC-02048,2048,Disk full #48,resolved,high,PS-CUTTING,EP-CEDAR,aaron.delgado,2024-09-26T08:04:00-07:00,2024-09-26T08:34:00-07:00
PD-INC-02049,2049,Response time spike #49,acknowledged,high,PS-HOMELAB,EP-PERSONAL,aaron.delgado,2025-02-23T14:03:00-07:00,
PD-INC-02050,2050,SSL cert expiry warning #50,resolved,low,PS-HOMELAB,EP-PERSONAL,aaron.delgado,2026-05-02T16:11:00-07:00,2026-05-02T16:41:00-07:00
PD-INC-02051,2051,5xx error rate #51,resolved,high,PS-CEDAR,EP-CEDAR,aaron.delgado,2026-04-21T18:42:00-07:00,2026-04-21T19:12:00-07:00
PD-INC-02052,2052,Cache eviction spike #52,acknowledged,low,PS-CEDAR,EP-CEDAR,aaron.delgado,2025-06-17T16:18:00-07:00,
PD-INC-02053,2053,OOM crash #53,acknowledged,high,PS-CEDAR,EP-CEDAR,aaron.delgado,2024-01-12T09:50:00-07:00,
PD-INC-02054,2054,Cache eviction spike #54,triggered,low,PS-CEDAR,EP-CEDAR,aaron.delgado,2025-09-18T09:23:00-07:00,
PD-INC-02055,2055,Response time spike #55,resolved,high,PS-CUTTING,EP-CEDAR,aaron.delgado,2025-12-05T11:10:00-07:00,2025-12-05T11:40:00-07:00
PD-INC-02056,2056,Disk full #56,triggered,low,PS-CUTTING,EP-CEDAR,aaron.delgado,2024-05-30T17:25:00-07:00,
PD-INC-02057,2057,DNS resolution slow #57,resolved,low,PS-CEDAR,EP-CEDAR,aaron.delgado,2024-04-01T11:25:00-07:00,2024-04-01T11:55:00-07:00
PD-INC-02058,2058,Disk full #58,resolved,high,PS-CEDAR,EP-CEDAR,aaron.delgado,2024-11-18T08:20:00-07:00,2024-11-18T08:50:00-07:00
PD-INC-02059,2059,Cache eviction spike #59,resolved,low,PS-LANTERN,EP-LANTERN,aaron.delgado,2024-07-31T10:46:00-07:00,2024-07-31T11:16:00-07:00
PD-INC-02060,2060,Disk full #60,resolved,high,PS-HOMELAB,EP-PERSONAL,aaron.delgado,2026-08-12T18:38:00-07:00,2026-08-12T19:08:00-07:00
PD-INC-02061,2061,DNS resolution slow #61,acknowledged,low,PS-CUTTING,EP-CEDAR,aaron.delgado,2026-04-09T08:20:00-07:00,
PD-INC-02062,2062,Disk full #62,resolved,low,PS-CEDAR,EP-CEDAR,aaron.delgado,2025-05-13T20:02:00-07:00,2025-05-13T20:32:00-07:00
PD-INC-02063,2063,Etsy shop downtime alert #63,triggered,low,PS-HOMELAB,EP-PERSONAL,aaron.delgado,2025-12-17T15:20:00-07:00,
PD-INC-02064,2064,OOM crash #64,triggered,high,PS-CEDAR,EP-CEDAR,aaron.delgado,2025-01-31T12:58:00-07:00,
PD-INC-02065,2065,OOM crash #65,triggered,low,PS-CEDAR,EP-CEDAR,aaron.delgado,2024-02-26T15:05:00-07:00,
PD-INC-02066,2066,SSL cert expiry warning #66,resolved,high,PS-CUTTING,EP-CEDAR,aaron.delgado,2024-06-25T09:28:00-07:00,2024-06-25T09:58:00-07:00
PD-INC-02067,2067,Playtester session drop #67,resolved,low,PS-CEDAR,EP-CEDAR,aaron.delgado,2025-02-28T18:47:00-07:00,2025-02-28T19:17:00-07:00
PD-INC-02068,2068,SSL cert expiry warning #68,resolved,high,PS-CEDAR,EP-CEDAR,aaron.delgado,2026-04-08T18:12:00-07:00,2026-04-08T18:42:00-07:00
PD-INC-02069,2069,CPU spike #69,acknowledged,high,PS-CEDAR,EP-CEDAR,aaron.delgado,2025-01-31T09:33:00-07:00,
PD-INC-02070,2070,CPU spike #70,resolved,low,PS-CEDAR,EP-CEDAR,aaron.delgado,2026-08-12T12:40:00-07:00,2026-08-12T13:10:00-07:00
PD-INC-02071,2071,Cache eviction spike #71,acknowledged,high,PS-LANTERN,EP-LANTERN,aaron.delgado,2024-05-04T18:39:00-07:00,
PD-INC-02072,2072,Disk full #72,resolved,high,PS-CUTTING,EP-CEDAR,aaron.delgado,2024-11-18T08:22:00-07:00,2024-11-18T08:52:00-07:00
PD-INC-02073,2073,DNS resolution slow #73,acknowledged,low,PS-LANTERN,EP-LANTERN,aaron.delgado,2026-01-19T08:25:00-07:00,
PD-INC-02074,2074,Response time spike #74,resolved,high,PS-HOMELAB,EP-PERSONAL,aaron.delgado,2024-03-01T11:10:00-07:00,2024-03-01T11:40:00-07:00
PD-INC-02075,2075,Response time spike #75,triggered,low,PS-CUTTING,EP-CEDAR,aaron.delgado,2026-02-07T15:35:00-07:00,
PD-INC-02076,2076,SSL cert expiry warning #76,resolved,low,PS-CEDAR,EP-CEDAR,aaron.delgado,2025-03-09T20:54:00-07:00,2025-03-09T21:24:00-07:00
PD-INC-02077,2077,Playtester session drop #77,acknowledged,low,PS-LANTERN,EP-LANTERN,aaron.delgado,2025-12-14T08:42:00-07:00,
PD-INC-02078,2078,Etsy shop downtime alert #78,triggered,low,PS-CEDAR,EP-CEDAR,aaron.delgado,2024-10-05T17:02:00-07:00,
PD-INC-02079,2079,DNS resolution slow #79,acknowledged,low,PS-CEDAR,EP-CEDAR,aaron.delgado,2025-04-25T19:10:00-07:00,
PD-INC-02080,2080,Auth service timeout #80,resolved,low,PS-CUTTING,EP-CEDAR,aaron.delgado,2025-10-25T13:19:00-07:00,2025-10-25T13:49:00-07:00
PD-INC-02081,2081,Etsy shop downtime alert #81,resolved,low,PS-CEDAR,EP-CEDAR,aaron.delgado,2025-08-07T19:18:00-07:00,2025-08-07T19:48:00-07:00
PD-INC-02082,2082,Disk full #82,acknowledged,low,PS-LANTERN,EP-LANTERN,aaron.delgado,2024-12-30T09:35:00-07:00,
PD-INC-02083,2083,Cache eviction spike #83,resolved,high,PS-HOMELAB,EP-PERSONAL,aaron.delgado,2024-01-20T20:47:00-07:00,2024-01-20T21:17:00-07:00
PD-INC-02084,2084,Response time spike #84,acknowledged,low,PS-LANTERN,EP-LANTERN,aaron.delgado,2024-08-24T14:25:00-07:00,
PD-INC-02085,2085,SSL cert expiry warning #85,acknowledged,low,PS-CUTTING,EP-CEDAR,aaron.delgado,2026-06-13T15:59:00-07:00,
PD-INC-02086,2086,Response time spike #86,acknowledged,high,PS-CEDAR,EP-CEDAR,aaron.delgado,2024-08-05T20:10:00-07:00,
PD-INC-02087,2087,DNS resolution slow #87,resolved,low,PS-HOMELAB,EP-PERSONAL,aaron.delgado,2025-04-30T19:43:00-07:00,2025-04-30T20:13:00-07:00
PD-INC-02088,2088,Auth service timeout #88,acknowledged,low,PS-CUTTING,EP-CEDAR,aaron.delgado,2024-08-10T20:36:00-07:00,
PD-INC-02089,2089,CPU spike #89,triggered,low,PS-CEDAR,EP-CEDAR,aaron.delgado,2025-06-20T16:27:00-07:00,
PD-INC-02090,2090,Cache eviction spike #90,triggered,high,PS-CEDAR,EP-CEDAR,aaron.delgado,2024-09-04T15:02:00-07:00,
