Id,Name,Industry,AnnualRevenue,Phone,Website,BillingCity,BillingState,NumberOfEmployees
salesforce_accounts_1000,Salesforce item 0,Industry_0,AnnualRevenue_0,Phone_0,Website_0,BillingCity_0,closed,NumberOfEmployees_0
salesforce_accounts_1001,Salesforce item 1,Industry_1,AnnualRevenue_1,Phone_1,Website_1,BillingCity_1,active,NumberOfEmployees_1
salesforce_accounts_1002,Salesforce item 2,Industry_2,AnnualRevenue_2,Phone_2,Website_2,BillingCity_2,done,NumberOfEmployees_2
salesforce_accounts_1003,Salesforce item 3,Industry_3,AnnualRevenue_3,Phone_3,Website_3,BillingCity_3,active,NumberOfEmployees_3
salesforce_accounts_1004,Salesforce item 4,Industry_4,AnnualRevenue_4,Phone_4,Website_4,BillingCity_4,active,NumberOfEmployees_4
salesforce_accounts_1005,Salesforce item 5,Industry_5,AnnualRevenue_5,Phone_5,Website_5,BillingCity_5,closed,NumberOfEmployees_5
salesforce_accounts_1006,Salesforce item 6,Industry_6,AnnualRevenue_6,Phone_6,Website_6,BillingCity_6,closed,NumberOfEmployees_6
salesforce_accounts_1007,Salesforce item 7,Industry_7,AnnualRevenue_7,Phone_7,Website_7,BillingCity_7,closed,NumberOfEmployees_7
salesforce_accounts_1008,Salesforce item 8,Industry_8,AnnualRevenue_8,Phone_8,Website_8,BillingCity_8,closed,NumberOfEmployees_8
salesforce_accounts_1009,Salesforce item 9,Industry_9,AnnualRevenue_9,Phone_9,Website_9,BillingCity_9,closed,NumberOfEmployees_9
salesforce_accounts_1010,Salesforce item 10,Industry_10,AnnualRevenue_10,Phone_10,Website_10,BillingCity_10,closed,NumberOfEmployees_10
salesforce_accounts_1011,Salesforce item 11,Industry_11,AnnualRevenue_11,Phone_11,Website_11,BillingCity_11,done,NumberOfEmployees_11
salesforce_accounts_1012,Salesforce item 12,Industry_12,AnnualRevenue_12,Phone_12,Website_12,BillingCity_12,done,NumberOfEmployees_12
salesforce_accounts_1013,Salesforce item 13,Industry_13,AnnualRevenue_13,Phone_13,Website_13,BillingCity_13,done,NumberOfEmployees_13
salesforce_accounts_1014,Salesforce item 14,Industry_14,AnnualRevenue_14,Phone_14,Website_14,BillingCity_14,done,NumberOfEmployees_14
salesforce_accounts_1015,Salesforce item 15,Industry_15,AnnualRevenue_15,Phone_15,Website_15,BillingCity_15,active,NumberOfEmployees_15
salesforce_accounts_1016,Salesforce item 16,Industry_16,AnnualRevenue_16,Phone_16,Website_16,BillingCity_16,open,NumberOfEmployees_16
salesforce_accounts_1017,Salesforce item 17,Industry_17,AnnualRevenue_17,Phone_17,Website_17,BillingCity_17,closed,NumberOfEmployees_17
salesforce_accounts_1018,Salesforce item 18,Industry_18,AnnualRevenue_18,Phone_18,Website_18,BillingCity_18,open,NumberOfEmployees_18
salesforce_accounts_1019,Salesforce item 19,Industry_19,AnnualRevenue_19,Phone_19,Website_19,BillingCity_19,closed,NumberOfEmployees_19
salesforce_accounts_1020,Salesforce item 20,Industry_20,AnnualRevenue_20,Phone_20,Website_20,BillingCity_20,done,NumberOfEmployees_20
salesforce_accounts_1021,Salesforce item 21,Industry_21,AnnualRevenue_21,Phone_21,Website_21,BillingCity_21,done,NumberOfEmployees_21
salesforce_accounts_1022,Salesforce item 22,Industry_22,AnnualRevenue_22,Phone_22,Website_22,BillingCity_22,closed,NumberOfEmployees_22
salesforce_accounts_1023,Salesforce item 23,Industry_23,AnnualRevenue_23,Phone_23,Website_23,BillingCity_23,active,NumberOfEmployees_23
salesforce_accounts_1024,Salesforce item 24,Industry_24,AnnualRevenue_24,Phone_24,Website_24,BillingCity_24,done,NumberOfEmployees_24
salesforce_accounts_1025,Salesforce item 25,Industry_25,AnnualRevenue_25,Phone_25,Website_25,BillingCity_25,closed,NumberOfEmployees_25
salesforce_accounts_1026,Salesforce item 26,Industry_26,AnnualRevenue_26,Phone_26,Website_26,BillingCity_26,done,NumberOfEmployees_26
salesforce_accounts_1027,Salesforce item 27,Industry_27,AnnualRevenue_27,Phone_27,Website_27,BillingCity_27,closed,NumberOfEmployees_27
salesforce_accounts_1028,Salesforce item 28,Industry_28,AnnualRevenue_28,Phone_28,Website_28,BillingCity_28,open,NumberOfEmployees_28
salesforce_accounts_1029,Salesforce item 29,Industry_29,AnnualRevenue_29,Phone_29,Website_29,BillingCity_29,closed,NumberOfEmployees_29
salesforce_accounts_1030,Salesforce item 30,Industry_30,AnnualRevenue_30,Phone_30,Website_30,BillingCity_30,closed,NumberOfEmployees_30
salesforce_accounts_1031,Salesforce item 31,Industry_31,AnnualRevenue_31,Phone_31,Website_31,BillingCity_31,open,NumberOfEmployees_31
salesforce_accounts_1032,Salesforce item 32,Industry_32,AnnualRevenue_32,Phone_32,Website_32,BillingCity_32,open,NumberOfEmployees_32
salesforce_accounts_1033,Salesforce item 33,Industry_33,AnnualRevenue_33,Phone_33,Website_33,BillingCity_33,closed,NumberOfEmployees_33
salesforce_accounts_1034,Salesforce item 34,Industry_34,AnnualRevenue_34,Phone_34,Website_34,BillingCity_34,done,NumberOfEmployees_34
salesforce_accounts_1035,Salesforce item 35,Industry_35,AnnualRevenue_35,Phone_35,Website_35,BillingCity_35,done,NumberOfEmployees_35
salesforce_accounts_1036,Salesforce item 36,Industry_36,AnnualRevenue_36,Phone_36,Website_36,BillingCity_36,active,NumberOfEmployees_36
salesforce_accounts_1037,Salesforce item 37,Industry_37,AnnualRevenue_37,Phone_37,Website_37,BillingCity_37,closed,NumberOfEmployees_37
salesforce_accounts_1038,Salesforce item 38,Industry_38,AnnualRevenue_38,Phone_38,Website_38,BillingCity_38,done,NumberOfEmployees_38
salesforce_accounts_1039,Salesforce item 39,Industry_39,AnnualRevenue_39,Phone_39,Website_39,BillingCity_39,closed,NumberOfEmployees_39
salesforce_accounts_1040,Salesforce item 40,Industry_40,AnnualRevenue_40,Phone_40,Website_40,BillingCity_40,closed,NumberOfEmployees_40
salesforce_accounts_1041,Salesforce item 41,Industry_41,AnnualRevenue_41,Phone_41,Website_41,BillingCity_41,open,NumberOfEmployees_41
salesforce_accounts_1042,Salesforce item 42,Industry_42,AnnualRevenue_42,Phone_42,Website_42,BillingCity_42,done,NumberOfEmployees_42
salesforce_accounts_1043,Salesforce item 43,Industry_43,AnnualRevenue_43,Phone_43,Website_43,BillingCity_43,active,NumberOfEmployees_43
salesforce_accounts_1044,Salesforce item 44,Industry_44,AnnualRevenue_44,Phone_44,Website_44,BillingCity_44,open,NumberOfEmployees_44
salesforce_accounts_1045,Salesforce item 45,Industry_45,AnnualRevenue_45,Phone_45,Website_45,BillingCity_45,active,NumberOfEmployees_45
salesforce_accounts_1046,Salesforce item 46,Industry_46,AnnualRevenue_46,Phone_46,Website_46,BillingCity_46,done,NumberOfEmployees_46
salesforce_accounts_1047,Salesforce item 47,Industry_47,AnnualRevenue_47,Phone_47,Website_47,BillingCity_47,done,NumberOfEmployees_47
salesforce_accounts_1048,Salesforce item 48,Industry_48,AnnualRevenue_48,Phone_48,Website_48,BillingCity_48,done,NumberOfEmployees_48
salesforce_accounts_1049,Salesforce item 49,Industry_49,AnnualRevenue_49,Phone_49,Website_49,BillingCity_49,active,NumberOfEmployees_49
salesforce_accounts_1050,Salesforce item 50,Industry_50,AnnualRevenue_50,Phone_50,Website_50,BillingCity_50,closed,NumberOfEmployees_50
salesforce_accounts_1051,Salesforce item 51,Industry_51,AnnualRevenue_51,Phone_51,Website_51,BillingCity_51,open,NumberOfEmployees_51
salesforce_accounts_1052,Salesforce item 52,Industry_52,AnnualRevenue_52,Phone_52,Website_52,BillingCity_52,open,NumberOfEmployees_52
salesforce_accounts_1053,Salesforce item 53,Industry_53,AnnualRevenue_53,Phone_53,Website_53,BillingCity_53,done,NumberOfEmployees_53
salesforce_accounts_1054,Salesforce item 54,Industry_54,AnnualRevenue_54,Phone_54,Website_54,BillingCity_54,closed,NumberOfEmployees_54
salesforce_accounts_1055,Salesforce item 55,Industry_55,AnnualRevenue_55,Phone_55,Website_55,BillingCity_55,closed,NumberOfEmployees_55
salesforce_accounts_1056,Salesforce item 56,Industry_56,AnnualRevenue_56,Phone_56,Website_56,BillingCity_56,active,NumberOfEmployees_56
salesforce_accounts_1057,Salesforce item 57,Industry_57,AnnualRevenue_57,Phone_57,Website_57,BillingCity_57,active,NumberOfEmployees_57
salesforce_accounts_1058,Salesforce item 58,Industry_58,AnnualRevenue_58,Phone_58,Website_58,BillingCity_58,open,NumberOfEmployees_58
salesforce_accounts_1059,Salesforce item 59,Industry_59,AnnualRevenue_59,Phone_59,Website_59,BillingCity_59,done,NumberOfEmployees_59
salesforce_accounts_1060,Salesforce item 60,Industry_60,AnnualRevenue_60,Phone_60,Website_60,BillingCity_60,active,NumberOfEmployees_60
salesforce_accounts_1061,Salesforce item 61,Industry_61,AnnualRevenue_61,Phone_61,Website_61,BillingCity_61,active,NumberOfEmployees_61
salesforce_accounts_1062,Salesforce item 62,Industry_62,AnnualRevenue_62,Phone_62,Website_62,BillingCity_62,done,NumberOfEmployees_62
salesforce_accounts_1063,Salesforce item 63,Industry_63,AnnualRevenue_63,Phone_63,Website_63,BillingCity_63,done,NumberOfEmployees_63
salesforce_accounts_1064,Salesforce item 64,Industry_64,AnnualRevenue_64,Phone_64,Website_64,BillingCity_64,active,NumberOfEmployees_64
