Date	Store	Item	Category	Qty	Unit_Price	Line_Total
2026-01-04	Greenfield Market	Ground beef 80/20	Meat	2	6.49	12.98
2026-01-04	Greenfield Market	Crushed tomatoes 28oz	Pantry	3	2.19	6.57
2026-01-04	Greenfield Market	Garlic bulk	Produce	1	3.40	3.40
2026-01-04	Greenfield Market	Spaghetti 1lb	Pantry	4	1.29	5.16
2026-01-04	Greenfield Market	Hot sauce	Pantry	1	3.99	3.99
2026-01-11	Corner Market	Chicken thighs	Meat	1	8.75	8.75
2026-01-11	Corner Market	Rice 5lb	Pantry	1	6.20	6.20
2026-01-11	Corner Market	Black beans canned	Pantry	6	1.10	6.60
2026-01-11	Corner Market	Cheddar block	Dairy	1	5.49	5.49
2026-01-18	Greenfield Market	Pot roast chuck	Meat	1	17.30	17.30
2026-01-18	Greenfield Market	Carrots 2lb	Produce	1	2.49	2.49
2026-01-18	Greenfield Market	Yellow onions 3lb	Produce	1	3.29	3.29
2026-01-18	Greenfield Market	Dog food 15lb	Pet	1	28.99	28.99
2026-01-25	Corner Market	Coffee beans 12oz	Pantry	2	9.99	19.98
2026-02-01	Greenfield Market	Eggs dozen	Dairy	2	3.79	7.58
2026-02-01	Greenfield Market	Everything bagels 6ct	Bakery	2	4.49	8.98
2026-02-08	Corner Market	Tortillas	Bakery	2	3.29	6.58
2026-02-08	Corner Market	Shredded cheese	Dairy	2	3.99	7.98
