date,impressions,saves,pin_clicks,outbound_clicks,profile_visits,follows
2026-03-27,305,121,45,21,43,12
2026-03-26,7460,206,124,40,26,0
2026-03-25,2069,92,33,42,34,4
2026-03-24,3281,79,50,75,6,4
2026-03-23,1256,110,67,49,42,3
2026-03-22,1166,103,46,80,38,2
2026-03-21,296,22,72,77,56,2
2026-03-20,6672,17,44,13,3,7
2026-03-19,441,26,30,58,30,11
2026-03-18,6854,93,86,59,14,5
2026-03-17,3202,13,146,65,34,8
2026-03-16,983,69,94,14,6,10
2026-03-15,1226,41,94,48,8,2
2026-03-14,540,186,132,31,48,5
2026-03-01,512,198,62,28,55,14
2026-03-05,478,176,58,24,49,11
2026-03-10,601,224,71,33,63,16
2026-03-02,389,142,44,19,38,9
2026-03-04,547,205,66,30,58,13
2026-03-28,672,251,82,41,70,18
